-3.13826 90.2908 | -2.06098 2.15983 | 8394.89 752.311
-2.8374 89.8927 | -0.732783 0.0264789 | 176.097 -1965.51
-2.52493 89.5023 | 0.533886 -1.06149 | -8172.69 2107.85
-2.20515 89.1232 | -1.98005 -1.88775 | 1350.37 -4251.6
-1.86086 88.7632 | -1.66042 -0.341884 | 7968.76 4376.05
-1.47689 88.442 | -0.782054 2.2573 | 1685.53 -968.341
-1.06437 88.1553 | 0.460587 2.14059 | -4757.22 -5196.46
-0.635031 87.8972 | 0.359841 0.975091 | -5447.21 8241.86
-0.187286 87.6853 | 0.550912 1.01455 | 5412.51 -1307.54
0.280883 87.5143 | 2.16181 1.22445 | 1140.39 475.643
0.761307 87.3776 | -0.00884431 -2.11874 | -2869.51 -53.3048
1.24651 87.2635 | -1.29025 -2.30564 | 4190.14 -3775.03
1.73797 87.1605 | -0.230827 0.378882 | 4023.06 -3391.13
2.23566 87.0685 | 0.192784 2.75602 | 1578.71 -1118.37
2.73807 86.9981 | 1.29026 3.26698 | -4559.23 6517.33
3.24069 86.9635 | 0.58254 2.64717 | -1834.06 -4353.56
3.7431 86.9551 | -0.997763 0.103941 | 4679.75 -556.741
4.24716 86.9817 | -0.480225 1.1833 | -2832.7 -1489.49
4.74438 87.0545 | 1.08205 1.95301 | -625.658 4667.01
5.22788 87.1903 | 1.82917 3.20139 | 1485.78 7671
5.69232 87.3877 | -0.176187 2.14659 | -1802.74 -7666.05
6.13709 87.6194 | 0.104807 1.87618 | -4029.46 202.889
6.55875 87.8847 | 1.11788 2.4155 | -6696.71 1116.52
6.95935 88.1756 | -3.11259 1.94715 | 9351.65 -6681.18
7.35883 88.4728 | -6.44403 4.0849 | 2184.08 9475.95
7.74919 88.7901 | -1.31877 -0.777375 | -5709.6 2427.47
8.13036 89.1168 | 1.70825 -2.94252 | 900.34 -2950.66
8.52124 89.43 | -1.04126 0.893179 | 3525.52 -7286.36
