-3.15057 11.9023 | 2.54022 4.93406 | 4817.54 -2915.22
-20.8731 -44.4039 | 1.13721 2.24861 | 5317.07 -8011.33
-20.4109 -44.6306 | -0.000960091 1.90791 | -7825.65 -4575.68
-19.975 -44.8991 | -2.09305 -0.318814 | -594.158 11119
-19.5524 -45.1791 | -1.92455 -3.42693 | -643.176 3891.97
-19.1438 -45.4754 | -1.34845 -1.35503 | -1869.6 -10340.7
-18.7559 -45.8034 | -0.130542 0.209221 | 6089.57 2837.95
-18.3787 -46.1464 | 0.758812 -0.910592 | -4897.33 2077.02
-18.0207 -46.5047 | 2.26805 1.26806 | -2953.35 -1066.12
-17.6811 -46.8778 | 1.72738 -0.578639 | -187.907 4069.18
-17.3525 -47.2568 | 0.746102 -0.338929 | -3356.27 2502.14
-17.0343 -47.6404 | -1.60248 -1.76827 | 1106.58 -1092.18
-16.7204 -48.0274 | -1.94914 -4.05405 | 190.005 6607.78
-16.4092 -48.412 | 1.00725 0.704987 | -4040.74 -2737.15
-16.1086 -48.8038 | 1.58037 1.10976 | -3956.44 -2430.58
-15.8121 -49.198 | -0.0196176 -0.870838 | 7183.04 8477.37
-15.4984 -49.5784 | 0.137217 1.3727 | 3624.13 -11829.3
-15.1769 -49.9623 | 0.196684 1.66733 | -4934.8 -2051.52
-14.8517 -50.3433 | -0.392275 0.349745 | 2452.66 2264.61
-14.5073 -50.7075 | 0.259128 -1.12346 | 1845.03 -3693.93
-14.1378 -51.0499 | -1.18254 -2.84723 | 2613.38 4387.08
-13.7383 -51.3569 | -2.7848 -2.79898 | 1991.32 -2547.53
-13.3144 -51.6313 | -1.72395 -0.57883 | -8888.71 3226.1
-12.8762 -51.8681 | -3.37565 -1.80981 | -4338.94 4670.84
-12.4223 -52.0615 | -3.74591 -3.7491 | 4909.63 1219.2
-11.9521 -52.2176 | -2.08866 -0.663579 | -4136.08 -3817.38
-11.4767 -52.353 | -0.535347 0.509675 | 4710.24 -1894.38
-10.9933 -52.4698 | -0.0467681 -2.07002 | -2677.71 -3130.22
-10.5072 -52.5667 | -0.3616 -3.52651 | -7106.78 4855.65
-10.0203 -52.6299 | -0.468884 -2.19311 | 7980.21 -297.203
-9.5258 -52.664 | -1.47845 0.965453 | -1584.69 340.715
-9.02956 -52.6761 | 0.199278 0.295482 | 7250.23 -5987.36
-8.52702 -52.6762 | 1.65108 -0.558978 | 8722.08 2581.17
-8.01824 -52.6508 | -0.0918649 1.22483 | -2211.24 -975.742
-7.51174 -52.5958 | -0.647985 2.00232 | 6440.93 -1094.26
-7.00752 -52.5018 | -0.56505 1.24274 | -4516.87 10321.1
-6.51901 -52.3508 | -0.281038 -0.805553 | -3227.05 -6810.93
-6.0481 -52.1623 | -0.295006 3.12695 | -2276.44 2502.2
-5.59885 -51.9317 | -0.0349772 3.70602 | -9971.29 4985.31
-5.17429 -51.6654 | -0.265518 0.726834 | 7695 -6391.56
-4.7502 -51.3961 | -2.25822 -0.0503999 | -2422.06 -3801.06
-4.32867 -51.1281 | 0.736221 -2.91847 | -5553.46 2609.41
-3.9115 -50.8561 | 2.18533 -2.2113 | 12046 54.1121
-3.48346 -50.589 | 0.35903 -1.96305 | -2140.46 1239.95
-3.05526 -50.3214 | 0.921909 -1.229 | -2803.33 5973.62
-2.62761 -50.0519 | 3.01742 0.460128 | 3396.11 -5178.87
-2.18882 -49.8013 | 3.76894 0.868616 | -3924.92 -2872.24
-1.74228 -49.5714 | 3.53247 0.741808 | -107.198 7393.12
-1.28612 -49.3581 | 3.48865 -0.428411 | 179.171 -6499.34
-0.814831 -49.1856 | 2.48898 3.21461 | 1555.31 -7929.91
-0.331365 -49.0551 | 1.21345 0.120932 | -4857.18 7270.34
0.152849 -48.9365 | 0.387237 -1.95429 | -2764.29 4030.94
0.639172 -48.8299 | 1.61649 -2.62202 | 10234.6 -6144.28
1.13609 -48.7522 | 1.63986 -4.06701 | -6763.35 2095.27
1.63074 -48.6911 | 1.26172 -0.744077 | -9124.81 2535.48
2.12024 -48.644 | 1.93019 -0.997459 | 487.481 383.508
2.61121 -48.6203 | 1.65591 -4.64687 | 3459.09 374.519
3.10587 -48.6299 | 1.29398 -6.11062 | 10536.2 365.362
3.60444 -48.6817 | 0.917096 -5.22222 | -8868.64 -7306.38
4.09015 -48.7857 | 0.465297 -3.75284 | -3634.65 8851.08
4.56529 -48.9186 | -0.0533726 -2.1393 | 9232.78 -5445.01
5.03518 -49.0882 | -2.37226 0.366694 | -4934.68 -5726.95
5.49251 -49.2866 | -1.34721 2.73159 | -441.702 8323.97
5.94768 -49.4816 | -0.483554 1.40017 | -4228.78 3036.33
6.40148 -49.6691 | 0.948256 0.332314 | -1921.17 3061.84
6.85579 -49.8508 | 2.46736 -1.49987 | 5891.14 -6658.69
7.31363 -50.0386 | 1.45183 -2.70676 | 1958.52 -2455.12
7.77521 -50.2258 | 1.25468 -0.547813 | 3983.11 -749.294
8.24452 -50.4006 | 0.856009 -1.9045 | -849.091 8813.66
8.71913 -50.5526 | 0.232549 -3.58706 | -6041.63 -2939.26
9.19078 -50.7036 | 1.11395 -1.70031 | 2794.19 -11575.5
9.66482 -50.8607 | 1.66924 -0.194443 | 4737.34 2409.44
10.15 -50.9893 | 1.60216 0.297521 | -2968.55 6703.28
10.6427 -51.0672 | 2.94945 0.883785 | -4222.12 -2862.41
11.1375 -51.0972 | 2.58301 2.11789 | -635.537 1873.58
11.6319 -51.071 | 0.456432 0.399096 | 4517.55 -1147.63
12.1231 -50.9907 | -0.991498 -3.05781 | -2605 151.839
12.6015 -50.8551 | -0.833657 -0.158926 | 4716.37 1582.47
13.0654 -50.6667 | 1.81814 2.57145 | 2174.68 -426.455
13.5082 -50.4309 | 1.49763 3.41729 | -6876.07 -393.383
13.9194 -50.1509 | -1.76829 1.59832 | 606.532 -5776.43
14.3023 -49.8378 | -1.62873 -2.41199 | -232.662 165.647
14.6511 -49.4877 | 0.468735 -2.17863 | -3855.71 5790.03
14.9608 -49.101 | 4.05864 -3.6432 | 7140.22 -509.996


-28.1538 61.1986 | 0.0866691 -6.79037 | 199.742 5217.3
-27.6884 61.3862 | -2.3866 -4.21734 | 277.973 -4251.77
-27.2313 61.5902 | -1.72027 -4.69789 | 1334.46 -6702.85
-26.7817 61.8071 | -0.375784 -2.27277 | -3940.91 3311.04
-26.3501 62.0566 | -1.42037 0.546865 | 4627.38 6780.38
