-20.3824 -92.6208 | -0.314635 -1.19951 | -8434.83 5998.98
-19.8946 -92.6867 | 4.68024 6.53308 | 9587.39 6466.23
-19.3994 -92.6993 | 11.7128 3.68937 | -22335.7 -6842.13
-18.9167 -92.674 | 0.30769 -2.45061 | 22403.1 -596.776
-18.4248 -92.6031 | -1.51882 3.76677 | 5125.72 10021.4
-17.9375 -92.4745 | 0.417301 4.83284 | -1172.99 10686.6
-17.4605 -92.3118 | -7.60083 3.68316 | -14322.9 -25834.9
-16.9907 -92.1807 | -6.24132 1.78977 | -14117.1 1507.22
-16.5282 -92.0619 | -1.6442 9.73899 | 11995.1 -8721.01
-16.0578 -91.951 | -0.3331 -3.99089 | -5805.83 21577.6
-15.5919 -91.802 | -5.35553 -0.832583 | 46098.1 -6124.68
-15.0958 -91.653 | 3.40567 2.95697 | -14138 11692.8
-14.6079 -91.4842 | 3.00803 4.52746 | -13143.6 -10763.6


-46.4858 -20.8558 | 0.978163 2.42707 | -7723.75 2600.91
-46.0461 -21.0747 | -0.00027254 2.13057 | -4920.94 5670.51
-45.6134 -21.3013 | -0.979903 -0.914174 | 13201.9 -8934.67
-45.1765 -21.5436 | 0.0700377 0.349504 | 5068.39 -3868.47
-44.737 -21.7941 | -0.0981676 1.34929 | 2291.74 3298.19
-44.2949 -22.0422 | -0.90908 3.04167 | -928.575 -3379.49
-43.8553 -22.2926 | -1.75751 2.25651 | -14113 4333.02
-43.4229 -22.5347 | 0.10617 0.876427 | -3315.52 2268.28
-42.9833 -22.7548 | 2.43192 0.320654 | 7579.84 -731.351
-42.524 -22.9413 | 0.1547 0.67794 | 957.316 5415.12
-42.0498 -23.0882 | -2.60104 2.39665 | 1871.9 -1650.11
-41.568 -23.2136 | -2.52206 0.385734 | -2910.32 -1599.3
-41.0855 -23.3322 | -1.521 0.11128 | 3154.46 -1170.84
-40.6008 -23.4522 | 0.0894152 -0.403905 | 4088.1 -6021.08
-40.1145 -23.5799 | 0.805082 0.831607 | -4795.23 -773.521
-39.6296 -23.7018 | -0.0110807 0.872262 | -5717.96 648.846
-39.144 -23.799 | -1.22009 -0.478384 | -3219.87 2972.09
-38.6537 -23.8516 | -2.50273 1.4737 | 12250.2 -504.659
-38.1531 -23.852 | -1.64651 1.82961 | -1255.45 -422.612
-37.6561 -23.7944 | -0.758283 -1.20876 | -5742.17 4409.66
-37.1739 -23.6732 | -0.439007 0.0523475 | 1045.58 -184.722
-36.7055 -23.5045 | -0.669533 1.70898 | 1557.42 -3598.26
-36.2495 -23.3037 | -1.70616 0.0601255 | 1661.66 2215.63
-35.8069 -23.0721 | -1.2274 -0.285524 | -3110.68 -2507.03
-35.3799 -22.8182 | 0.499016 -0.0255062 | -1666.39 -2830.72
-34.9665 -22.5462 | 3.28214 -3.27154 | 1216.76 7178.4
-34.5636 -22.2537 | 1.77949 -0.624181 | -105.829 -3451.3
-34.1625 -21.9608 | -1.96358 0.704637 | 2348.03 -3871.62
-33.7561 -21.6761 | -3.04041 -0.416237 | -2445.41 1038.97
-33.3489 -21.3949 | -0.89036 -0.594767 | 2186.41 -6873.03
-32.9391 -21.12 | -0.910472 -2.18887 | -3157.64 6838.76
-32.5391 -20.8306 | -2.06954 -1.86738 | -3632.32 718.679
-32.1458 -20.5328 | -1.25799 -0.67845 | 10014 2010.97
-31.7435 -20.2375 | -0.445301 3.17566 | -5528.99 4422.48
-31.3379 -19.9494 | -0.0298504 3.64329 | -4083.2 -16120.4
-30.9194 -19.6947 | -2.73168 2.80456 | 4795.16 9080.9
-30.4885 -19.4501 | -2.30772 2.86886 | 2702.24 8161.11
-30.046 -19.2168 | 0.166446 0.666409 | 1709.5 -8035.03
-29.5876 -19.0188 | 0.889661 2.19232 | -4551.93 781.928
-29.1214 -18.8495 | 0.76653 4.87889 | -3942.45 -2739.38
-28.6489 -18.7082 | 0.0460566 1.1563 | 5894.68 4144.37
-28.1672 -18.5857 | 0.567194 3.07906 | -1772.27 913.122
-27.6813 -18.4838 | 0.57804 3.25261 | -2068.47 504.187
-27.192 -18.4071 | -0.772916 -0.240488 | 1729.48 -1561.33
-26.6977 -18.3618 | -0.52334 -1.62778 | 838.476 4550.22
-26.2001 -18.3457 | -3.32548 -0.213689 | 5608 -4177.43
-25.6985 -18.3736 | -2.84638 0.0352576 | 4648.21 4510.87
-25.1981 -18.4429 | -0.562583 1.48402 | -6466.07 -10506.8
-24.7116 -18.57 | -1.76008 1.38263 | -1319.73 -2018.65
-24.2342 -18.7284 | -0.661096 2.33244 | 10543.7 13108.3
-23.7526 -18.8854 | -1.91797 1.17602 | -4436.83 -6535.99
-23.2807 -19.0646 | -0.46446 0.57783 | -7099.25 3989.05
-22.8227 -19.2613 | 4.02653 1.30676 | -5557.49 1670.23
-22.3779 -19.4773 | 1.88785 3.09502 | 8749.28 -3420.74
-21.9365 -19.7142 | 1.22067 3.22291 | 6600.41 -3974.2
-21.5008 -19.9715 | -0.430788 2.34813 | -11252.6 -496.945
-21.081 -20.2436 | -1.77864 -2.19093 | -532.831 4297.21
-20.6618 -20.5114 | 0.651627 -1.33699 | 2205.66 6213.8
-20.2365 -20.7667 | -0.872539 -0.438964 | -2972.09 -7782.03
-19.8112 -21.0239 | -2.81716 -2.93645 | 434.912 -1984.58
-19.3773 -21.2685 | -1.01805 -0.649566 | 3502.45 9930.18
-18.9258 -21.4798 | -0.251853 -2.05379 | 6547.49 -8868.16
-18.4613 -21.6778 | 1.71221 -2.91269 | -1414.31 -2846.27
-17.9896 -21.8586 | -0.107204 -2.22842 | -4269.01 7344.97
-17.5114 -22.0071 | -0.409195 -3.03104 | -2282.53 -8059.39
