-76.1968 0.869383 | -0.52265 -4.55778 | 2524.34 3744
33.6558 -44.1013 | -0.071702 2.24101 | -10829.9 -5181.84
34.1021 -43.8931 | 0.0639373 0.34039 | -5930 1787.69
34.5267 -43.6488 | -0.21715 1.12746 | 16354.4 364.883
34.9476 -43.3797 | 0.443899 -0.380874 | -1221.72 9282.78
35.352 -43.0788 | 1.3378 -3.55914 | -1738.39 -6440.25


-17.7303 30.828 | 3.98838 -4.07556 | -3708.12 -1212.43
-17.2346 30.8616 | 2.3739 0.936854 | 5440.88 1438.79
-16.7388 30.9233 | 1.8261 0.13693 | -11142.9 1253.52
-16.2522 31.008 | 2.28538 0.186771 | 11344.5 -6119.53
-15.7609 31.1016 | 3.09368 3.23437 | 2013.5 8165.93
-15.2719 31.2184 | 1.79559 1.61856 | -7392.55 -4561.63
-14.7896 31.3426 | 0.822028 1.0945 | 5259.81 -1428.26
-14.3068 31.4716 | 3.09245 -0.743189 | -8325.01 6656.98
-13.8304 31.6105 | 2.95922 -0.42421 | 4639.03 -3177.18
-13.348 31.7339 | 2.57409 -0.787654 | 1845.77 -6315.14
-12.8592 31.8309 | 1.18631 -4.21363 | -7048.97 5650.95
-12.3707 31.9172 | -1.88976 -2.48347 | 14871 192.113
-11.8688 31.9841 | -0.587374 -2.26188 | 4281.1 3118.19
-11.3604 32.0283 | 0.131131 0.895842 | -5934.97 -840.019
-10.8538 32.035 | -1.21931 1.271 | -748.623 -5645
-10.3507 31.9905 | -3.97621 -1.48958 | -4830.27 631.565
-9.85692 31.9023 | -2.75005 0.147637 | -180.654 -2569.46
-9.37171 31.777 | 1.94839 -0.293528 | -2422.81 3430.49
-8.89423 31.6314 | 0.8696 0.225984 | 2223.48 823.979
-8.41971 31.471 | -1.33324 -3.04002 | 7232.55 -6092.98
-7.94513 31.2956 | -0.244695 2.57004 | -5175.67 11259.9
-7.47605 31.1231 | -0.0632251 1.96077 | -9145.94 3384.01
-7.02025 30.9364 | 1.00593 -0.759136 | -515.73 -7746.28
-6.57811 30.7166 | 3.18722 2.58331 | 8537.04 5272.82
-6.14307 30.4759 | 2.88827 1.37915 | -2119.13 -1211.03
-5.7301 30.2006 | 1.56714 -0.714685 | -7833.29 -3821.14
-5.34852 29.8856 | -2.66386 -1.21528 | 10629.7 -3679.73
-4.97936 29.5465 | -1.49558 1.90275 | -734.878 4352.75
-4.62434 29.1955 | 0.490295 7.16442 | -10251.9 -106.08
-4.28735 28.8336 | -0.602531 5.57887 | 7265.32 870.303
-3.94342 28.4755 | 1.15077 2.99384 | -947.562 862.718
-3.59085 28.126 | 2.54053 2.3109 | 3626 -2129.97
-3.22472 27.7867 | 2.21859 1.06495 | 629.124 546.597
-2.84732 27.4606 | 1.71083 1.18298 | -9700.73 3048.91
-2.46503 27.1494 | 0.445237 -0.729977 | 6141.78 51.7603
-2.06417 26.8577 | 0.572891 1.84957 | 2841.19 -2853.44
-1.64781 26.5822 | -1.92104 2.97084 | 1738.46 -3618.5
-1.21938 26.3226 | -1.65355 -2.13026 | -7727.99 5009.82
-0.784361 26.0891 | -0.247024 -4.04442 | -11232 5160.18
-0.34355 25.8849 | -1.23315 -2.09542 | 13274.4 -5104.78
0.117422 25.7052 | -1.79577 -2.84827 | 4454.12 -3829
0.591788 25.5497 | -1.21859 -3.56786 | -5378.98 9859.3
1.07094 25.4252 | 3.6915 0.724576 | 715.064 -14273.8
1.55305 25.3022 | 3.28826 0.272694 | 2001.81 -4200.01
2.0435 25.2053 | -2.26016 1.02877 | 4669.82 12060.5
2.54392 25.1739 | 0.532342 3.60863 | -6892.18 -1815.88
3.04099 25.1973 | 2.43459 0.330514 | 1594.39 1964.4
3.53504 25.271 | -0.530159 0.751746 | 12422.8 -2457.51
4.02909 25.3826 | -0.813741 -0.00555882 | -11237.6 -2207.72
4.50463 25.534 | -0.650485 -1.47777 | -8433.62 4189.82
4.95928 25.7277 | 3.11187 -1.91426 | 5335.96 808.742
5.40815 25.9419 | 2.74446 -1.68362 | 6732.79 -7289.95
5.85943 26.1574 | 0.123859 -1.3704 | -1363.09 5176.11
6.30437 26.3879 | 1.04661 -0.161015 | -2500.11 1852.88
6.74323 26.6281 | -0.516395 0.338828 | 1941.16 -6432.06
7.18393 26.8636 | -1.48377 1.72635 | 3301.19 2958.81
7.6246 27.1045 | 0.442734 2.3172 | -4390.34 2385.21
8.05891 27.3538 | -3.57545 4.15523 | 1120.04 -4239.59
8.49293 27.6018 | -3.13041 5.16878 | 1068.18 2362.15
8.9255 27.8546 | 0.745832 0.681058 | -4553.61 5406.49
9.3553 28.1112 | -0.782873 -0.561594 | 5383.01 -7309.55
9.79702 28.3479 | -1.92415 -5.83147 | -5049.43 7055.98
10.2453 28.5713 | -4.27531 -4.69929 | 5829.53 -1692.48
10.7127 28.7585 | -1.57112 0.678547 | 2367.28 -7596.43
11.1967 28.8974 | 0.246937 -1.23616 | -6072.59 3633.51
11.6854 29.0052 | -1.0709 2.67752 | 799.729 565.679
12.18 29.0824 | -0.328897 4.4586 | -415.399 6538.31
12.6791 29.1275 | -1.17364 2.37184 | 2759.36 -5506.75
13.1825 29.1131 | -0.109699 4.44143 | 8415.12 -9522.41
13.6862 29.0339 | 1.04929 3.77442 | -3696.4 8491.64
14.1791 28.9181 | 1.34117 0.238081 | -10933.1 1012.32
14.6528 28.7621 | 1.20847 -0.953676 | -409.232 -4003.94
15.1119 28.5667 | -0.986792 0.438711 | 8060.63 -531.968
15.5661 28.3474 | -0.450253 -2.34738 | 855.525 1895.09
16.0136 28.113 | -0.419884 -0.844438 | 1545.16 1298.7
16.4535 27.8626 | -1.59271 0.169767 | -140.385 -1590.86
16.8805 27.589 | -4.29239 -3.76798 | 1204.12 -5622.49
17.2926 27.2885 | -1.95618 -1.73808 | 1838.95 1539.4
17.6923 26.9718 | -0.192314 -2.49708 | -7397.04 2075.35
18.074 26.6424 | -0.357312 -3.3479 | -4681.9 7721.79
18.4441 26.3097 | -3.19686 -2.06825 | -314.696 -3777.21
18.8082 25.9688 | -5.47097 -3.01218 | 7824.14 144.834
19.1769 25.6267 | -3.57513 -1.31604 | -985.108 -3117.06
19.5417 25.2787 | 0.206197 -0.78543 | -6458.3 -1720
19.9016 24.9287 | 3.14679 -1.62549 | 4776.7 3709.3
20.2746 24.5939 | 1.1338 -1.73895 | -6874.22 5138.06
20.6571 24.2788 | -0.297141 -2.4157 | 378.177 -1051.45
