8.13424 -62.3882 | 0.788213 -2.37543 | 2021.47 4210.92
8.52124 -62.0742 | 1.91529 -2.67257 | 5000.14 9816.83
8.90599 -61.7459 | -1.6323 -3.26424 | 2239.01 -1077.81
9.29666 -61.4228 | -3.70102 -0.254234 | -2874.78 -5803.33
9.69634 -61.1175 | -2.88111 0.258857 | -1172.21 -2981.04
10.1069 -60.8305 | -0.602556 -0.699804 | -144.997 7279.12
10.5282 -60.5552 | 0.553856 -1.15372 | 5185.8 -7726.45
10.9682 -60.3096 | -1.59134 0.136066 | -4030.45 4754.8
11.4162 -60.0798 | -1.06117 1.06575 | 3144.06 1524.7
11.8762 -59.8722 | -0.92388 1.73449 | -8247.18 -2296.27
12.343 -59.6976 | -3.77608 3.5343 | -3177.05 -5079.75
12.8201 -59.567 | -4.1806 -1.80221 | 3654.15 6407.79
13.3078 -59.4745 | -1.18422 -4.5694 | -7912.94 -3718.58
13.798 -59.4363 | 1.64678 -4.63919 | 3502.7 -1195.07
14.2926 -59.4526 | 0.744878 -3.55021 | 15148.8 5019.32
14.7939 -59.5158 | -1.92822 -1.71273 | -1672.61 -5928.44
15.2831 -59.6403 | 1.56838 -0.146174 | -15385.6 -232.248
15.7468 -59.8158 | 2.23032 0.827262 | 4776.3 5172.54
16.2003 -60.0206 | -0.112973 0.943173 | 12950.8 -3673.02
16.6493 -60.2569 | -0.798066 1.53261 | 721.362 -7785.99
17.0818 -60.5288 | 0.676721 -0.476571 | -8023.51 4153.26
17.495 -60.8176 | 1.44882 -1.05174 | -4265.73 12628.5
17.8974 -61.1078 | 0.364973 0.235532 | 2420.58 -6761.77
18.2888 -61.4159 | 0.214877 0.648414 | -2977.64 5379.36
18.665 -61.7356 | 2.42633 0.464379 | -5171.82 5530.83
19.0212 -62.0696 | 2.36218 -1.45264 | -657.559 -6967.57
19.3585 -62.4276 | -0.709255 -2.90207 | 11626.6 -4777.72
19.6927 -62.7999 | -2.30335 -0.604761 | -1853.4 -2322.31
20.017 -63.1829 | -3.24518 -0.826638 | -2749.25 1439.22
20.3361 -63.5681 | -1.95236 -3.27225 | 1838.12 1279.37


-19.5006 87.4303 | -1.51237 -3.86246 | -8214.51 1244.05
-19.0112 87.5002 | -2.76671 -1.98444 | 15608.7 -8103.66
-18.5159 87.5912 | -1.94259 -1.42509 | -5772.7 14120.3
-18.0315 87.7304 | -1.43785 -0.696079 | 6807.55 -5187.65
-17.5505 87.8892 | -1.65447 2.69507 | -8051.3 -907.898
-17.081 88.0635 | 0.042096 2.52141 | -8916.53 -2187.55
-16.6205 88.2453 | 1.40802 2.97423 | 16764.8 -2679.74
-16.1514 88.4273 | 0.687265 0.786453 | -10090.2 4156.51
-15.6931 88.6248 | -2.57694 1.69494 | -1068.08 -2145.61
-15.24 88.83 | -1.57138 -0.579333 | 2004.9 2153.54
-14.7878 89.0411 | 0.181964 -3.39133 | -1564.56 3401.55
-14.3341 89.2506 | 1.94594 -0.560329 | 7961.19 -4672.57
-13.8685 89.4382 | 2.92081 0.603298 | -12503.7 -3391.12
-13.4047 89.6059 | 2.56592 0.357496 | -7152.36 4778.97
-12.9396 89.7577 | 0.750201 -0.986422 | 10425.6 1535.38
-12.4577 89.8741 | -2.26272 0.508155 | 3592.68 -8026.66
-11.9629 89.9381 | -0.692316 0.231928 | 5576.35 2272.19
-11.4617 89.9691 | 1.30913 1.92465 | -13615.9 1822.69
-10.9685 89.9802 | -1.91847 1.23785 | -2570.58 -1342.29
-10.4772 89.9768 | -5.11008 0.6144 | 13068.4 5608.52
-9.97796 89.9703 | -4.50483 1.02548 | -5671.48 1685.67
-9.48136 89.9496 | -3.3168 -2.50976 | 1646.67 -4091.54
-8.9863 89.8989 | -3.14073 -0.831884 | -2760.93 -152.475
-8.49674 89.8195 | -0.942467 -0.409391 | -42.9507 2630.46
-8.01179 89.716 | 1.7171 0.250581 | 7448.55 310.032
-7.53043 89.5834 | 1.64645 -0.523978 | -12406.9 -633.629
-7.06869 89.4139 | -0.116675 -1.26247 | -2481.19 -526.442
-6.62066 89.2141 | 0.76888 0.609216 | 14174.7 -148.632
-6.17297 88.9956 | 2.75252 -0.571196 | -9091.15 2038.91
-5.74019 88.7589 | -0.276408 -0.790292 | 286.117 1147.32
-5.3171 88.5067 | -3.22208 0.287089 | 2030.94 544.47
-4.90132 88.2393 | -2.72902 -2.0279 | 5395.99 -6480.39
-4.49175 87.9518 | -0.494342 -1.78891 | -139.676 -5468.82
-4.08808 87.6519 | 0.849674 0.0315796 | 88.0655 12608.8
-3.68113 87.3636 | 1.53847 0.166996 | -1450.48 -8532.11
-3.27535 87.0699 | -0.76246 -0.699039 | 3849.83 203.926
-2.86228 86.783 | -1.39626 -2.45403 | -577.433 6574
-2.44253 86.5096 | 0.917785 -2.19028 | -1682.57 -6935.53
-2.02085 86.2346 | 2.16013 0.649068 | 8255.75 -4671.26
-1.58685 85.9654 | 2.21185 3.5369 | 5659.42 624.593
-1.13888 85.713 | 1.58457 1.38934 | -8368.1 -2055.38
-0.685793 85.48 | 1.99811 0.440376 | -1474.7 11524.4
-0.220411 85.2876 | 1.04122 1.44304 | -8198.72 -6235.6
0.249176 85.122 | 1.46524 4.86591 | -7565.77 7188.86
0.725832 85.0022 | 0.956356 2.33207 | 8423.88 -966.39
1.21619 84.9241 | -1.11905 -2.27586 | 2772.84 -6653.1
1.71316 84.8811 | -1.6846 -1.6224 | -8292.29 4848.77
2.20662 84.8899 | -1.84966 -1.87499 | 1500.21 -1265.5
2.69768 84.9457 | -2.47075 5.19287 | 2496.97 5533.32
3.18495 85.0466 | -1.2813 3.52502 | 8777.6 -8582.3
3.67264 85.1688 | 0.849536 -1.95726 | -2580.44 6851.22
4.15077 85.3268 | 0.379007 -0.615915 | 2548.58 -896.546
4.62261 85.5086 | -0.472066 -0.585287 | 3579.25 -567.414
5.09002 85.7095 | 1.33114 0.437274 | 5718.99 2962.62
5.55193 85.9323 | 2.4009 0.233364 | -3462.26 -3640.92
5.99878 86.176 | 2.1167 -1.57972 | -11257.9 -506.106
6.42013 86.4478 | 0.17953 -0.825433 | 1587.24 -17.06
6.82444 86.7434 | 1.34445 0.54277 | -2325.34 -2305.48
7.21252 87.0579 | 2.42359 4.35311 | 4253.01 7150.54
7.59078 87.3926 | 1.67515 4.17105 | 2464.66 3864.84
7.96588 87.7354 | 0.480937 0.91886 | -7094.08 -5715.72
8.34321 88.067 | -1.36738 0.583959 | 5718.15 -6150.04
8.7389 88.3751 | -0.900814 2.06799 | -1500.2 958.312
9.14343 88.6693 | 0.884399 -0.00306053 | -11165.7 3552.14
9.5493 88.9529 | -0.967944 0.996975 | 2689.03 -3523.92
9.97595 89.203 | 0.381199 2.73604 | 3377.35 -3821.56
10.4271 89.41 | 2.69533 0.198655 | 6737.81 4985.46
10.8977 89.5843 | 1.10982 1.45823 | -3651.82 89.3356
11.3768 89.7265 | -0.843901 1.74104 | -8634.89 2291.56
11.8595 89.8354 | 0.181634 -0.984988 | 9379.05 -5763.65
12.3553 89.8962 | 2.56646 0.302873 | -2371.52 3659.35
12.8534 89.9218 | 2.51385 0.461202 | -1280.58 1006.03
13.3511 89.9122 | 1.31544 -0.682462 | 53.6623 -925.248
13.8461 89.8642 | 3.05937 -3.54612 | -3216.32 3981.38
14.3343 89.7801 | 3.27135 0.173082 | 6429.57 -4759.23
14.817 89.649 | 2.73287 8.5836 | -1128.12 -3948.91
15.2877 89.4762 | 2.92361 4.14815 | 2855.19 1757.07
15.7518 89.2816 | 2.46498 -0.619867 | 1955.64 -1120.84
16.2113 89.0747 | 2.05586 0.784861 | -8941.9 2781.33
16.6642 88.8688 | 3.62283 3.64784 | 3478.84 4320.02
17.1221 88.676 | 1.71972 1.65481 | -4114.11 7903.63
17.5798 88.4926 | 1.10364 -0.420388 | 24.4347 -11666.7
18.0334 88.2891 | -0.522718 -3.89385 | 13795.3 -7178.62
18.494 88.0769 | -2.65147 -5.2428 | -8400.39 12893.7
18.9537 87.8802 | -0.222544 -2.15037 | 1438.67 179.376
19.4135 87.6828 | -1.95662 -2.80844 | 2204.81 -9523.66
19.869 87.4678 | -3.45094 -3.9824 | -3884.24 1062.03
20.3202 87.25 | 1.20279 2.69582 | -3286.74 7531.4
20.7721 87.0441 | 1.25804 0.882676 | -1249.15 -802.251
21.2264 86.8423 | 1.60957 -1.94861 | 14432 -10211.5
21.6926 86.6389 | 1.32301 1.4791 | -2059.35 1688.95
22.1638 86.4507 | 0.232971 0.77302 | -11940.3 6609.84
