-4.61057 12.4943 | 3.31514 3.07073 | 4595.37 -3630
51.7013 -53.6112 | -2.97097 -1.44304 | 3067.38 -3082.31
52.2093 -53.6166 | -3.65576 0.814653 | -5394.31 8065.12
52.712 -53.57 | -1.10569 1.25438 | -3727.22 -4451.56


-32.1479 -44.4312 | 1.79969 4.4052 | 4559.43 962.046
-31.6433 -44.4296 | -0.384361 4.78447 | -280.363 3111.67
-31.1388 -44.4079 | -0.0891408 1.78395 | 6280.55 -6631.87
-30.6315 -44.3851 | 0.0250487 -1.35233 | -11301.3 1333.21
-30.1318 -44.354 | 0.303549 -1.06992 | -1563.91 -1033.76
-29.6339 -44.3141 | 1.04573 -2.54938 | 11237 137.483
-29.1307 -44.2612 | 1.29401 -2.28288 | -7778.08 3472.01
-28.6338 -44.1887 | 1.24312 -0.445796 | 3089.12 -3160.98
-28.1383 -44.1056 | 0.0649466 -0.853751 | -6893.98 -3468.95
-27.6511 -44.0076 | 0.46869 -0.043331 | -2063.89 7966.82
-27.1714 -43.8801 | 2.15734 0.871764 | 6190.2 -1901.22
-26.6919 -43.7414 | 1.68505 0.0818726 | -8337.08 -5099.16
-26.2191 -43.5991 | 0.382364 1.05422 | 3180.13 6582.81
-25.7471 -43.4461 | 1.14353 1.90444 | 48.004 -686.163
-25.2731 -43.2991 | 4.17344 -0.452425 | -4342.79 -170.191
-24.7957 -43.1715 | 3.78026 0.406998 | 7001.56 -1190.92
-24.3067 -43.0779 | 2.40356 0.812827 | -3343.39 229.743
-23.8129 -43.0235 | 2.37992 -2.67605 | 4756.5 1747.8
-23.3127 -43.0133 | 1.4851 -1.71439 | 4110.84 -3088.93
-22.8113 -43.0576 | 1.57222 -3.01437 | -3967.62 -3196.88
-22.319 -43.1538 | 1.32962 -4.54846 | 1572.27 5401.22
-21.8355 -43.2858 | 1.63848 -0.320771 | -4358.07 -1894.64
-21.3673 -43.4581 | 2.87743 0.92456 | 1168.22 126.389
-20.9125 -43.6642 | 1.86011 0.34676 | 2428.96 337.006
-20.4703 -43.8987 | 0.79261 -1.22839 | -3530.81 1156.9
-20.0449 -44.1589 | 1.39126 -2.56949 | 1883.48 -3782.36
-19.6321 -44.4429 | 3.96316 1.19346 | -558.267 -1940.42
-19.2264 -44.7387 | 3.85073 0.441722 | 5790.17 3420.34
-18.815 -45.0301 | 1.06844 -3.00219 | 1431.14 1291.09
-18.4009 -45.3189 | 1.55487 -3.80395 | -4976.36 -2634.16
-17.9915 -45.6126 | 2.50203 -1.76319 | 7920.55 -1480.4
-17.5771 -45.9062 | 1.35108 1.81383 | -3588.76 5334.22
-17.1665 -46.1979 | -1.03168 -0.7436 | -8335.79 356.481
-16.7682 -46.4973 | -0.390651 -2.8102 | -476.479 -3391.76
-16.3744 -46.8029 | 2.67734 -1.35376 | 323.236 1765.27
-15.9748 -47.1007 | 4.10441 -1.30114 | 6671.44 3156.57
-15.5616 -47.3825 | 1.99094 -0.605529 | -8275.56 -4920.34
-15.148 -47.6579 | -0.236836 -0.792633 | -5341.47 5188.08
-14.7252 -47.91 | -1.37456 -1.29392 | 7483.62 -1359.08
-14.2814 -48.1323 | -1.48305 -1.58455 | 120.475 -3652.18
-13.8212 -48.3229 | -0.41844 -2.94129 | -639.286 2129.49
-13.3456 -48.4686 | -1.42915 -1.93627 | 631.73 -556.914
-12.8571 -48.5654 | -3.10132 0.505919 | -564.85 2336.33
-12.3603 -48.6091 | -3.6596 0.504632 | 9933.28 -265.356
-11.8541 -48.6066 | -1.33384 -0.134347 | 4152.92 -149.847
-11.3462 -48.5648 | 1.00488 0.616527 | -6498.04 -1016.15
-10.8466 -48.4887 | 0.219314 0.659803 | -2696.76 -6472.95
-10.3564 -48.3804 | -0.566395 -1.02652 | -574.56 10502
-9.87951 -48.2181 | -0.386497 -1.32482 | 4093.58 7290.82
-9.4121 -48.0195 | 0.281622 -0.874692 | 521.567 -14832.6
-8.9476 -47.8236 | 3.10907 -2.36178 | -7423.29 -820.023
-8.49367 -47.616 | 3.5502 -0.836879 | 1322.28 3476.17
-8.04794 -47.3881 | 1.45257 -2.04451 | 3714.1 2032.3
-7.60807 -47.1424 | 0.912444 -4.68847 | 1093.58 2887.62
-7.17471 -46.8832 | 1.56012 -4.97179 | -9493.7 32.0432
-6.74862 -46.6241 | 3.46478 -4.07461 | -1663.14 -10975
-6.31343 -46.3915 | 3.88552 -5.063 | 6997.67 -2295.81
-5.86501 -46.1776 | -0.0104456 -2.72327 | -1191.35 10217.9
-5.41611 -45.9589 | -1.28378 -1.67476 | 276.231 -6597.15
-4.9657 -45.7484 | -1.08997 -0.178494 | -8635.71 2937.34
-4.52172 -45.536 | -2.25789 1.23749 | -3621.45 768.327
-4.07551 -45.3318 | -2.09179 1.34649 | 13195.8 -1720.89
-3.6105 -45.1516 | -1.521 3.43626 | 1052.68 4951.28
-3.13471 -44.9911 | -0.376363 3.07871 | 1195.57 2583.82
-2.64782 -44.8604 | 0.616458 1.11262 | 4431.97 -6392.83
-2.1485 -44.7783 | -0.0609539 2.26013 | -5339.45 2941.97
-1.64653 -44.738 | -0.667421 1.46606 | 4078.42 -297.679
-1.14006 -44.7462 | -0.0661216 2.08663 | 4540.98 -10148.8
-0.632937 -44.8093 | 1.60819 2.45298 | 2748.82 2107.41
-0.127873 -44.8978 | 1.18002 -0.469172 | -4445.97 9222.71
0.371478 -44.9926 | -1.75813 -2.00824 | -6417.69 -936.67
0.861947 -45.1083 | -2.30204 -1.92111 | 5154.7 -896.152
1.34722 -45.2524 | 0.326253 -2.23873 | -4690.92 -3433.29
1.81805 -45.4317 | 1.43264 -4.25925 | -4384.04 1036.26
2.27477 -45.6366 | 1.13979 -3.06026 | 4292.29 5380.27
2.72457 -45.8573 | -0.130795 -3.41988 | -2104.78 -2767.77
3.15915 -46.1061 | -1.50209 -5.40799 | -1547.33 -5204.22
3.57726 -46.3832 | 1.1216 -0.292621 | 2011.54 4275.25
