7.58872 17.304 | -2.08398 -5.42305 | -5513.68 3611.67
8.07352 17.2294 | -0.83301 -3.95818 | 10027 -7914.32
8.56872 17.1798 | 0.665334 -1.151 | 4582.26 2296.44
9.06979 17.1776 | -1.85216 -0.503003 | -6675.17 5009.59
9.56495 17.2336 | -1.39925 -1.68245 | 8764.78 -824.343
10.0583 17.3372 | -0.559352 -1.88112 | 1044.61 6881.84
10.5433 17.4844 | -1.84509 -2.77684 | -253.92 -9179.8
11.0213 17.6477 | 0.140392 -1.85615 | -2077.46 3001.4
11.4892 17.8345 | -1.32232 -3.81513 | -3433.99 2358.31
11.9477 18.0391 | -0.973003 -4.62366 | 5485.67 -12264.8
12.4055 18.2438 | 0.725647 -2.33907 | -3934.81 5493.93
12.8465 18.4787 | 1.12268 -3.41007 | -11889.5 9788.99
13.2635 18.7481 | 0.488325 -4.65429 | 10881.1 -9598.87
13.6873 19.0107 | -3.62925 -4.05193 | -2448.84 -258.643
14.1131 19.2687 | -7.15133 1.56687 | 2207.94 6606.2
14.5432 19.5236 | -2.82595 2.91469 | -10205.4 -4913.84
14.9779 19.7549 | -1.13094 -1.30843 | 2545.14 -8415.69
15.4306 19.9473 | 0.388692 -2.35961 | 12040.4 7458.54
15.9014 20.1203 | 0.459545 -1.25054 | -1785.52 -141.071
16.3779 20.2786 | -1.20741 0.345839 | -643.542 3809.77
16.8566 20.4287 | 0.843029 0.529537 | -5740.88 -3663.67
17.3356 20.562 | 0.136115 -0.814778 | -1068.22 5309.62
17.8184 20.6798 | -2.48834 0.0862559 | 2658.52 423.583
18.3102 20.7622 | -0.776857 2.10379 | 869.247 -6802.86
18.8091 20.7896 | 0.709557 0.0967051 | 5992.7 226.66
19.3128 20.771 | -0.633896 -1.03107 | -5081.82 2606.42


-19.447 -66.1915 | -0.472015 -3.27628 | -4352.77 6874.9
-18.9809 -66.3603 | -2.2211 -1.15852 | 9920.53 -10635.6
-18.5085 -66.5378 | -2.27568 2.22108 | 3584.99 79.7938
-18.0324 -66.7114 | 0.577397 3.09506 | -15812.4 851.097
-17.5626 -66.8721 | -0.921668 5.08219 | 518.745 5898.11
-17.0851 -67.0011 | -3.06588 4.09551 | 4370.48 -400.878
-16.5972 -67.1013 | -0.163226 1.00187 | 5051.35 -8723.1
-16.1006 -67.1784 | 0.760135 0.246496 | -2491.26 2744.1
-15.6002 -67.2069 | 0.57841 2.49662 | -1015.69 8010.98
-15.0999 -67.1719 | 0.698281 2.11647 | 9244.32 4498.8
-14.5982 -67.0904 | 0.42736 -1.23273 | -312.233 -7408.54
-14.1004 -66.9931 | 0.695083 -1.96409 | -8947.47 -5447.83
-13.6123 -66.882 | -0.32832 -1.22364 | 2652.83 1224.97
-13.1309 -66.7433 | 0.704459 0.0909311 | -3475.91 -1657.14
-12.6637 -66.5679 | 2.68536 0.486314 | 2993.05 7473.92
-12.2135 -66.3437 | 2.49958 -1.1416 | 4570.9 2548.04
-11.7797 -66.0824 | 1.88401 -0.281888 | -7769.71 -4589.74
-11.3673 -65.7981 | 0.190921 -2.75127 | -1048.53 2200.5
-10.9673 -65.4979 | -1.0389 -1.66791 | 5705.55 -6947.5
-10.5677 -65.1986 | 2.43611 -0.837814 | -6134.64 -5804.05
-10.1815 -64.8916 | 1.87535 -0.519395 | -5047.01 6519.21
-9.81672 -64.5606 | 1.11252 -0.290422 | 4288.67 -6593.91
-9.46156 -64.2185 | 1.93064 -2.44064 | 4057.24 13328.1
-9.11907 -63.8508 | -0.0573431 -0.840583 | 4218.65 7024.12
-8.78146 -63.4698 | -0.389195 -0.529267 | 1767.07 -7935.76
-8.44018 -63.0957 | 0.532612 -2.491 | -5107.16 -1464.94
-8.10066 -62.7253 | 2.65413 -0.213228 | -5107.83 -2427.35
-7.75871 -62.3614 | 5.3556 -1.77266 | 9681.82 6169.76
-7.39818 -62.0061 | 3.05174 -2.99343 | 450.501 -3671.92
-7.02286 -61.6673 | -0.424515 1.25535 | -6061.66 1994.71
-6.63982 -61.3403 | -2.21095 1.50287 | 1317.75 2944.9
-6.23774 -61.0334 | -0.226304 1.24295 | 10187.1 -3828.88
-5.80518 -60.7637 | 2.24676 0.680462 | -5316.78 1063.83
-5.35788 -60.5257 | 0.341842 2.32571 | -8852.55 -3769.49
-4.90033 -60.325 | 0.0447352 3.35526 | 494.948 953.245
-4.42726 -60.1646 | 0.310303 2.20327 | 6372.54 3147.54
-3.93701 -60.0519 | -0.182241 -1.57777 | -8921.72 -4719.79
-3.44149 -60.0024 | -1.21695 -1.03051 | 10098.2 -3098.03
-2.93788 -60.0152 | -1.96424 -1.8159 | -2102.74 3869.49
-2.43933 -60.0756 | -0.61381 -3.01199 | -10338.9 3186.47
-1.95559 -60.1832 | -0.668869 -2.63578 | 9371.03 -1210.35
-1.48121 -60.3449 | -1.4764 -0.0731761 | 4743.58 -7193.84
-1.02665 -60.5677 | -1.41835 1.36335 | -6635.92 -1451.12
-0.602331 -60.838 | -1.39947 1.07877 | -2345.66 10722.4
-0.201402 -61.1321 | -0.141925 -0.178294 | -3224.21 -3360.76
0.174253 -61.456 | 0.288679 -1.65141 | -996.415 -4673.59
0.533477 -61.7996 | 1.19259 -2.71606 | 3153.85 11443.9
0.893801 -62.1364 | 4.4746 1.21643 | -4914.12 -812.056
1.24937 -62.476 | 1.62905 2.14695 | 5758.13 -7350.24
1.60955 -62.8199 | 2.63199 2.69624 | 4639.26 2920.06
1.97902 -63.1578 | 3.23053 2.39853 | 461.912 -7109.31
2.35154 -63.4981 | 1.35847 0.114543 | -1707.19 -1111.89
2.7304 -63.8313 | 0.160625 -2.92597 | 1540.74 3410.45
3.1253 -64.1434 | 1.2807 -3.84981 | -2405.32 3553.26
3.53546 -64.4297 | 3.3925 -0.386869 | -7657.16 -6102.8
3.95927 -64.6922 | 2.00786 4.01076 | 15328.5 4800.57
4.41812 -64.9036 | -2.17579 4.03856 | -2280.33 3962
4.89424 -65.0678 | -1.50435 4.00754 | -8356.09 -6000.9
5.37468 -65.2025 | 0.466883 1.70467 | -2086.74 -70.2714
5.86238 -65.2967 | -0.706455 -0.574109 | 732.917 3559.66
6.35768 -65.3375 | -1.7799 -1.67536 | 6154.65 -2454.72
