-20.6672 -45.9831 | -0.424646 -2.95406 | -1855.91 -5674.7
-20.235 -45.741 | -0.589196 -2.37336 | 2172.72 29.439
-19.8185 -45.4707 | -3.4378 -1.61464 | 5091.03 2629.08
-19.4235 -45.1638 | -5.51853 -0.174309 | -4262.57 5163.61
-19.0639 -44.8148 | -4.91963 0.0837212 | -269.314 1132.09
-18.7334 -44.4372 | -2.18705 -0.332921 | 1874.47 -2972.1
-18.421 -44.045 | 0.551135 -0.469924 | -1063.99 2247.3
-18.1235 -43.6409 | 2.31741 -1.07301 | -569.344 -3055.92
-17.8323 -43.235 | 2.9904 -2.14782 | -3242.07 -2133.19
-17.5413 -42.8318 | 2.37461 -2.88227 | 4349.77 2451.56
-17.2372 -42.4353 | 3.81668 -3.45419 | 2726.31 -4567.13
-16.9188 -42.0514 | 4.15423 -2.28235 | -6457.14 3445.54
-16.5981 -41.6706 | 2.25219 -1.41292 | -128.223 3651.27
-16.2638 -41.2997 | 2.32403 -2.84969 | 3889.14 -6192.91
-15.9019 -40.9564 | 0.759033 -1.41076 | 647.954 5056.5
-15.5162 -40.6357 | -0.947325 0.613617 | 3341.36 -1034.81
-15.1055 -40.3449 | -0.859263 -0.619906 | -514.698 -3064.33
-14.6769 -40.0837 | -1.97961 -0.690346 | -3623.74 1539.05
-14.2398 -39.8419 | -2.31398 1.7398 | -3960.68 -1174.64
-13.7957 -39.6186 | -0.480697 2.80005 | 2988.88 1896.09
-13.3403 -39.4131 | 1.50279 -0.423639 | 4320.94 2735.7
-12.8718 -39.2272 | 1.96777 -4.64874 | 3575.55 858.571
-12.3902 -39.0671 | 1.60054 -3.63412 | 3805.89 -1193.53
-11.8971 -38.938 | 2.60424 -2.37074 | -5391.5 -1408.88
-11.4012 -38.8391 | 4.06113 -2.11165 | -5212.44 2036.9
-10.9044 -38.7681 | 4.50864 -0.260889 | 1687.23 -3302.03
-10.4032 -38.734 | 4.08473 2.41233 | 2114.28 925.271
-9.89887 -38.7327 | 2.95933 1.24278 | 4816.96 187.136
-9.39249 -38.7639 | 1.34478 0.125365 | -5292.54 -3824.39
-8.89239 -38.8291 | 1.09701 1.23561 | -2278.9 4360.11
-8.39701 -38.9143 | 0.840641 0.208805 | 5829.38 -4277.86
-7.90155 -39.0226 | 0.0361267 -0.711811 | 1374.77 -3353.75
-7.40659 -39.1442 | -0.389472 -2.2829 | 3820.09 3857.61
-6.90785 -39.2588 | -0.248201 -2.78022 | -1977.3 39.8713
-6.40798 -39.3629 | 0.819454 -0.0894719 | -1525.16 853.417
-5.90634 -39.451 | 1.41623 1.21618 | 1770.5 2484.15
-5.40153 -39.5188 | 0.793967 1.28676 | -5697.38 -2238.69
-4.89911 -39.5708 | 0.990972 2.04962 | -4982.05 1898.11
-4.39896 -39.6001 | 1.47553 2.81355 | 1219.75 2390.3
-3.89794 -39.6055 | 1.4705 4.47811 | -611.783 -3129.25
-3.39734 -39.5957 | 1.12893 3.7712 | 738.032 -1548.93
-2.89729 -39.5669 | 0.337924 2.66516 | -2145.97 4500.14
-2.40091 -39.5099 | -0.16156 0.318326 | -176.234 -4643.91
-1.90757 -39.4341 | -0.236912 -2.80803 | 2522.42 61.1074
-1.41791 -39.3313 | -0.309972 -3.09462 | -3507.18 1609.64
-0.93901 -39.1937 | 0.0456615 -1.21236 | -925.897 -1498.81
-0.472183 -39.023 | 0.72695 3.45728 | 2886.76 1604.93


-37.8537 67.0732 | 4.60739 4.80879 | 245.721 -146.684
-37.3537 67.0766 | 2.01543 1.52804 | -878.944 -3150.08
-36.8558 67.1109 | 1.10167 -0.280147 | -1346.45 2491.83
-36.3639 67.1912 | 1.73864 1.38675 | 2086.82 2034.26
-35.8809 67.3209 | 2.23068 1.56798 | 549.232 -107.986
-35.4117 67.4957 | 2.02892 -0.874883 | -2259.45 1397.02
-34.9603 67.7116 | 2.5248 -1.54108 | 3047.98 10.2542
-34.5222 67.9581 | 3.79052 0.911192 | 4645.77 1893.47
-34.0949 68.2299 | 4.06875 2.07464 | -1279.43 -808.803
-33.6821 68.5217 | 2.931 0.95223 | -1762.82 -2939.7
-33.2843 68.8302 | 1.92749 -0.495617 | 1086.69 -1030.95
-32.9028 69.1584 | 1.5199 -0.582805 | -567.231 4499.5
-32.5435 69.5136 | -0.352263 -0.714436 | -2430.37 4029.49
-32.2058 69.89 | -3.08318 -0.607517 | -272.154 -5518.83
-31.8764 70.2694 | -4.46858 1.68997 | 653.205 -5765.94
-31.549 70.646 | -2.97569 2.79648 | -2806.25 730.223
-31.2288 71.0268 | 0.48181 -0.123743 | -1806.74 -487.473
-30.9137 71.4109 | 2.74696 -2.35218 | 840.137 5195.41
-30.5957 71.7973 | 4.43304 -2.98705 | 6129.85 1922.35
-30.2611 72.1751 | 4.20154 -2.24819 | 2597.62 -2528.78
-29.9096 72.538 | 2.4458 -1.88321 | -1898.93 -513.558
-29.549 72.8911 | 0.76782 -0.665495 | 351.314 750.477
-29.1816 73.2387 | 2.19259 0.9091 | 3630.2 5712.26
-28.807 73.5858 | 3.51683 0.791821 | 2106.15 2024.39
-28.4246 73.9277 | 0.612249 1.21871 | -2048.09 -4230.46
-28.0362 74.2573 | -1.61423 1.04274 | -6841.67 -1636.57
-27.6452 74.5748 | -1.02081 -0.582409 | -6887.59 -2121.72
-27.2462 74.8723 | -1.02581 -1.26722 | -561.907 -3746.66
-26.8266 75.1347 | -0.848422 -3.89855 | 2392.16 -442.545
-26.3831 75.3557 | -0.369387 -4.71188 | -369.013 -1170.6
-25.9219 75.5342 | -0.281421 -1.70025 | -5932.5 1102.02
-25.4516 75.6752 | -1.09993 0.701176 | -118.727 389.678
-24.9713 75.7777 | -2.42487 1.84727 | 5902.9 1810.79
-24.4804 75.8421 | -2.40284 1.61367 | -179.385 527.531
-23.9862 75.8675 | -1.31682 1.33556 | -7017.56 -543.57
-23.4964 75.8538 | -1.47493 2.70131 | -1032.36 3223.57
-23.0097 75.806 | -2.44998 2.76325 | 7316.57 4725.53
-22.5236 75.7195 | -1.57366 3.13654 | 5802.38 -5519.34
-22.0481 75.5717 | 0.508619 3.58245 | -4049.07 -2259.73
-21.5989 75.3613 | -0.0835862 0.611963 | -7223.78 -166.863
-21.181 75.1014 | -1.42837 -0.263878 | -861.293 -89.1747
-20.781 74.8153 | -0.412423 1.06079 | 4388.31 1601.77
-20.3791 74.5276 | 1.70078 0.562672 | 5122.42 -2427.15
-19.9645 74.2505 | 1.63881 -0.667655 | 3053.56 -1673.65
-19.5328 73.9955 | 0.898629 1.69723 | 563.85 3589.76
-19.0826 73.7758 | 0.307762 2.22959 | -635.189 2263.6
-18.6175 73.5916 | 0.576338 0.806254 | 1.65318 -1131.46
-18.1416 73.4355 | 1.49803 0.638582 | 832.368 -1966.54
-17.6573 73.3041 | 1.12044 0.679112 | -238.777 3888.86
-17.167 73.2006 | 0.344879 1.67795 | -753.987 441.383
-16.6743 73.1132 | 1.18643 2.72729 | -1944.05 -915.916
-16.1824 73.0283 | 1.67683 3.27231 | 748.216 -9060.42
-15.6893 72.9362 | 1.22395 3.37855 | 7957.28 1179.11
-15.187 72.8621 | 0.339329 2.83988 | 3652.5 8816.14
-14.6783 72.8229 | -0.817177 3.36561 | -2440.33 -3483.75
-14.1701 72.8003 | -0.991224 4.27504 | -3493.02 -3746.1
-13.6644 72.7908 | -1.32329 1.63975 | -2468.16 2676.03
-13.1606 72.8062 | -1.30605 1.78597 | 1746.29 855.206
-12.6574 72.8482 | -0.878567 2.55085 | 1023.12 1420.63
-12.1559 72.9158 | -0.232678 1.4119 | 510.729 -1526.47
-11.6569 73.0033 | 0.465142 2.3061 | 1777.83 -871.19
-11.1612 73.1119 | -0.466596 2.05638 | -2130.11 2481.79
-10.6733 73.2474 | -0.906686 0.921574 | -1990.1 162.884
-10.1941 73.4053 | -0.0821052 0.916589 | -1977.4 -2974.54
-9.72279 73.5791 | -0.890042 2.54294 | -322.592 347.567
-9.25903 73.7714 | -0.776972 4.10534 | 1150.98 4217.58
-8.8021 73.9835 | 1.06323 4.02123 | -1198.72 155.166
-8.34935 74.2025 | 2.90742 4.08325 | -1875.65 -3582.96
-7.8956 74.4141 | 4.8566 3.87005 | 1041.57 -1887.79
-7.43633 74.614 | 4.56261 3.12344 | 4002.51 -289.09
-6.97057 74.8059 | 2.99982 6.33174 | 855.284 4208.81
-6.50297 74.9984 | 3.10556 7.18818 | -2221.61 2707.26
-6.03429 75.1869 | 4.14957 2.01452 | -403.601 -2748.12
-5.55881 75.3548 | 2.76012 1.46237 | 1413.3 -361.7
-5.07351 75.4942 | 0.23514 4.29244 | 765.5 -1363.12
-4.57902 75.5988 | 0.0647467 3.69963 | 384.657 1153.65
-4.07766 75.6668 | 0.977715 0.286642 | 748.787 -3616
-3.57174 75.6913 | -1.2123 -1.60877 | 296.02 624.413
-3.06466 75.6782 | -3.41672 0.0355503 | 2392.46 -127.43
-2.55765 75.63 | -3.2324 1.83629 | 2248.02 39.9727
-2.0534 75.5472 | -2.58381 1.58708 | 372.031 3562.45
-1.55729 75.4276 | -2.45321 1.54216 | -5292.44 -5237.8
-1.08095 75.254 | -2.51488 1.53168 | -6295.62 -1579.12
-0.629518 75.0317 | -2.27445 0.513306 | 2390.21 4817.62
-0.195851 74.7761 | -0.157279 2.51059 | 4658.85 -3476.49
0.218637 74.4825 | -0.00515687 3.70847 | 2470.28 -7512.73
0.608261 74.1487 | -0.441288 4.05289 | -1976.06 97.3146
0.97222 73.788 | -0.289964 4.29969 | -207.827 5833.97
1.31523 73.412 | -0.395224 3.87179 | -2162.91 1331.1
1.63257 73.0174 | -0.145031 3.50362 | -1707.1 257.499
