0.687283 76.343 | -0.208008 -2.16922 | -3951.67 -5276.57
1.15999 76.1615 | 1.16617 -1.28753 | -9848.48 1682.72
1.61772 75.9622 | 3.56812 3.04878 | -1252.4 4731.7
2.07285 75.765 | 3.38342 2.27259 | -720.091 2098.25
2.53075 75.576 | 3.54831 0.122359 | 9103.99 -1994.28
2.99709 75.3937 | 2.33143 3.39047 | -10103.5 -5182.96
3.46079 75.2163 | 1.50332 2.97871 | 1087.69 351.748
3.93459 75.0685 | 1.18834 0.100028 | 4470.12 1104.43
4.42357 74.9734 | -0.693371 -3.61629 | -5657.02 8710.5
4.91885 74.9466 | -0.216161 -2.28157 | 14951.3 -3027.63
5.42511 74.9681 | -0.81541 0.423178 | 3392.78 1532.83
5.93122 75.0293 | 0.892331 1.19125 | -10205.8 -5239.42
6.42585 75.1174 | 1.6482 2.69138 | -1857.04 -7207
6.90969 75.2365 | 1.69853 0.593906 | -8749.83 13202.6
7.37223 75.4148 | 1.3681 0.815555 | 10449 -1641.7
