-1.15634 -33.6048 | 0.95274 -2.42338 | -2063.48 1111.53
-0.690279 -33.427 | 1.18895 -3.24559 | -469.762 -1483.49
-0.218551 -33.2691 | 0.263961 -3.30028 | -928.631 -1476.61
0.262259 -33.147 | -0.858743 -3.15878 | 364.585 -3031.54
0.75243 -33.0714 | -1.46734 -1.77223 | 1892.96 -3296.95
1.24895 -33.0395 | -1.48016 -0.552799 | 1154.62 -418.652
1.74753 -33.0328 | -1.36808 -0.698598 | -1177.84 846.118
2.245 -33.0302 | -1.20786 -1.12841 | -1528.8 3296.31
2.7406 -33.0134 | -1.18507 -0.91918 | 54.2107 3681.82
3.23523 -32.9772 | -1.30589 0.833789 | 855.641 1577.86
3.73008 -32.9311 | -1.14413 2.4484 | -280.877 1881.95
4.22569 -32.8908 | -0.816039 2.04349 | -934.607 -2231.59
4.72211 -32.8784 | -0.540462 1.90148 | -193.956 -3652.42
5.21789 -32.9064 | 0.112417 2.52672 | 1605.31 665.917
5.71164 -32.9705 | 0.737065 1.20377 | 2117.04 839.439
6.20155 -33.0685 | 0.504385 -1.36136 | 786.964 -1443
6.68438 -33.2014 | -0.46453 -2.0418 | 14.4475 -2200.22
7.15867 -33.365 | -1.70053 -1.21561 | 1727.43 576.264
7.62763 -33.5472 | -3.29928 -1.09876 | 3248.66 2688.46
8.09407 -33.7406 | -4.83728 -1.02889 | 1751.14 -585.048
8.55475 -33.9514 | -5.68218 -0.343876 | -119.622 -2222.12
9.00468 -34.1857 | -5.61027 0.176497 | -1655.72 -1494.33
9.44118 -34.4429 | -4.85735 0.0466542 | -1887.21 310.677
9.86596 -34.7163 | -3.77837 -0.0420611 | -2089.34 -292.193
10.2834 -34.9983 | -2.13401 1.18237 | -845.511 -939.764
10.7021 -35.2776 | -0.441002 2.68931 | 1595.49 2336.26
11.1322 -35.5381 | -0.185075 2.04782 | 120.321 3648.98
11.5761 -35.7713 | -0.626744 0.43573 | -2752.41 650.484
12.0299 -35.9795 | -0.564407 0.0997756 | -1477.96 -1004.18
12.4929 -36.1644 | -0.436476 -0.398647 | 1676.21 -273.889
12.9672 -36.3223 | -0.253785 -1.67101 | 1680.54 -1171.57
13.4521 -36.4506 | -0.00484863 -2.749 | 891.301 521.117
13.9459 -36.5438 | -0.123651 -2.63427 | 1549.35 3079.24
14.4466 -36.5994 | -0.903701 -2.10363 | 1341.98 687.216
14.9507 -36.6275 | -1.88401 -2.60086 | 98.281 -765.07
15.4555 -36.6411 | -2.22053 -2.44207 | -325.401 -4300.41
15.9602 -36.6504 | -1.88118 -1.27263 | -524.203 -4377.36
16.4642 -36.6486 | -1.41722 -0.349231 | -2696.28 4603.78
16.9644 -36.6119 | -1.11047 -0.0014128 | -4908.3 4606.6
17.4564 -36.5357 | -0.936396 -0.184383 | -2887.35 -2466.35
17.941 -36.436 | -1.21343 -0.155857 | -306.99 -4341.49
18.421 -36.3222 | -1.91739 0.466661 | -123.729 -1984.54
18.8951 -36.1883 | -2.26445 1.21395 | -1027.54 2434.77
19.3592 -36.0233 | -1.60761 1.39711 | 1093.7 2045.64
19.8136 -35.8282 | -0.202129 0.395998 | 4795.71 -456.155
20.262 -35.6112 | 0.50375 -0.313202 | 3767.99 1648.46
20.7038 -35.3732 | 0.139412 -0.411856 | 684.143 3725.38
21.1371 -35.1153 | -0.677809 -0.407707 | 1058.49 -65.6696
21.5658 -34.8484 | -1.81503 0.260191 | 187.091 -3651.51
21.9924 -34.5816 | -2.30027 0.204132 | -3448.52 -2795.56
22.4133 -34.3128 | -1.75074 -1.33196 | -4639.8 -853.086
22.825 -34.0374 | -2.1966 -1.16226 | -1140.28 -1629.6
23.23 -33.7556 | -3.35256 0.522172 | 759.586 -1320.7
23.6289 -33.466 | -2.8548 0.526908 | -243.103 2155.3
24.0187 -33.1627 | -1.44002 -0.525511 | 497.91 4311.96
24.4017 -32.8462 | -0.708153 -0.995196 | 3872.63 1329.24
24.7874 -32.5275 | -1.15559 -0.441338 | 3147.6 -586.139
25.1797 -32.2138 | -2.5845 0.801954 | -788.357 721.637
25.5761 -31.905 | -4.12997 1.3685 | -199.549 310.213
25.9777 -31.6025 | -4.88195 0.416847 | 155.405 1329.07
26.3866 -31.3087 | -4.04722 -1.89634 | -1339.38 2409.76
26.806 -31.0297 | -2.72981 -3.36457 | 1157.03 -2424.82
27.2463 -30.7859 | -2.74583 -1.86343 | 2426.48 -4569.15
27.7104 -30.5908 | -2.71493 -0.235978 | 576.915 -535.93
28.1912 -30.4406 | -1.82578 -1.0028 | -630.758 1737.03
28.6822 -30.3287 | -1.29991 -0.83967 | -1021.2 -504.747
29.1793 -30.2554 | -1.01985 0.563656 | -2095.65 -1451.93
29.6785 -30.2199 | -0.537136 0.589549 | -2536.58 2029.02
30.1769 -30.2162 | -0.276382 0.09971 | -986.883 452.862
30.6733 -30.2458 | -0.561845 0.259819 | 848.368 -2479.54
31.1672 -30.311 | -1.15018 0.262137 | 1404.93 552.149
31.6579 -30.4035 | -1.18352 0.0366961 | 1184.92 261.824
32.1451 -30.5173 | -0.0949815 0.703444 | 280.184 -2167.13
32.6288 -30.6482 | 1.07684 1.05724 | -382.189 -36.8475
33.1109 -30.784 | 1.25385 0.263223 | -334.563 1444.29
33.5945 -30.9118 | 0.555098 -0.386241 | -678.098 588.563
34.0812 -31.0241 | -0.86909 -1.00732 | 225.492 1778.53
34.5724 -31.1146 | -2.3526 -1.743 | 1505.13 510.312
35.0682 -31.1845 | -2.99683 -1.06258 | 504.921 -1521.41
35.5667 -31.2377 | -2.91863 1.27876 | -1610.13 -511.829


-34.1588 19.3147 | -5.25649 0.867488 | 1925.46 58.6353
-33.7165 19.0776 | -3.58264 2.23295 | 1988.41 1557.6
-33.2715 18.8436 | -2.35513 2.7343 | -1374.58 -5126.65
-32.8277 18.6052 | -1.58664 1.86223 | 694.463 -1532.18
