-2.05927 30.6465 | 1.30936 1.37221 | 672.258 -2164.2
-1.57958 30.7826 | 1.3328 1.399 | 4643.47 -5644.13
-1.1028 30.9339 | 1.50437 0.0448778 | -2547.59 -318.52
-0.637279 31.1113 | 1.35002 -1.59698 | -5903.16 919.848
-0.189898 31.3225 | -0.0380618 -0.299444 | 756.515 5390.94
0.243892 31.565 | 0.0339309 -0.543223 | 6976.99 -1264.91
0.675735 31.8184 | 2.26015 -1.08906 | -729.218 -6187.29
1.10395 32.0748 | 2.36595 1.07121 | -661.593 5644.73
1.52412 32.3471 | 1.63236 0.71291 | 1304.86 2764
1.93985 32.6288 | 0.175874 1.72657 | -165.834 -6496.22
2.3551 32.9058 | -1.18396 2.67456 | -4415.11 -3209.45
2.76459 33.1829 | -0.330933 0.66322 | -3008.82 -3918.28
3.1649 33.4671 | -0.993763 0.312258 | 3481.8 5230.1
3.5539 33.7729 | -2.46574 1.74781 | 119.688 10433.5
3.92938 34.1026 | -0.437246 1.26051 | -4578.39 -4044.58
4.30385 34.4286 | 1.54047 1.19461 | 6733.53 -8210.93
4.69738 34.7308 | 0.789413 2.02115 | -2426.36 5149.59
5.10101 35.0216 | -0.915636 2.43073 | 3492.05 784.265
5.51954 35.2966 | -0.397016 2.91765 | 5718.82 3515.99
5.95408 35.5555 | 0.409478 3.62637 | 304.708 -1243.78
6.39981 35.7948 | 0.384555 1.70175 | -3575.53 -2056.13
6.8513 36.0163 | -0.396795 -0.0576339 | -3905.17 5011.36
7.3071 36.2246 | -0.0206524 1.02918 | -1818.81 -2637.99
7.77408 36.4013 | 0.934703 1.51778 | 3595.16 -1850.95
8.2571 36.535 | 0.585015 1.37936 | 3860.58 -4992.13
8.75286 36.6243 | -0.553327 -0.890875 | 754.727 8005.1
9.25412 36.6903 | -0.0155464 -2.10393 | 339.979 -1979.09
9.75897 36.7235 | 1.52976 -0.7567 | -1263.45 -2362.28
10.2648 36.7216 | 1.70006 -1.19007 | 6482.23 1454.92
10.7742 36.6906 | 1.00158 -1.42414 | 1292.84 -4862.14
11.2821 36.6287 | 1.46247 -1.7467 | -4309.96 7.51035
11.7842 36.5515 | 2.87562 -5.07041 | -6657.2 9486.81
12.2805 36.4758 | 2.92755 -5.23637 | -1894.35 -5267.15
