4.78687 -44.9182 | -0.0052006 -2.11047 | 1441.72 -1433.59
5.28193 -44.9686 | 0.390222 -2.49662 | -975.234 -663.19
5.77859 -44.9737 | 0.670081 -4.53976 | -2436.94 2935.82
6.27101 -44.9265 | 1.06652 -6.83306 | -1869.72 -632.217
6.75544 -44.835 | 1.1438 -7.27545 | -845.697 -2258.37
7.2308 -44.7083 | 0.699971 -6.63919 | 851.4 -1406.04
7.69682 -44.5503 | 0.209185 -6.3311 | 1757.79 -1343.34
8.15173 -44.3608 | -0.0580215 -6.30166 | -924.97 1215.13
8.59019 -44.1364 | -0.355161 -5.66097 | -1123.93 1500.79
9.01144 -43.8807 | -1.11738 -3.86443 | 1942.19 377.725
9.42204 -43.6048 | -2.29194 -1.11387 | 3312.6 1107.71
9.82868 -43.318 | -3.62189 1.72226 | 1169.68 3064.75
10.2353 -43.0272 | -3.62559 2.82686 | -690.748 1141.28
10.6491 -42.7465 | -2.03021 1.82119 | 887.554 -4239.57
11.0796 -42.4944 | -0.252355 -0.163748 | 1110.17 -2449.42
11.5279 -42.2755 | 1.09827 -1.98547 | 896.386 2689.05
11.9904 -42.0841 | 1.6659 -2.34353 | 1140.5 1292.6
12.4654 -41.9223 | 1.46699 -0.697578 | -1093.71 -1806.99
12.9497 -41.796 | 0.812311 1.78802 | -2442.53 -2808.94
13.4397 -41.7053 | -0.0517481 4.10914 | -1344.36 1218.71
13.9326 -41.6397 | -0.526034 4.92947 | 212.912 2273.51
14.4279 -41.5937 | -0.488338 3.48744 | 469.486 -1710.75
14.9251 -41.5698 | -0.234368 2.07923 | 120.14 734.945
15.4229 -41.5623 | 0.266461 0.825009 | 251.528 4167.69
15.9209 -41.568 | 0.714281 -0.0955249 | -514.916 1408.97
16.4173 -41.5991 | 1.00601 0.200222 | -1622.64 -2052.47
16.9078 -41.6723 | 0.862091 0.708808 | -898.465 -661.203
17.388 -41.7932 | 0.541345 1.09467 | -250.456 418.077
17.8532 -41.9614 | 0.592931 1.80019 | 109.273 -1.60484
18.2998 -42.175 | 0.259396 1.57239 | 1013.94 -1828.93
18.7262 -42.4301 | -0.271641 0.97352 | 3350.41 -1963.04
19.1357 -42.7179 | 0.112671 1.79006 | 4250.27 -360.721
19.5314 -43.0293 | -0.574587 1.15344 | -401.312 -525.516
19.9104 -43.361 | -1.58954 0.189885 | -3068.09 480.917
20.2721 -43.7089 | -1.49942 0.788304 | -436.673 1789.83
20.6228 -44.066 | -2.006 0.792481 | 91.5152 290.483


-14.0712 74.1726 | -1.70194 -0.254135 | -2388.05 -384.484
-13.5742 74.1947 | -1.00255 0.637035 | -1033.67 880.61
-13.0809 74.2541 | -0.222495 1.47713 | -90.8928 -144.245
-12.5926 74.3457 | 0.560752 1.13141 | 2171.87 -1615.75
-12.1086 74.4638 | 1.4984 0.941396 | 659.181 -686.174
-11.6316 74.6091 | 1.97995 1.49009 | -263.051 -282.396
-11.1652 74.7845 | 1.59911 2.16902 | -238.676 943.157
-10.7126 74.9928 | 1.0249 2.47961 | -2227.53 2036.09
-10.2762 75.2316 | 0.597137 2.0927 | -110.213 384.383
-9.85053 75.489 | -0.0756283 1.24875 | 118.211 -481.884
-9.42829 75.7512 | -0.952531 0.596935 | -582.823 -2899.97
-9.0034 76.0057 | -0.810828 -0.293794 | -1653.17 -943.938
-8.57348 76.2479 | -0.779096 0.268794 | -2471.6 962.539
-8.13651 76.4736 | -1.16709 0.793956 | 167.683 -1207.52
-7.68724 76.6727 | -1.63038 0.775695 | 902.808 517.006
-7.22435 76.8404 | -2.15232 1.75875 | 1871.17 378.899
-6.74845 76.9732 | -2.19255 2.85187 | 1770.74 374.62
-6.26237 77.0704 | -1.21916 2.67215 | -581.01 344.742
-5.77072 77.133 | -0.0525214 1.39992 | -1141.81 -302.643
-5.27667 77.1624 | 0.226076 0.750018 | -64.4604 1322.17
-4.7817 77.1627 | -0.0841281 1.50911 | 869.854 1335.43
-4.28687 77.1344 | -0.00294103 3.57889 | 550.762 -2341.01
-3.79431 77.0743 | 0.885044 3.9202 | -911.468 -507.62
-3.30569 76.9902 | 1.69227 1.83743 | 487.706 199.956
