-10.126 24.0696 | 0.659324 0.891798 | 2951.91 -5200.5
-9.74514 23.7395 | 1.71189 -0.72352 | 4188.65 -6078.85
-9.38626 23.3778 | 2.95985 -2.35688 | 3990.5 9745.29
-9.04221 23.0058 | 4.30824 -1.80061 | -12369.1 -1336.37
-8.72985 22.6137 | 2.61127 1.40533 | -26.8537 -177.528
-8.43105 22.212 | -0.670725 0.597773 | 5551.16 2606.02
-8.12868 21.8129 | 2.68464 1.23346 | -8042.15 4470.29
-7.82784 21.4184 | 0.739301 1.97241 | 8121.88 -6951.06
-7.51273 21.0273 | -2.1508 0.61071 | -293.042 1160.97
-7.18536 20.6474 | -2.93023 -2.04363 | -11217.3 2488.35
-6.84868 20.2834 | -1.95779 -0.955275 | 13195.8 4542.93
-6.47744 19.9486 | -1.99213 -2.10376 | 2930.03 -7807.2
-6.0881 19.6259 | -4.03723 -0.801608 | -5361.08 -4395
-5.69045 19.3135 | -0.545303 3.46654 | 3020.93 4883.9
-5.27348 19.0272 | 0.533532 0.259423 | 3768.92 128.871
-4.83834 18.7649 | 1.86451 0.159204 | 1950.57 -4156.23
-4.39216 18.5193 | 0.358488 -1.51533 | -14795.1 2521.67
-3.94508 18.2967 | -1.04974 -2.06382 | -385.607 8401.81
-3.48467 18.1124 | 0.440377 -0.571874 | 5104.15 -5111.6
-3.0103 17.9534 | 1.3726 -1.12172 | 981.747 -4792.96
-2.52473 17.8203 | -1.65278 -1.44323 | 8116.2 3785.15
-2.02365 17.7293 | -2.60005 2.31683 | 5962.34 4041.87
-1.51307 17.678 | -0.957413 0.900575 | -6300.17 -1855.42
-1.00543 17.6472 | -0.953846 1.42537 | -6882.76 -7206.49
-0.504375 17.6274 | -0.746226 0.946145 | -17111.8 1380.19
-0.0149834 17.6387 | -0.387216 -0.36017 | 7218.36 9340.51
0.47695 17.6954 | -0.743613 0.768693 | 20932.4 324.114
0.980399 17.7738 | 1.19226 1.21389 | -7221.35 -5030.09
1.47907 17.8562 | 1.6786 0.161877 | -11913.2 2946.81
1.96991 17.9422 | 0.270866 2.03942 | 12602 -2753.98
2.46965 18.015 | 1.2864 2.1636 | -1080.76 -1511.65
2.97086 18.0727 | 1.79931 0.646093 | -6473.34 -2091.19
3.4682 18.1188 | 2.54664 0.481819 | -5630.07 2571.35
3.96214 18.1629 | 1.28251 -0.686517 | 7872.95 1172.36
4.46162 18.2033 | -0.576447 0.163158 | 3566.45 5683.12
4.96473 18.2351 | -0.0804957 -1.80542 | -4296.87 -3189.46
5.46609 18.2321 | 0.278228 0.415015 | -1196.15 -10399.8
5.96436 18.1803 | 2.01579 0.70783 | 3051.95 7120.93
6.46164 18.1073 | 0.0692979 1.68373 | 796.99 -582.904
6.95573 18.0114 | -0.839438 0.117126 | 497.287 8320.74
