29.5743 -21.3022 | -0.0580003 -2.93601 | -773.838 10322
30.0554 -21.1732 | -0.322112 -0.266204 | 7734.86 -3620.08
30.5373 -21.034 | 0.485283 -0.828619 | -9660.92 -1075.57
31.0102 -20.8838 | -0.878102 -3.11157 | 1774.69 5104.97
31.4816 -20.7244 | -1.4097 -0.297658 | 3988.48 -5266.64
31.9584 -20.5759 | -2.86393 0.34894 | -2695.51 2825.41
32.4375 -20.4357 | -0.861815 0.312989 | 7381.46 -1438.46
32.9262 -20.3125 | 1.75419 1.63164 | 1291.35 422.954
33.4201 -20.2044 | -0.118179 2.30045 | -2430.81 -510.23
33.9161 -20.1103 | 1.31961 -0.556006 | 7565.16 -3262.22
34.4175 -20.0282 | 1.78933 -3.45929 | -11816.6 7649.85
34.911 -19.9406 | 1.36285 -3.83486 | -1343.68 -1798.3
35.4041 -19.8644 | -1.02615 -3.06313 | -172.451 -1057.72
35.8991 -19.8105 | -3.11684 0.136174 | -3531.57 1369.79
36.3937 -19.7858 | -0.724339 1.06324 | -578.41 -2871.79
36.8875 -19.8021 | -0.427105 -1.06768 | -1747.43 2362.3
37.3774 -19.8572 | -1.07542 0.68574 | 2637.74 -2312.74
37.8626 -19.9555 | -0.283899 1.08183 | 5553.61 5407.78
38.3398 -20.0905 | -2.9876 2.08026 | -18469.2 -1053.93
38.7873 -20.2748 | -3.5041 -2.96841 | -4332.69 3683.16
39.2141 -20.4956 | -2.84594 -4.6606 | 15991.6 -1716.54
39.638 -20.745 | -1.28026 -0.638548 | 11272.1 -9659.8
40.0542 -21.0282 | 2.87819 1.23206 | -1084.9 178.005
40.4531 -21.3345 | 1.69415 -1.38557 | -11345.4 14123.2
40.8296 -21.6524 | 2.8985 -1.1171 | 8918.18 -13764.6
41.1921 -22.0011 | 4.53 2.08316 | 7169.35 -8355.82
41.5438 -22.372 | 0.964522 0.491409 | -3009.62 7987.54
41.8833 -22.7472 | 0.990331 -0.794653 | -3892.98 7942.74
42.2068 -23.1255 | 1.02201 0.0963429 | -14917.3 2159.06
42.505 -23.5133 | -2.33252 -1.75413 | 5826.13 3004.01
42.8075 -23.8984 | -0.846189 -0.530511 | 10888.7 -3299.36
43.1217 -24.2828 | -0.711073 -1.12498 | -846.781 -4515.65
43.4281 -24.6766 | -0.972304 -3.60816 | -2324.78 2221.35
43.7174 -25.0805 | -1.01476 -0.815337 | -5611.48 338.969
43.9845 -25.4971 | 1.46232 1.17838 | 3342.86 -8786.28
44.2437 -25.9244 | 0.952723 1.52085 | -1205.14 11999.4
44.5058 -26.3416 | -3.4077 -0.301195 | -5256.2 3789.77
44.7703 -26.752 | -0.201894 -1.97908 | 1028.74 -7531.28
45.048 -27.1589 | 0.432238 -2.3315 | 37.3515 -3685.91
45.3532 -27.5492 | 0.608196 -0.887627 | 8542.11 2441.93
45.7035 -27.9036 | 1.08917 -3.95112 | 448.614 2192.72
46.087 -28.2217 | 0.662032 -5.17103 | -7599.03 -5888.1
46.4894 -28.5138 | 0.917631 -0.138401 | 11496.9 3577.52
46.923 -28.7653 | -3.4556 -2.35055 | -12803.5 719.752
47.3661 -28.9854 | -4.2203 -3.54981 | 5545.37 -802.033
47.8265 -29.1764 | 0.602175 -1.26318 | 6311.14 -9724.21
48.3032 -29.3437 | -0.668993 3.18961 | 1273.01 2868.78
48.7935 -29.464 | -1.55604 3.80391 | -7881 13277.1
49.2871 -29.5245 | 0.0933812 -1.28695 | -10110.6 -8654.4
49.7774 -29.5608 | -1.65914 -3.75186 | 13073 -159.213
50.2775 -29.5729 | -1.98498 -4.80642 | 7830.64 3511.7
50.7835 -29.5624 | -1.36877 -3.64544 | -8923.87 -8710.47
51.2834 -29.5456 | -1.75169 -2.83281 | -2769.74 7566.87
51.7785 -29.5049 | -1.16242 -3.60476 | -8490.17 -3193.5
52.2667 -29.4544 | -3.8212 -7.31452 | 6035.34 -3196.36
52.7568 -29.3979 | -2.57649 -2.69771 | -1361.43 3673.1
53.2442 -29.3256 | -2.50814 2.85453 | -6836.68 903.098
53.7276 -29.2436 | -4.31972 1.22602 | 19554.4 -7372.09
54.2233 -29.164 | -0.956344 -3.47708 | -2911.96 17276.1
54.7171 -29.0614 | -0.869861 -1.62273 | -3171.79 -10137.3


-87.7326 -31.3916 | 1.40993 5.65802 | -14458.6 -5090.63
-87.2729 -31.2244 | 1.95938 -3.91103 | 24690 14509.2
-86.7952 -31.0548 | 3.38184 4.27061 | -6582.88 -16292.2
-86.3129 -30.916 | 3.71701 3.86147 | -5689.17 7885.36
-85.8326 -30.7825 | 2.07766 4.05705 | -897.948 -36.5618
-85.3512 -30.6642 | -0.882468 3.70398 | -12039.1 -4750.62
-84.8731 -30.5727 | 1.05126 -1.05503 | 2616.01 -2244.7
-84.3912 -30.5061 | 1.3747 1.0349 | -4628.76 6846.35
-83.9095 -30.4511 | -0.193645 2.88507 | 7948.25 -425.965
-83.4207 -30.4209 | -1.01665 0.127113 | -3650.94 1349.78
-82.9311 -30.4224 | 0.352363 1.10192 | 13076.1 -10840.1
-82.4344 -30.4648 | 1.01366 -0.0967072 | -3804.59 13878.2
-81.9387 -30.5133 | 2.55517 4.68264 | 11171.5 -6822.36
-81.4378 -30.5876 | 2.60228 6.37159 | -557.248 572.655
-80.9385 -30.6842 | 3.68516 1.06722 | 8431.49 -7627.34
-80.4364 -30.8038 | -1.02051 1.91706 | 8569.53 7892.52
-79.9298 -30.9254 | 0.406233 -1.85619 | -5502.49 1346.19
-79.4321 -31.0625 | 2.47886 -2.18064 | -16127.1 -2804.45
-78.9562 -31.2293 | 1.09993 5.4243 | -6932.19 8952.03
-78.4962 -31.4167 | -0.161788 -0.07085 | 5891.94 -8619.78
-78.0476 -31.6412 | 0.743001 3.07098 | 415.006 -2523.84
-77.6111 -31.8925 | 0.911911 -0.63805 | 4172.28 3956.24
-77.1807 -32.155 | 0.928352 -2.44287 | -10533.2 886.474
-76.7648 -32.4296 | 0.801119 -1.62079 | 2693.29 49.2797
-76.3489 -32.7088 | -2.66974 0.0108947 | 20524.8 -5253.51
-75.9205 -32.9914 | -2.20016 -1.49154 | -17093.9 477.38
-75.5079 -33.2816 | -1.39689 1.96232 | -7146.24 6166.66
-75.1007 -33.5671 | 0.310564 3.12477 | 5762.85 -4286.74
-74.6834 -33.8434 | 0.533872 1.0844 | 1116.75 8321.72
-74.2537 -34.096 | 2.1549 0.460058 | -5364.33 -3356.26
-73.8211 -34.3399 | 0.361945 -2.92953 | 3818.89 -2775.71
-73.3796 -34.5732 | 2.01048 -3.27033 | 1034.34 8318.44
-72.9299 -34.7884 | 4.52552 2.10507 | -2546.13 -21167
-72.4789 -35.0107 | -1.34439 -3.97618 | 4794.66 12604.8
-72.0093 -35.188 | 1.16941 0.961514 | -8270.25 4964.45
-71.5297 -35.3161 | -0.927125 2.90409 | 8170.05 -2043.5
-71.0368 -35.4047 | -1.91559 -0.0940018 | -2264.89 -46.9001
-70.5426 -35.4605 | -0.164353 -2.35095 | -26325.6 -244.583
-70.062 -35.4908 | -2.75998 2.52302 | 22537 -3937.8
-69.5675 -35.4977 | -2.73202 -3.65554 | 1897.7 29.8378
-69.0706 -35.4713 | 2.32367 1.27997 | -4302.14 388.36
-68.5795 -35.4045 | -1.5995 0.343506 | 4708.62 4433.53
-68.0931 -35.2944 | -0.0812235 0.901748 | -3353.81 -1239.67
-67.6158 -35.1552 | 1.09173 1.24477 | 4117.77 -8831.62
-67.1427 -34.9985 | -3.69406 -1.59164 | 6252.84 3359.76
-66.681 -34.7998 | 0.93334 0.580636 | -7610.99 12190.2
-66.2487 -34.5433 | 1.90056 -1.93354 | 4533.59 -5638.76
-65.8327 -34.2611 | 3.31605 -1.72787 | -5818.95 -6808.91
-65.4356 -33.9614 | 2.55587 0.486084 | 6871.48 3504.74
-65.0533 -33.637 | -0.05831 3.89518 | -9907.26 7679.8
-64.6966 -33.2851 | 0.492979 3.93888 | 6752.29 -6985.61
-64.3372 -32.9338 | -0.33043 0.39755 | 16761.2 6644.53
-63.9688 -32.5786 | -2.052 1.72936 | -31326.4 3179.16
-63.6261 -32.2163 | 4.51252 -2.61234 | 14584.3 -26336.1
-63.2563 -31.8926 | 5.94943 0.957498 | -7295.55 9172.76
-62.8874 -31.5666 | 1.23977 0.559435 | 5512.82 13825.8
