39.5835 -26.3626 | 1.88026 -2.03923 | -392.11 -1448.18
40.0655 -26.2304 | 1.67708 -2.64532 | -1205.35 -1466.48
40.553 -26.1251 | 1.59335 -1.821 | -1253.11 504.291
41.044 -26.0441 | 1.6805 -0.903474 | -697.507 1039.18
41.5379 -25.9866 | 1.94113 -0.73143 | 29.6081 341.785
42.0342 -25.9559 | 2.18854 -1.04459 | 679.867 450.847
42.5322 -25.9553 | 2.24891 -0.291943 | 1492.94 -461.283
43.0302 -25.989 | 2.58852 0.281439 | 839.275 47.9917
43.5249 -26.0584 | 3.45148 0.261852 | -2142.65 1746.68
44.0109 -26.1641 | 4.25022 -0.143345 | -3118.15 2936.76
44.4829 -26.3107 | 4.32613 -0.642902 | -666.952 700.779
44.9344 -26.5085 | 3.79657 -1.16324 | 2133.64 -620.58
45.3568 -26.7647 | 2.95057 -2.45136 | 1097.87 -2063.17
45.7379 -27.0814 | 1.65302 -4.34873 | -1729.95 -2004.94
46.0684 -27.4515 | 0.134898 -5.63111 | -683.818 -330.177
46.3515 -27.86 | -0.333249 -5.71502 | 1771.48 -453.002
46.599 -28.293 | 0.446838 -5.22919 | 2322.53 -988.171
46.8215 -28.7413 | 2.02085 -4.40381 | 1538.12 -703.339
47.0253 -29.1997 | 3.32364 -3.34748 | 482.189 614.553
47.2135 -29.6644 | 3.54087 -2.42863 | -166.882 1710.07
47.3866 -30.1333 | 3.06745 -2.15821 | -1145.44 1847.07
47.5444 -30.6056 | 2.30027 -2.56937 | -2495.43 743.076
47.689 -31.0806 | 1.76908 -2.59306 | -361.394 146.573
47.8312 -31.5559 | 0.568653 -2.08574 | 1386.67 1086.29
47.9831 -32.0274 | -0.949163 -1.56311 | 1470.7 1345.97
48.1498 -32.4933 | -2.16388 -1.42263 | -370.506 -3.18511
48.3292 -32.9542 | -2.88813 -1.58994 | -566.715 163.73
48.5195 -33.4106 | -3.38094 -1.82652 | -460.828 -825.477
48.7207 -33.8631 | -4.37965 -1.98329 | -23.0287 -2461.18
48.9346 -34.3118 | -5.11557 -1.70124 | 810.2 -2045.97
49.1659 -34.7541 | -4.8111 -1.37436 | 322.195 -1496.1
49.4188 -35.1859 | -3.91172 -1.43657 | 433.152 1094.75


-77.0186 -20.3778 | 0.912408 0.502055 | -1844.31 3601.72
-76.553 -20.5501 | 0.441517 -0.240063 | -2753.12 -96.431
-76.086 -20.7125 | -0.103639 -1.14665 | -2883.82 -2186.76
-75.6178 -20.8649 | -0.491553 -1.29219 | -2081.69 -1938.66
-75.1451 -20.997 | -0.661268 -0.341 | -780.092 1030.32
-74.6643 -21.0896 | -0.922338 0.693605 | -189.596 3102.98
-74.1771 -21.1303 | -1.3895 0.767424 | -376.55 -257.857
-73.6884 -21.1235 | -1.74251 0.0979147 | 277.118 -3499.56
-73.2012 -21.0782 | -1.8393 -0.682888 | 1918.24 -1935.5
-72.7178 -20.9931 | -1.92927 -1.11624 | 3338.97 539.933
-72.2415 -20.8625 | -2.31956 -1.07635 | 3278.77 2208.71
-71.7774 -20.6838 | -2.82141 -0.705694 | 2095.01 2064.17
-71.3293 -20.4617 | -3.09964 -0.127662 | 1579.74 -436.392
-70.8981 -20.2056 | -3.24824 0.560583 | 401.414 -556.7
-70.4851 -19.9209 | -3.64744 1.47243 | -1264.51 987.396
-70.0915 -19.6102 | -4.16809 2.41784 | -530.457 507.123
-69.7135 -19.2805 | -4.2137 2.89767 | 1690.42 -494.643
-69.3443 -18.9398 | -3.48557 2.54474 | 2425.66 -540.276
-68.9804 -18.5918 | -2.2784 1.29408 | 653.962 252.79
-68.6246 -18.2347 | -1.50049 -0.0335768 | -1294.05 768.244
-68.2808 -17.8664 | -1.99381 -0.28033 | -943.27 153.678
-67.9487 -17.4881 | -2.82719 -0.0124739 | -308.555 -106.144
-67.6251 -17.1028 | -3.18166 0.0393721 | -606.421 202.17
-67.3068 -16.7135 | -3.35618 0.0190969 | 125.367 -137.147
-66.9883 -16.3243 | -2.90587 -0.19568 | 1327.06 -764.943
-66.6651 -15.9388 | -1.92207 -0.455804 | 86.0725 83.6748
-66.3373 -15.5571 | -1.22683 -0.720166 | -634.313 484.301
-66.0051 -15.1792 | -1.2371 -1.13114 | -195.38 344.09
-65.6666 -14.8069 | -2.10486 -1.07704 | -412.864 206.573
-65.3191 -14.4434 | -3.46407 -0.0495161 | -541.52 -960.942
-64.9592 -14.0935 | -4.09383 0.860252 | -950.289 -1473.46
-64.5848 -13.7615 | -3.84697 0.965328 | -1344.61 -823.364
-64.1954 -13.4497 | -3.29257 0.655103 | -741.263 -654.984
-63.7897 -13.1608 | -2.3474 -0.289783 | -179.072 -34.0104
-63.3678 -12.8966 | -1.24699 -1.81174 | 54.4532 1267.49
-62.9302 -12.6584 | -0.389885 -3.35732 | 257.045 942.882
-62.4769 -12.4508 | 0.0501444 -4.22516 | -722.565 552.734
-62.009 -12.2808 | 0.128247 -3.65369 | -2270.33 784.011
-61.5291 -12.1575 | 0.182612 -1.86117 | -3102.97 75.5464
-61.0413 -12.0941 | 0.45237 -0.268433 | -3253.8 -604.067
-60.5531 -12.1023 | 0.666073 -0.0278191 | -2619.64 -724.439
-60.0746 -12.1854 | 0.345474 -0.950281 | -884.188 368.373
-59.6126 -12.334 | -0.365153 -1.34386 | 1055.99 1928.86
-59.1684 -12.531 | -0.930745 -0.430023 | 1319.75 1562.75
-58.7404 -12.7626 | -1.37654 0.747485 | 1525.64 1192.26
-58.3258 -13.0193 | -1.80034 1.59582 | 2107.91 1249.41
-57.9228 -13.2952 | -2.11315 2.20323 | 1588.54 1102.53
-57.5329 -13.59 | -2.12748 2.48231 | -479.899 112.215
-57.1616 -13.9069 | -1.72863 2.56511 | -2060.92 -830.896
-56.812 -14.2463 | -1.34817 2.59566 | -376.25 -73.2541
-56.4783 -14.6017 | -1.3863 2.45516 | 1303.54 -364.415
-56.1516 -14.9652 | -1.68429 2.02662 | 971.588 -2035.78
-55.8238 -15.3306 | -2.17721 1.23016 | 1329.94 -2134.07
-55.4856 -15.6897 | -2.45281 0.577199 | 2310.74 -679.281
-55.1281 -16.0325 | -2.25011 0.321136 | 2098.49 -366.771
-54.7476 -16.3526 | -1.544 0.390076 | 1378.01 -1654.64
-54.345 -16.6481 | -0.402878 0.892152 | 2006.28 -2039.71
-53.9204 -16.9161 | 0.431602 1.05863 | 1964.9 -2452.53
-53.4742 -17.1518 | 0.786898 0.917883 | 1447.05 -1246.5
-53.0063 -17.3448 | 1.12494 2.04423 | 1433.37 1682.18
-52.518 -17.4802 | 0.953731 3.24218 | 1473.69 2437.81
-52.0151 -17.5469 | 0.423046 2.83659 | 1656.5 2709.49
-51.5064 -17.5416 | 0.174215 1.62877 | 1190.42 2490.95
-51.0013 -17.4692 | 0.146498 0.405148 | 317.051 79.3524
-50.5071 -17.3403 | -0.0108179 -0.333886 | -597.75 -529.689
-50.0291 -17.1619 | -0.305763 -0.403971 | -1438.95 405.577
-49.5728 -16.9362 | -0.545079 -0.460802 | -2108.28 1154.78
-49.1429 -16.666 | -1.05093 -0.437918 | -1940.56 826.024
-48.7403 -16.3582 | -1.84286 -0.239889 | -1264.71 -234.656
-48.3615 -16.023 | -2.33515 -0.257856 | -1508.3 -567.827
-48.0012 -15.67 | -1.89208 -1.03345 | -1225.97 -1464.38
-47.6513 -15.3089 | -0.437966 -2.56887 | 494.895 -3145.67
-47.3037 -14.9481 | 0.818229 -3.77842 | 508.52 -1793.2
-46.9568 -14.5878 | 0.742102 -3.70862 | -117.951 965.083
-46.6133 -14.2237 | -0.324007 -2.75124 | 445.065 1749.81
-46.2743 -13.8538 | -1.07864 -1.99062 | 347.046 1239.81
-45.9391 -13.4791 | -1.13894 -1.4515 | -71.5034 -149.522
-45.6063 -13.1024 | -0.333915 -1.09096 | -946.165 -255.08
-45.2744 -12.7259 | 1.20967 -1.18233 | -2457.48 1041.86
-44.9403 -12.3524 | 2.34336 -1.49354 | -1953.57 373.761
-44.5941 -11.9916 | 2.79393 -2.18703 | 15.5032 -1695.84
-44.2225 -11.659 | 2.59036 -2.97359 | 889.907 -2352.71
-43.8187 -11.3679 | 1.64611 -2.95637 | 1258.06 -2102.96
-43.3846 -11.1244 | 0.31495 -1.74382 | 947.645 -1273.33
-42.9282 -10.9246 | -1.0588 0.529058 | -628.057 1096.08
-42.4593 -10.7564 | -1.9351 2.48527 | -970.057 960.929
-41.9836 -10.6098 | -2.04095 2.53819 | -181.03 -598.329
-41.5039 -10.4783 | -1.95237 1.35913 | -2.00854 1908.17
-41.0223 -10.3519 | -2.0655 0.259964 | 784.373 3066.87
-40.5389 -10.2272 | -2.03163 -0.858305 | 1850.79 223.123
-40.0514 -10.1111 | -1.53626 -1.88153 | 1473.35 -1236.68
-39.5594 -10.0098 | -0.77795 -2.1891 | 557.858 -1401.92
-39.0642 -9.92283 | -0.073937 -1.98422 | 426.694 -1171.03
