50.2325 -52.6924 | -0.0324588 3.98837 | -1430.17 2448.57
50.7153 -52.8036 | 0.693463 3.4332 | -7904.57 -2359.05
51.1835 -52.9493 | -1.35571 2.86458 | -1556.2 978.819
51.6439 -53.1159 | -0.9244 2.17806 | 10839.3 -3660.37
52.1091 -53.2917 | -1.35752 0.715579 | 811.92 409.103
52.5779 -53.4608 | -0.611605 2.28493 | -5356.71 782.018
53.0502 -53.6101 | -0.0115237 -0.334579 | 5316.94 1815.1
53.5354 -53.726 | -1.6171 -0.545148 | 8067.87 2012.89
54.0335 -53.8064 | -1.37463 -1.05801 | -569.998 3059.52
54.5348 -53.8613 | -0.305743 0.405561 | -10901.9 -8790.45
55.0303 -53.9119 | -0.0443266 4.93744 | 5454.8 894.213
55.5303 -53.9423 | 1.68119 4.1095 | 4435.72 1872.96
56.0337 -53.9406 | 1.60343 4.17312 | -8578.17 -427.276
56.5298 -53.9034 | -0.145593 4.72247 | -3702.05 64.3671
57.0184 -53.8268 | -2.62044 3.46568 | 5193.29 -239.288
57.5019 -53.7105 | -2.35671 0.860569 | -2731.77 1199.22
57.9724 -53.5529 | -0.637172 0.912727 | 1282.89 -4979.52
58.4292 -53.3606 | -1.19452 -0.0934734 | 433.731 1389.81
58.8649 -53.123 | -2.3235 -0.42393 | -2108.51 6470.91
59.2721 -52.8369 | -0.648132 -1.25771 | 2556.38 -2610.23
59.6587 -52.5237 | -1.05101 1.29698 | -2925.2 -7330.96
60.0251 -52.1945 | 0.453909 -1.29908 | 2628.11 -7020.66
60.3698 -51.8454 | -1.90397 -2.06465 | -2991.19 16533.9
60.6748 -51.4527 | -0.931063 -0.0269807 | 5485.28 -3020.1


-26.2471 -36.9559 | -2.21285 -1.38683 | 1125.42 -2999.91
-25.7723 -36.7995 | -0.971044 -2.96941 | -1315.09 7193.89
-25.301 -36.6341 | -2.15158 0.262116 | -7119.28 -10414.9
-24.8331 -36.4814 | -3.92099 3.62532 | -3841.87 42.0675
-24.3677 -36.3305 | -0.345301 1.34891 | 5468.38 4184.3
-23.8995 -36.1738 | 0.942127 0.338126 | 4458.78 7305.3
-23.4271 -36.0151 | -2.44459 5.5614 | -5563.55 -4875.7
-22.9508 -35.8813 | -1.50772 2.52014 | 1865.01 -2249.6
-22.4647 -35.7835 | -0.426235 -1.32563 | 5290.58 3453.64
-21.9677 -35.7215 | -0.7443 -1.887 | 9822.05 -3337.57
-21.4604 -35.7049 | 0.424861 0.550466 | -5762.6 -9297.85
-20.957 -35.7282 | -0.86068 2.14716 | -5935.29 16230.4
-20.4595 -35.7488 | 2.3449 1.19127 | -7009.55 1203.5
-19.9685 -35.7874 | 3.76232 -0.615951 | 495.266 -9490.1
-19.4816 -35.8671 | 2.4669 0.702065 | 6091.74 921.618
-18.9949 -35.971 | 1.94747 -0.677605 | 2603.85 7513.69
-18.5099 -36.0881 | 1.3911 -4.17491 | -1922.82 -4321.54
-18.0336 -36.2373 | 2.61281 -0.00774312 | 3912.33 1775.7
-17.5657 -36.4195 | 3.45437 2.39457 | 5544.19 -8090.64
-17.1114 -36.6459 | 2.64946 2.35507 | -4808.33 2586.8
-16.6775 -36.9051 | 2.01229 1.01001 | 3847.28 -2377.6
-16.2596 -37.1931 | -2.69376 -2.86652 | -2812.44 9.70938
-15.8608 -37.5029 | -3.03218 -1.29387 | -11663.6 3924.95
-15.4811 -37.8223 | -0.999816 0.955923 | -505.384 7082.52
-15.1004 -38.1331 | -5.42112 -2.10367 | 3461.75 1592.05
-14.711 -38.4345 | -3.04 -2.13615 | 216.934 -6150.26
-14.3168 -38.7346 | -0.339971 3.06747 | 1438.79 670.077
-13.9132 -39.0244 | -4.00511 1.71921 | 2501.43 -3215.68
-13.4976 -39.3007 | -2.90846 -0.0319775 | -2765.08 4483.61
-13.0707 -39.5529 | 1.23012 2.85759 | -344.494 5484.28
-12.6343 -39.7818 | -0.5923 3.25245 | -5601.63 -2223.9
-12.1991 -40.0061 | -3.40402 1.2205 | -5279.73 -6735.8
-11.7647 -40.2302 | -3.88815 1.4489 | 8675.12 1103.71
-11.313 -40.43 | -0.90314 1.30767 | 3124.5 3653.42
-10.8453 -40.5956 | 1.00434 0.0931734 | 794.929 -4225.94
-10.3678 -40.7372 | -0.162848 3.17089 | -39.9462 -2930.05
-9.88288 -40.8518 | -0.683916 3.19543 | -3452.45 5747.61
-9.3929 -40.9261 | -1.20388 -0.68536 | 1453.18 -1873.84
-8.89782 -40.9693 | -2.6999 2.11918 | 5230.86 1526.84
-8.39716 -40.9849 | -1.14008 4.52251 | 2113.31 -4656.02
-7.89448 -40.9846 | -0.048483 3.28121 | -2788.15 1546.07
-7.39434 -40.9622 | 1.18986 1.16609 | -3609.94 -2868.54
-6.89868 -40.9187 | 3.03658 2.45258 | -1234.15 2023.9
-6.40777 -40.845 | 0.937338 -1.32419 | 430.244 -3385.27
-5.92186 -40.7417 | 1.20202 -1.20986 | 5233.94 4887.88
-5.44176 -40.597 | 2.47557 0.481932 | 4097.3 3994.06
-4.97103 -40.4147 | 2.05952 -0.355046 | -8240.91 -3423.52
-4.51589 -40.21 | 3.57281 -0.813598 | -4102.32 1758.74
-4.06948 -39.9928 | 2.69544 0.593378 | 6593.75 -7164.47
