11.7044 -44.843 | -0.132375 0.892375 | 3918.61 2057.35
12.2065 -44.8772 | 0.28116 -1.30009 | -326.581 -10065.2
12.7105 -44.8856 | 1.73837 -1.2437 | 5283.32 8072.91
13.2152 -44.8409 | 0.183427 -4.67731 | -8418.01 -1564.35
13.7072 -44.7469 | -1.01045 -3.16611 | -5287.6 4419.42
14.1846 -44.6042 | -1.91031 3.6614 | 9842.36 21.7309
14.6581 -44.4335 | -3.50099 1.45365 | -6554.96 -13375.4
15.1203 -44.249 | -0.000275959 -2.74777 | 4190.52 12994.6
15.5687 -44.0204 | -2.07471 2.65956 | 2399.1 5871.53
16.004 -43.76 | -3.71613 2.47025 | 82.5211 -10445.2
16.4322 -43.4947 | -1.97974 -0.875767 | -3716.7 -1709.08
16.848 -43.2169 | -2.64105 2.93884 | -4691.79 2169
17.2482 -42.9198 | -1.65165 1.73814 | 5169.33 4441.9
17.6436 -42.6093 | 1.37702 -2.45743 | -1805.48 -3943.77


-32.4944 62.5269 | -0.781906 2.6753 | -173.015 5021.3
-32.2219 62.9504 | 1.60445 2.4245 | 2239.03 -4067.77
-31.9614 63.3795 | -0.610432 1.50221 | 843.922 -1981.24
-31.7138 63.8145 | -0.337837 2.89523 | -2923.63 -1232.07
-31.4863 64.259 | 1.58023 -0.284731 | -2507.25 8416.83
-31.2766 64.717 | 1.08339 -1.22339 | 7185.6 -1907
-31.0641 65.1751 | 4.46671 -0.457563 | -4433.56 -2356.42
-30.8543 65.6323 | 2.80791 0.419435 | 2239.36 3465.66
-30.6382 66.0896 | 0.335373 0.393134 | 4924.29 631.068
-30.411 66.544 | 1.75775 -1.59664 | -7544.99 3407.53
-30.1831 66.9978 | 0.457526 -0.717092 | -1360.4 -1321
-29.9355 67.4386 | 0.263484 0.817877 | 4714.71 -10705.1
-29.6484 67.8494 | -1.79921 -0.966221 | 4162.67 2444.28
-29.3296 68.2399 | -0.856442 -1.08919 | -6760.47 8542.68
-28.9956 68.6195 | 0.649702 -0.190869 | 486.84 -5707.01
-28.6324 68.9682 | -0.245607 -1.67803 | 5843.26 -717.407
