1.21674 64.1752 | 0.456185 -5.68239 | 7657.35 1794.11
1.67902 63.9947 | 1.42346 -0.901111 | -5879.2 -559.982
2.1221 63.7747 | 1.23916 -0.414396 | 10310.1 -3724.88
2.55405 63.5187 | -0.260818 0.989172 | 179.184 -2295.39
2.96887 63.2314 | 1.38566 3.17453 | -1380.72 -3844.99
3.36894 62.9202 | 1.2403 -1.72574 | 9402.74 -3652.31
3.76967 62.6014 | -0.770001 -0.922325 | -9649.82 10248.5
4.1657 62.2923 | 0.199758 2.59511 | -8794.05 7435.77
4.55984 61.9936 | -0.843895 3.24818 | 14766.2 -4343.6
4.96495 61.6955 | -1.17314 3.77353 | -7297.23 -11656.4
5.36232 61.3849 | -0.808651 3.00742 | -1313.04 8626.41
5.7663 61.0912 | 1.16428 2.52798 | -7538.66 3455.68
6.17949 60.8219 | 0.646 4.44746 | 1093.37 -392.263
6.61264 60.5845 | 0.378054 3.34268 | 11655.5 874.827
7.07244 60.3857 | 1.68754 2.34155 | -4464.31 -3306.26


13.0401 -11.3126 | 1.87207 2.36513 | -15641.8 -50.9186
13.5252 -11.2685 | 1.38891 4.15238 | 14307.7 -1387.43
14.0225 -11.2576 | 0.813094 0.711601 | 6927.45 7204.06
14.5252 -11.278 | -0.628009 2.60945 | -5522.68 -9094.86
15.0199 -11.3556 | 0.389954 5.64545 | -2695.84 -3464.99
15.504 -11.4783 | -3.39062 1.78179 | 3035.81 8238.49
15.9835 -11.6189 | -2.72797 3.21543 | -1673.19 -779.012
16.4548 -11.7834 | 1.86251 2.66237 | 3282.96 -51.476
16.919 -11.973 | -0.00808086 0.914767 | 1601.26 103.189
17.3719 -12.1916 | -0.439291 1.87769 | 1732.67 -1900.9
17.8076 -12.4451 | -1.26394 1.04462 | -3230.4 2383.97
18.2174 -12.7339 | -2.08605 -0.232558 | -2469.7 -1226.91
18.5949 -13.0613 | 1.2269 -3.6274 | -1748.4 -512.253
18.9397 -13.4216 | -2.31709 -4.3194 | -2739.5 347.842
