28.2422 72.8973 | 0.675641 2.32365 | -842.45 -567.362
28.7453 72.9486 | 0.569636 1.7679 | -1682.35 -60.8394
29.2476 72.9893 | 0.369641 1.46695 | -2375.64 1094.55
29.7479 73.0276 | 0.152076 1.84826 | -2111.03 1021.76
30.2462 73.0668 | -0.0383852 2.43838 | -1758.08 -136.266
30.7428 73.1063 | -0.146366 2.54964 | -1864.31 423.792
31.2376 73.1454 | -0.157513 2.29833 | -1642.79 1345.58
31.7313 73.1816 | -0.130287 1.64875 | -1015.75 899.126
32.2246 73.2068 | -0.137532 0.571118 | -743.934 -556.854
32.7174 73.2097 | -0.224552 -0.673999 | -392.266 -1871.82
33.209 73.1822 | -0.414969 -1.67827 | 626.348 -2016.36
33.6989 73.1257 | -0.679952 -2.07462 | 1499.42 -828.562
34.188 73.0511 | -0.965673 -1.94881 | 1482.16 -158.666
34.6781 72.9723 | -1.1922 -1.42965 | 1124.77 361.365
35.1707 72.903 | -1.37979 -1.01369 | 903.684 1674.01
35.6664 72.8545 | -1.48609 -0.800843 | 453.135 816.205
36.1644 72.8304 | -1.50526 -0.959975 | 236.795 -70.3232
36.6633 72.8299 | -1.56089 -0.800535 | 361.249 219.757
37.1621 72.852 | -1.80332 0.263458 | 393.525 140.82
37.6599 72.8941 | -2.11544 1.58735 | 228.448 -249.497
38.1562 72.9526 | -2.25121 2.5194 | -65.5306 -383.467
38.6506 73.0242 | -2.1304 2.92388 | -741.679 -729.099
39.1423 73.1065 | -1.83593 3.03154 | -1390.49 -1078.4
39.6309 73.1988 | -1.51294 3.12149 | -1276.51 -1353.79
40.1157 73.303 | -1.26843 3.27086 | -789.549 -929.539
40.5956 73.4242 | -1.09498 3.29976 | -348.704 91.4973
41.0686 73.5693 | -0.938397 3.05793 | 332.883 437.823
41.5323 73.7427 | -0.708411 2.46532 | 1074.97 847.935
41.9851 73.9458 | -0.445278 1.83095 | 1427.41 1114.56
42.426 74.1771 | -0.146359 1.14993 | 1097.71 633.088
42.8549 74.4321 | 0.223006 0.331022 | 318.467 282.158
43.2726 74.7061 | 0.365782 -0.197631 | 111.923 -7.2093
43.6811 74.994 | -0.137868 0.10062 | 195.705 97.3011
44.0832 75.2911 | -1.36568 1.36243 | 387.828 -163.688
44.482 75.593 | -3.07172 3.33255 | -233.269 15.4076


24.1636 -10.4547 | 3.71678 -1.13647 | -1608.38 541.51
24.5866 -10.7179 | 4.03245 0.0220481 | -1041.7 322.388
25.0178 -10.9656 | 3.99162 0.865154 | -615.604 559.246
25.4596 -11.1918 | 3.70663 1.27553 | -624.365 868.878
25.9129 -11.392 | 3.34596 1.15161 | -764.11 923.463
26.3764 -11.5642 | 2.98054 0.443699 | -1293.46 -145.416
26.8476 -11.7104 | 2.76834 -0.312869 | -1715.1 -1510.22
27.3245 -11.8324 | 2.87407 -0.335765 | -1340.54 -1627.15
27.8067 -11.9267 | 3.31165 0.763332 | -371.521 -528.816
28.2941 -11.9846 | 3.80254 2.26749 | 353.19 -75.4327
28.785 -11.9982 | 4.11962 2.99831 | 636.39 -262.01
29.2753 -11.9634 | 4.33835 2.99074 | 718.844 -115.88
29.7603 -11.8794 | 4.46626 2.75072 | 900.887 -375.179
30.2357 -11.7489 | 4.45929 2.15326 | 963.286 -658.62
30.6982 -11.5758 | 4.37915 1.22221 | 470.164 884.833
31.145 -11.3635 | 4.40192 0.103816 | 516.617 1186.97
31.5767 -11.1198 | 4.39488 -0.729418 | 1056.32 -126.439
31.9976 -10.8562 | 3.89519 -0.741074 | 1232.33 -957.286
32.4127 -10.5825 | 2.93351 -0.16805 | 927.288 -638.041
32.8248 -10.3036 | 1.94103 0.452303 | 399.913 92.9775
33.2349 -10.0211 | 1.2205 0.804908 | 178.727 523.787
33.6441 -9.73623 | 0.604278 1.17893 | 440.35 687.453
34.0543 -9.4516 | 0.0958579 1.65611 | 936.755 573.894
34.4685 -9.1708 | -0.0924541 2.03137 | 950.114 437.892
34.8887 -8.89756 | 0.250958 2.0484 | 471.932 235.622
35.3166 -8.63546 | 0.76637 2.01697 | 84.6344 -237.726
35.7533 -8.38811 | 1.14629 2.0027 | 4.08577 -655.24
36.1992 -8.15836 | 1.53744 1.5767 | 93.5752 -672.463
36.654 -7.94691 | 2.13363 0.413821 | -370.077 906.375
37.1161 -7.75202 | 2.6665 -0.881622 | -484.673 2139.53
37.5858 -7.57532 | 2.80764 -1.44164 | 558.405 92.0911
38.0656 -7.42664 | 2.53096 -0.871321 | 839.768 -1324.65
38.5559 -7.31601 | 2.09881 0.544454 | 386.967 -937.159
39.054 -7.24811 | 1.79637 1.74711 | -50.8362 -806.752
39.5561 -7.22389 | 1.60719 2.2767 | -750.754 -205.281
40.0577 -7.24114 | 1.46931 1.97598 | -1408.66 1055.25
40.5552 -7.29661 | 1.38018 0.703439 | -1673.17 1346.8
41.045 -7.39036 | 1.44624 -0.673509 | -1667.89 649.861
41.5232 -7.52575 | 1.70055 -1.42789 | -1266.01 270.162
41.985 -7.70537 | 1.93413 -1.80047 | -563.148 -262.335
42.4267 -7.92909 | 1.98062 -2.07576 | 36.522 -887.593
42.8463 -8.19274 | 1.78916 -2.32299 | 139.492 -1287.6
43.2455 -8.48793 | 1.34474 -2.49623 | 69.0735 -990
43.6306 -8.80247 | 0.786092 -2.41411 | 899.632 534.456
44.0119 -9.12216 | 0.34362 -1.93734 | 1830.97 1333.72
44.3985 -9.43624 | -0.0195545 -1.22841 | 1757.64 510.604
44.7939 -9.74067 | 0.000324749 -0.0353956 | 945.619 -302.867
45.1978 -10.0356 | 0.454326 1.28411 | 66.9319 -347.159
45.6082 -10.3219 | 1.28009 2.18059 | -322.516 -222.423
46.0245 -10.5997 | 2.19371 2.31863 | -230.035 -186.587
46.4468 -10.8681 | 2.80573 1.64506 | -447.444 -521.227
46.8759 -11.1252 | 3.11886 0.656828 | -367.991 62.5466
47.3135 -11.367 | 3.26807 -0.185763 | 290.872 1604.53
47.7611 -11.5887 | 3.24236 -0.931912 | -151.089 1181.88
48.2168 -11.7915 | 3.1098 -1.67979 | -942.622 -145.561
48.6774 -11.981 | 2.91326 -2.66945 | -919.512 -96.3743
49.1406 -12.1615 | 2.63412 -4.1293 | -1068.28 -703.909
49.6054 -12.3358 | 2.40171 -5.50679 | -988.964 -1192.61
50.0726 -12.5023 | 2.48504 -5.704 | -242.189 -475.488
50.5451 -12.6531 | 2.8028 -4.53805 | 526.528 488.618
51.0254 -12.7777 | 2.97093 -2.53457 | 1000.45 1056.85
51.514 -12.8685 | 2.6401 -0.536653 | 905.892 846.673
52.0084 -12.9242 | 1.85673 0.881967 | 480.671 11.6196
52.506 -12.9487 | 0.974803 1.98054 | 302.752 -376.299
53.0045 -12.9477 | 0.248688 3.09691 | 466.751 266.746
53.503 -12.9261 | -0.215559 4.13319 | 599.081 -97.3618
54.0013 -12.8909 | -0.365104 4.67975 | 466.316 -1440.59
54.4993 -12.8488 | -0.267187 4.42057 | 211.036 -1416.43
54.997 -12.8013 | -0.0738686 3.35383 | 96.4561 -835.812
55.4938 -12.7445 | 0.0966248 2.29661 | -40.9702 -144.353
55.9883 -12.6715 | 0.222031 1.94194 | -376.29 1288.79
56.4786 -12.5753 | 0.410749 1.93695 | -455.395 1947.75
56.9632 -12.4544 | 0.744797 1.86564 | -7.36445 805.244
57.4432 -12.3152 | 1.0213 2.04674 | 280.104 -488.606
57.9207 -12.1672 | 1.1246 2.2905 | 191.581 -438.303
58.3979 -12.0174 | 1.11648 2.23613 | 244.371 419.424
58.8764 -11.8711 | 1.11944 1.709 | 413.093 414.16
59.3583 -11.7344 | 1.20462 0.836758 | 528.569 -422.464
59.8452 -11.6148 | 1.33343 0.074301 | 795.995 -1002.32
60.3375 -11.5174 | 1.36898 0.102186 | 809.749 100.894
60.8346 -11.443 | 1.27951 1.06552 | 417.276 907.243
61.3351 -11.3921 | 1.12631 2.5178 | -297.401 286.956
61.8373 -11.3688 | 1.01103 3.91 | -1106.03 -415.134
62.3389 -11.3781 | 1.03346 4.58021 | -1468.67 173.997
62.8372 -11.4234 | 1.19873 4.42728 | -1081.96 734.271
63.329 -11.5082 | 1.43183 3.70699 | -385.086 534.987
63.8105 -11.6368 | 1.47654 2.08295 | -147.735 499.031
64.2756 -11.814 | 1.2227 -0.133627 | -665.638 -99.4575
64.7164 -12.0433 | 0.956766 -1.87319 | -772.159 16.3448
65.1251 -12.3245 | 0.69618 -3.10934 | -790.625 293.247
65.4959 -12.6528 | 0.560419 -3.84051 | -1027.18 151.545
65.8264 -13.0209 | 0.86004 -3.91134 | -458.963 211.373
