-43.7679 -24.055 | -0.265701 0.0499802 | -8855.27 3734.06
-43.347 -24.3124 | -1.43898 -2.32576 | 5016.73 -11277.8
-42.9087 -24.5532 | -2.22749 -4.57908 | 6082.3 1051.14
-42.4452 -24.7538 | -0.758235 -2.54375 | 6654.36 3436.97
-41.9573 -24.9028 | -1.74898 -1.66212 | 6953.23 -152.514
-41.4524 -25.0067 | 2.57088 0.182768 | -4274.77 -2575.51
-40.9438 -25.074 | 2.83397 0.48766 | -5188.3 5571.33
-40.4363 -25.0985 | -1.06486 1.28293 | -5884.98 -4209.05
-39.9332 -25.0924 | -3.60905 1.17527 | -621.601 -1823.49
-39.4332 -25.0497 | -2.06139 -0.772889 | 2483.03 5310.69
-38.9392 -24.9572 | 1.0076 2.61449 | -10734 -1889.08
-38.4619 -24.8228 | -0.802393 -0.329165 | 4989.72 -84.5767
-37.993 -24.654 | -2.42393 -2.04283 | 3417.3 -870.586
-37.5341 -24.4551 | -0.66576 -0.469989 | -1786.11 -3129.78
-37.0924 -24.2255 | 1.22696 -4.25181 | -6924.63 4037.45
-36.6772 -23.9575 | 1.70834 -2.04782 | -2703.47 -4738.11
-36.2802 -23.6677 | -0.455316 1.48639 | 11896.8 -2400.32
-35.889 -23.3608 | -0.313087 -0.608959 | -2579.09 14090.3
-35.5202 -23.0185 | -0.0666386 1.30578 | 3681.99 -2286.47
-35.1611 -22.6634 | -3.18535 0.966977 | 2583.63 -1867.26
-34.8079 -22.303 | -0.828048 -0.839698 | -13769.6 89.5189
-34.4685 -21.9383 | 3.27539 1.36511 | 8453.32 -6373.38
-34.1137 -21.5892 | 4.04582 -0.0920751 | 564.769 -2841.95
-33.7496 -21.2509 | 2.81106 -0.288406 | -7861.2 8750.9
-33.3873 -20.9093 | -0.273867 1.52683 | 8563.41 3907.55
-33.0032 -20.5823 | 0.496149 -2.11252 | 8344.21 -5838.84
-32.5907 -20.2879 | -1.6809 -2.56227 | -9054.37 4632.39
-32.1682 -20.0157 | -3.48074 -1.99086 | -8208.39 -9077.66
-31.7332 -19.7833 | -2.06274 0.207673 | -5360.58 -763.502
-31.2836 -19.5904 | -2.62615 -1.04914 | 8452.95 8605.31
