-35.0649 -27.6288 | 0.587319 1.42583 | -3475.93 -7191.19
-34.6744 -27.3277 | -1.93837 3.02401 | 387.341 1280.66
-34.2707 -27.043 | -2.15627 2.43682 | 5771.27 3958.42
-33.8496 -26.7744 | -1.0712 1.83939 | 6531.42 -1110.7
-33.412 -26.5244 | -0.00101548 2.25373 | -1173.63 5353.01
-32.9691 -26.2812 | 0.0364535 4.97008 | -4488.41 477.091
-32.5223 -26.0508 | -0.103551 3.66159 | -2072.93 -879.294
-32.0656 -25.8463 | -0.339552 1.73281 | -362.829 -2991.09
-31.5947 -25.6819 | 0.019271 1.50005 | -1221.48 -1142.71
-31.1118 -25.562 | -0.0118093 1.38277 | 886.622 -75.8215
-30.6199 -25.4866 | 0.574344 0.98836 | -1660.64 1386.8
-30.1243 -25.4531 | 0.799556 0.817009 | -1086.86 -375.628
-29.6285 -25.4632 | 0.172116 0.43371 | 1731.17 468.814
-29.1336 -25.5154 | -0.466005 0.0786533 | 4286.59 -1250.36
-28.6413 -25.6083 | -1.02305 0.17527 | 1654.66 -937.515
-28.1558 -25.7371 | -0.741174 1.87983 | -4870.28 819.617
-27.6821 -25.8937 | -1.51724 0.996547 | -1856.16 -213.08
-27.217 -26.0694 | -2.31002 -1.93937 | 9.94601 2954.29
-26.7562 -26.2524 | -0.396223 -2.68958 | -2932.46 -1419.4
-26.2992 -26.4411 | 1.19337 -1.88368 | 3025.57 2313.47
-25.8397 -26.6266 | 1.07011 -0.415632 | 1183.2 80.2517
-25.3794 -26.8124 | 0.491606 1.46434 | -1372.82 -2373.1
-24.9222 -27.0046 | 0.936644 2.64726 | -3086.5 180.313
-24.4685 -27.2005 | 1.00509 2.07013 | 595.264 1011.56
-24.0136 -27.3958 | 0.410157 1.88738 | 8704.41 -4686.02
-23.551 -27.5923 | -0.154779 0.414731 | 3096.16 -4996.1
-23.0822 -27.7847 | 0.845459 0.918339 | -2827.95 -75.9498
-22.6054 -27.9543 | 1.24177 3.4908 | 4214.46 5409.92
-22.1129 -28.0794 | -0.912905 4.47399 | 7116.4 1390.61
-21.6061 -28.1597 | -3.27832 2.98926 | 415.67 -1317.02
-21.0947 -28.2016 | -3.37359 1.27813 | -11122.4 -38.8059
-20.5896 -28.2036 | -2.91823 -0.159582 | -4312.69 5521.85
-20.09 -28.1613 | -3.34411 -1.41542 | 3101.54 -901.202
-19.5924 -28.0917 | -3.78228 0.986295 | -1055.81 -6521.08
-19.0985 -28.0075 | -2.9504 2.98509 | -2239.3 0.930047
-18.6116 -27.897 | -1.44305 4.6961 | -1038.83 2603.82
-18.1347 -27.7508 | -1.70655 6.42159 | 1229.81 -991
-17.6686 -27.571 | -2.20555 5.38581 | 1326.68 256.193
-17.216 -27.356 | -2.46726 5.18237 | 2085.22 6018.86
-16.7788 -27.1028 | -2.77007 4.82268 | 4751.68 1753.59
-16.3528 -26.8246 | -2.2023 2.84397 | -3625.72 -2167.07
-15.9391 -26.5326 | -1.36871 1.28864 | -306.848 -2932.14
-15.5322 -26.2339 | -1.67174 3.00861 | 1008.12 1528.04
-15.1298 -25.9274 | -0.0148328 3.24641 | 112.053 -468.955
-14.7311 -25.6154 | 2.82639 0.518532 | 5054.38 1165.63
-14.3335 -25.2971 | 2.62094 1.17502 | -4342.75 3187.93
-13.9461 -24.9688 | 0.953275 4.81271 | -4924.06 -6034.18
-13.5651 -24.6427 | 0.775169 6.27534 | -3631.57 -6421.13
-13.1863 -24.3231 | 1.65649 4.88595 | -2465.55 337.952
-12.8092 -24.0037 | 2.32474 2.1532 | 5421.84 3328.62
-12.4272 -23.6827 | -0.185143 2.22942 | 2177.32 4972.4
-12.0412 -23.3598 | -1.63078 2.69938 | 1102.17 553.824
-11.6481 -23.0434 | 0.230283 0.984509 | -276.723 461.462
-11.2447 -22.7405 | 1.52777 -0.592738 | -3746.43 -2301.8
-10.8285 -22.4609 | 2.12763 -1.7181 | 2360.6 -2953.27
