40.1617 -45.9031 | 0.585659 -1.28736 | 1299.71 2262.51
40.6129 -46.1024 | -0.105144 -1.95771 | -997.409 -5684.69
41.0724 -46.2848 | 0.42871 -0.224071 | 2299.75 1414.61
41.5423 -46.4442 | 1.7789 3.04246 | 2828.02 -2467.41
42.0212 -46.5839 | 0.736245 1.61501 | 1083.01 -2112.93
42.5074 -46.7016 | -0.357103 1.65664 | -770.082 4252.76
42.9985 -46.7885 | 0.605078 3.44823 | -4090.7 373.384
43.4902 -46.8528 | 1.27077 2.06817 | 600.867 -585.75
43.9837 -46.9028 | 1.19494 0.360129 | 1784.77 -502.653
44.4789 -46.9457 | 0.441277 0.372422 | -2900.44 -1105.14
44.9731 -46.9873 | -0.414289 0.0635586 | 3827.01 -509.506
45.4706 -47.0287 | -0.30452 -1.12254 | 6191.41 -705.091
45.9733 -47.0703 | -0.216489 -0.969473 | 3808.79 3484.21
46.4791 -47.1115 | -0.0602587 0.843819 | -758.952 449.774
46.9828 -47.1663 | 0.262408 0.377805 | -5944.81 -5424.84
47.4783 -47.2508 | 0.471041 -1.71652 | -3073.64 867.974
47.9663 -47.3577 | 0.887727 -2.22734 | -1102.88 6069.69
48.4486 -47.4806 | -0.235072 -1.30931 | 1444.08 -1528.25
48.9231 -47.6354 | -1.15153 -1.20354 | 3625.86 -6577.01
49.3863 -47.8323 | -0.0142197 -1.88342 | -991.364 -520.081
49.8351 -48.0603 | 1.42214 -2.18079 | 765.75 6315.92
50.2718 -48.3072 | 1.57595 -2.74226 | 928.077 2228.95
50.6903 -48.5826 | 1.01772 -1.79657 | -3576.44 -3512.81
51.0758 -48.9018 | 0.459413 -2.09902 | -719.584 -5486.46
51.4256 -49.2636 | 1.87812 -3.00306 | 5219.48 655.914
51.7487 -49.6534 | 3.98146 -2.96163 | 3153.42 -831.541
52.0417 -50.0692 | 3.69784 -4.35412 | -2508.59 -4028.28
52.2929 -50.5133 | 1.96749 -4.29764 | -4108.42 -1157.72
52.5015 -50.9788 | 0.100279 -2.60763 | -88.2709 640.103
52.6811 -51.4557 | -0.689954 -1.48198 | 3976.8 2176.45
52.8441 -51.9376 | -0.772889 -0.468043 | 1080.2 2107.54
52.9854 -52.4245 | -3.84278 -1.16366 | -8696.17 693.722
53.0923 -52.9174 | -6.12651 -0.962608 | 2697.76 3683.41
53.1835 -53.4105 | -4.1299 0.524669 | 4951.76 3588.22
53.2646 -53.9027 | -3.67376 0.131234 | -5034.09 403.187
53.3198 -54.3975 | -4.59024 -0.567452 | -4160.21 -2331.69
53.3532 -54.8954 | -2.69407 -0.392964 | 893.999 319.175
53.3865 -55.3931 | -1.5578 0.0320562 | 5425.39 3389.55
53.4376 -55.8874 | -0.34646 0.553716 | -175.715 -1661.2
53.5017 -56.3811 | 0.724291 -0.195273 | -3380.41 -1274.98
53.5748 -56.8743 | 2.78342 -0.179024 | 1539.84 -1017.73


-42.2258 -48.5656 | -1.19206 1.63141 | -48.6198 6277.67
-41.8465 -48.2328 | -0.571991 2.11583 | 6838.31 -2709.4
-41.4781 -47.8844 | 2.46975 0.284205 | -840.667 3819.92
-41.1277 -47.5161 | 3.70828 -1.84297 | -4613.6 -638.372
-40.7956 -47.1344 | 4.03931 -3.0834 | 1828.88 -4754.67
-40.4699 -46.7495 | 2.98862 -2.55494 | 1787.91 2128.93
-40.1499 -46.3572 | 1.55895 -1.5656 | 801.258 3941.45
-39.8372 -45.9555 | 0.0969148 -1.52011 | 1359.66 -258.836
-39.53 -45.5499 | -2.59933 -0.777976 | -4666.46 -7082.31
-39.2319 -45.1451 | -1.50589 0.364323 | -3421.92 -1918.09
-38.9424 -44.7376 | 0.111388 1.15463 | 1804.71 4104.73
-38.6547 -44.3259 | -1.25936 1.45786 | 2925.97 -1865.43
-38.3629 -43.9161 | -1.37575 0.13077 | -2256.15 1742.32
-38.071 -43.5049 | -1.33727 -1.30422 | 4671.75 4958.51
-37.7714 -43.0923 | -1.01615 -1.01169 | 4416.41 6034.24
-37.4616 -42.6802 | 0.419797 -0.0704183 | -1702.9 -1090.03
-37.1428 -42.2769 | 1.3443 0.823484 | -3914.51 -9199.56
-36.8125 -41.8923 | 1.10899 2.23218 | 1065.44 -4326.47
-36.4697 -41.5222 | 0.568957 2.42872 | -1623.26 5932.7
-36.1237 -41.1529 | 1.07242 0.816925 | -2507.19 1101.62
-35.7721 -40.7895 | 0.700363 -0.625662 | 1411.59 -2191.79
-35.4049 -40.4426 | -1.19181 -1.78989 | -802.938 -170.867
-35.0195 -40.1174 | -2.36824 -1.66563 | -664.364 -131.604
-34.613 -39.8209 | -2.39322 -1.06172 | -1410.41 -4823.79
-34.184 -39.5636 | -0.384736 -2.48568 | -1409.21 -2197.55
-33.7365 -39.3433 | 0.643555 -2.18645 | 3906.48 2087.97
-33.2728 -39.1507 | -1.63755 2.19678 | 2588.95 3466.13
-32.7979 -38.9786 | -1.57021 1.53283 | -779.993 172.77
-32.3154 -38.8289 | -0.467416 -0.988856 | -96.4209 2170.11
-31.8254 -38.7044 | -0.258199 -1.28641 | 1115.79 64.278
-31.3275 -38.6166 | -0.616003 -2.32879 | -3062.48 -5947.11
-30.8269 -38.5785 | -1.39021 -2.593 | -5852.52 733.077
