-77.9045 0.641557 | 4.30708 0.291183 | -12601 2214.86
-3.17279 -38.762 | 1.13247 3.07777 | 5979.04 -4433.29
-2.67756 -38.726 | -0.9777 0.620804 | -10843.1 5492.23
-2.18674 -38.7128 | 1.22626 0.8149 | 7667.98 1430.46
-1.6904 -38.7241 | 4.35622 -0.7567 | 11170.5 -1529.49
-1.18806 -38.7664 | 2.20206 0.932281 | -8935.74 2184.89
-0.693876 -38.8405 | 2.467 0.979909 | 3449.8 -1873
-0.204419 -38.9529 | 2.13723 2.68033 | 6125.85 -4875.13
0.279257 -39.1049 | 1.12686 -3.81408 | -3840.97 3732.37
0.750668 -39.2835 | -0.885857 -4.76356 | -5743.55 -3540.88
1.20862 -39.4873 | -1.55583 3.94747 | 4682.39 3815.5
1.66559 -39.6971 | -0.236795 -0.945393 | 4980.45 1625.11
2.12262 -39.9125 | 3.44571 -2.9631 | -6703.32 -581.265
2.56886 -40.1423 | 2.05312 -3.26528 | 126.423 -1570.19
3.0078 -40.3871 | -0.595407 1.71568 | 4818.3 -1876.47
3.44488 -40.6426 | -1.45819 3.21861 | 2812.89 3596.42
3.87938 -40.9045 | 4.12877 1.97338 | -316.387 -3108.1
4.30276 -41.1851 | 2.59471 0.150281 | -4631.04 -2330.45
4.70902 -41.4861 | -2.74216 -2.05937 | -3790.88 8145.93
5.10281 -41.7959 | -0.506744 -2.27521 | 69.9913 -15134.3
5.48971 -42.1252 | 1.74801 2.31282 | 12206.7 -1665.62
5.89647 -42.4426 | -1.49049 0.0867471 | 2688.87 6656.82
6.32545 -42.7272 | -3.78639 -0.00719207 | -8822.55 6612.55
6.76635 -42.9785 | -3.43015 -1.47318 | -759.013 -221.045
7.22055 -43.2049 | -2.09781 1.08497 | 11705.9 -10945.3
7.69331 -43.4121 | 0.593001 -2.81237 | -9813.91 10080.2
8.1741 -43.5751 | 0.672594 -6.5752 | -9096.87 3919.7
8.65957 -43.6939 | 0.300495 -1.23424 | 1411.18 -8266.23
9.15285 -43.7747 | 1.20009 -3.7894 | -2848.2 9942.43
9.64977 -43.7907 | 1.26352 -3.41427 | -76.2553 1002.11
10.1457 -43.756 | 2.37584 -0.333725 | -167.084 -9304.57
10.6385 -43.6904 | 2.6932 -3.74826 | 5079.12 10746.3
11.1271 -43.5776 | 0.93007 -3.39971 | -2205.9 -8438.04
11.6078 -43.4427 | 1.16055 1.88526 | -2874.35 494.839
12.0783 -43.2795 | 2.48451 -0.625113 | 10516.1 4376.65
12.5437 -43.086 | 2.07351 1.95549 | -12060.7 -9406.69
12.9887 -42.87 | 3.71974 2.89824 | -3351.11 3960.31
13.4133 -42.6184 | 2.45092 2.58206 | 6529.63 6505.7
13.8268 -42.3376 | 0.391415 4.56891 | 3446.79 -2044.79
14.2367 -42.046 | 0.666383 1.1575 | 6991.15 5309.72
14.648 -41.7468 | 0.726003 1.86907 | -2820.43 -6548.64
15.0563 -41.451 | 1.45293 1.17509 | -8786.48 -7837.97
15.4545 -41.155 | -0.865875 -0.528731 | -978.898 12272.1
15.8445 -40.8425 | -0.805715 -0.16556 | 7581.35 -9237.2
16.2432 -40.5382 | 3.40673 -1.66854 | 3955.76 13146.7
16.6437 -40.2251 | 2.13769 0.499224 | -7419.46 -5123.72
17.0446 -39.9216 | 0.104852 2.30618 | -978.882 -9678.02
17.4557 -39.6403 | 0.0431802 -1.23443 | 3299.2 7535.14
17.8757 -39.3656 | -1.21417 -0.936619 | -2863.83 1458.39
18.3028 -39.1036 | 1.22196 -1.20493 | -567.819 -5560.22
18.7426 -38.8683 | -0.205426 -0.401206 | 98.5695 3515.42
19.1946 -38.6567 | -0.496249 -0.320352 | -3156.37 -1452.8
19.6587 -38.4802 | 1.20032 1.24712 | 261.663 -2834.6
20.1372 -38.3493 | 4.39497 -0.234841 | 1579.04 1707.71
20.6283 -38.2639 | 2.41733 -2.76824 | 10985.5 1180.64
21.1328 -38.2283 | -1.46314 -0.0901187 | -3646.1 -4974.23
21.6356 -38.2478 | 0.151877 -1.74342 | -12033.6 7239.71
22.1269 -38.3082 | 0.191807 0.351817 | 4249.81 -6496.23
22.6121 -38.4204 | -1.96624 -0.459268 | 7160.11 758.783
23.093 -38.5702 | -5.02935 -3.94397 | 8014.84 8584.27
23.5652 -38.7522 | -4.14476 -0.601765 | -16265.2 -7579.97
23.9999 -38.9969 | -1.31317 -1.52571 | 4047.1 -3342.93
24.406 -39.2926 | 1.02571 3.68574 | 6518.51 -901.754
24.7906 -39.6228 | 2.68229 5.96528 | -4978.2 -2614.55
25.1492 -39.9799 | 1.05164 2.37003 | -1277.91 5242.14
25.4958 -40.3456 | 1.43004 0.238788 | 9677.01 -3362.97
25.8438 -40.7176 | 1.06481 -0.00581886 | -4247.39 -4338.33
26.1833 -41.0965 | 1.05367 1.6784 | -5549.25 18791.5
26.5192 -41.4634 | -0.669825 1.26232 | 390.239 -10629.2
26.8488 -41.8413 | -0.162963 2.2751 | -2265.96 -7645.06
27.1779 -42.2226 | -0.791273 4.44823 | 2109.49 16185.1
27.5274 -42.5756 | -0.965106 0.279135 | -188.841 1482.48
27.8903 -42.913 | 3.24799 -0.0714424 | -4364.58 -8296.67
28.256 -43.2501 | 1.33824 -1.69785 | 1455.34 -4733.67
28.6375 -43.5749 | 1.36622 0.578859 | 8496.43 4434.03
29.0507 -43.8646 | -0.146356 1.59368 | 5656.84 782.701
29.4883 -44.122 | -0.659132 -1.07101 | -9079.06 -5123.83
29.9321 -44.359 | 0.218152 -1.25457 | -7026.13 15057.8
30.3836 -44.559 | 0.61282 0.300019 | -3657.67 -10421
30.84 -44.75 | 0.340979 0.961849 | 13023 -9712.22
31.3164 -44.9198 | 1.2764 1.7468 | 8312.68 11593.2
31.8139 -45.0322 | 1.63225 -4.58856 | -6971.28 -3114.43
32.3157 -45.1002 | 1.3178 -3.25391 | -2667.22 3025.74
32.82 -45.1206 | -0.0186035 -0.296548 | 8479.61 -10646.5
33.329 -45.0998 | -0.906884 1.40303 | -1823.4 15973.3
33.8285 -45.0007 | -3.32689 0.345691 | -8831.71 4581.63
34.3088 -44.8462 | -3.3424 -0.176024 | -810.374 -13434.5
34.7821 -44.679 | -2.82628 -1.15595 | 10530.4 4195.54
35.2553 -44.4906 | -2.49559 -1.50405 | 1344.58 4171.77
35.721 -44.278 | -0.225486 -0.415278 | -7026.21 -294.037
36.1754 -44.0501 | 0.411309 2.18687 | 7713.84 -5730.7
36.6296 -43.8193 | 2.95663 3.27192 | -10189.6 634.737
37.069 -43.5729 | 4.88426 -0.107444 | -1755.75 3147.38
37.4983 -43.3111 | 2.66426 0.893548 | -765.848 -3901.96


-21.9478 25.3665 | -4.35842 -0.0438951 | -2486.34 -5512.34
-21.5953 25.7144 | -1.54428 -5.56786 | 1208.36 4970.04
-21.256 26.0799 | -2.40683 -2.51055 | 3280.58 4714.6
-20.9255 26.4581 | -3.20549 -1.85354 | -7695.32 -3055.98
-20.6023 26.8359 | -1.02232 -2.46565 | -4043.29 -4548.57
-20.2675 27.1972 | 0.356539 -0.863974 | 6283.11 3282.78
-19.8992 27.5305 | -2.60617 1.65691 | 11226 -5211.56
-19.4914 27.823 | 0.0179779 -0.839269 | -2622.32 5641.26
-19.0677 28.0957 | -0.385662 -3.92596 | -2827.52 4949.84
-18.6343 28.3517 | -0.528952 -1.21185 | -2562.94 -13682.6
-18.1881 28.5731 | 1.96822 1.782 | 689.02 13684.7
