51.5965 8.21802 | -3.25073 -1.45298 | 537.408 -2936.79
51.9767 7.88719 | -2.54247 -1.1059 | 98.5256 -1547.4
52.3564 7.55445 | -2.38063 -1.01994 | -261.875 1958.85
52.7402 7.22804 | -2.95684 -0.735819 | -217.891 1663.85
53.1305 6.91119 | -2.62358 0.477907 | -131.492 842.425
53.5275 6.60332 | -1.51229 1.68008 | 1112.52 -1181.41
53.9302 6.30146 | -1.23905 1.67426 | 183.05 -176.875
54.3367 6.00467 | -1.69557 0.820082 | -2746.46 -1393.29
54.745 5.71193 | -2.00058 0.345869 | -1528.33 -1012.91
55.16 5.43 | -1.93783 0.125933 | 916.876 3222.5
55.5893 5.17173 | -1.50672 -0.151196 | 1445.74 540.21
56.034 4.93892 | -1.94532 -1.4715 | 1602.91 -805.667
56.4917 4.72943 | -2.67051 -3.51877 | 424.858 -865.802
56.9598 4.54144 | -2.22502 -3.87675 | 1535.81 -2331.72
57.4378 4.375 | -1.19831 -2.52304 | 559.223 1098.63
57.9249 4.23756 | -0.219471 -1.41065 | -1737.66 2457.27
58.4183 4.13276 | 0.126002 -3.01646 | -2299.56 806.219
58.9148 4.05673 | 0.168593 -4.57074 | -680.027 1361.35
59.4136 4.00393 | -0.160951 -2.75979 | 1381.47 -1276.79
59.9143 3.96364 | -0.877843 -0.760432 | -498.025 -2497.24
60.4155 3.92964 | -1.36183 -0.903863 | -314.887 1452.67
60.9171 3.90543 | -2.14988 -2.09633 | 1428.12 637.895
61.4199 3.88862 | -2.92551 -1.98049 | -243.181 -1202.05
61.9226 3.87399 | -2.66025 -0.0312126 | -1634.83 548.165
62.4238 3.86099 | -2.25409 1.22811 | -2491.53 1004.46
62.9229 3.84693 | -2.23586 0.280919 | -1297.39 -1229.35
63.4203 3.82535 | -2.28976 -0.93535 | -389.989 -2439.78
63.9168 3.79504 | -2.14606 -1.0096 | -1656.25 2331
64.4123 3.76494 | -1.7328 -1.64456 | 1835.72 2619.37
64.9094 3.73503 | -1.51977 -1.81487 | 4987.62 -316.903
65.4098 3.69447 | -1.26863 -0.912369 | 3397.53 -1412.77
65.9113 3.63275 | -0.606266 -0.695404 | 233.385 -1139.52
66.409 3.54376 | -0.123127 -1.86498 | -3285.84 379.352
66.8984 3.4254 | 0.00381485 -4.31518 | -2879.4 748.013


-24.79 -44.8034 | -2.18998 -0.725868 | -606.497 -394.597
-24.3426 -45.0251 | -2.11774 -0.778832 | -1347.95 1261.3
-23.8953 -45.2439 | -2.00356 -0.110906 | -1793.73 -526.827
-23.4458 -45.4554 | -1.6887 1.09448 | 1346.1 1578.82
-22.9888 -45.6515 | -1.36677 2.02099 | 2597.22 1333.67
-22.5233 -45.831 | -1.33897 1.95499 | 433.558 -3136.23
-22.0529 -46.0013 | -1.59925 0.979589 | -387.495 -1506.98
-21.5782 -46.1593 | -1.78299 -0.205372 | -803.585 1643.62
-21.098 -46.2964 | -1.62058 -1.38117 | -1152.79 1010.13
-20.6127 -46.4096 | -1.37368 -1.98051 | 134.501 796.092
-20.1226 -46.4994 | -1.40527 -1.56621 | 1420.27 -736.369
-19.6282 -46.5705 | -1.43355 -0.0759988 | 993.778 -3430.95
-19.1307 -46.6261 | -0.941107 2.46551 | -582.292 -675.53
-18.6315 -46.6566 | -0.042282 4.86887 | -1433.22 2569.05
-18.1325 -46.6505 | 0.676039 5.70951 | -457.879 1331.93
-17.6356 -46.607 | 1.05533 5.80296 | 1090.81 -314.302
-17.1415 -46.5318 | 1.32689 5.3927 | 2198.86 -845.116
-16.6506 -46.4294 | 1.38408 4.39223 | 1885.42 -383.668
-16.1644 -46.3003 | 1.44189 1.97261 | 497.123 602.982
-15.6862 -46.1419 | 1.69341 -1.04191 | 215.489 102.576
-15.2189 -45.9536 | 1.84584 -2.70398 | -391.77 -428.728
-14.766 -45.7346 | 1.38242 -2.59657 | -2622.12 897.942
-14.3325 -45.4833 | -0.0339709 -1.5262 | -3040.55 -864.954
-13.9189 -45.2051 | -1.38793 -0.673207 | -1394.93 -2840.35
-13.5221 -44.9075 | -1.65068 -0.593896 | -1080.96 589.634
-13.1398 -44.5924 | -1.5388 -0.64739 | -616.018 1871.3
-12.7668 -44.2658 | -1.55572 -0.814624 | 418.768 -588.176
-12.3928 -43.9403 | -0.870068 -2.12006 | -40.5866 -1197.91
-12.0099 -43.6264 | 0.547952 -4.02336 | -202.107 -76.186
-11.6125 -43.331 | 1.34668 -4.71568 | 1985.22 588.246
-11.1957 -43.0607 | 0.607948 -3.2185 | 2912.45 1163.76
-10.7579 -42.8198 | -0.228321 -0.801548 | 3118.02 -554.26
-10.301 -42.6112 | -0.600616 1.73742 | 2651.93 -1187.6
-9.83 -42.4309 | -0.763814 3.46987 | -116.878 1749.86
-9.35249 -42.2668 | -1.21207 3.77379 | -1606.77 2642.49
