4.14846 10.0803 | 2.30163 2.00773 | -11252.9 2980.41
4.64381 10.0654 | 2.90979 0.584192 | 10021.6 -4785.61
5.14439 10.0226 | 2.92561 -0.362118 | 8047.85 1938.38
5.6492 9.95879 | 0.884896 -2.12859 | -935.261 -425.018
6.15025 9.86967 | -1.03132 -3.00473 | -2161.69 2407.5
6.64278 9.7517 | 0.193059 -1.27312 | -7753.88 -3807.8
7.1196 9.59285 | 3.28579 -3.80671 | 5844.81 -4016.71
7.58874 9.39942 | 5.54945 -0.284247 | 7386.89 2029.22
8.05359 9.18543 | 2.05327 4.12309 | -3599.49 1039.54
8.50393 8.94932 | -0.267212 1.65155 | -9908.34 9281.88
8.93138 8.6909 | 1.27028 0.730637 | 2892.52 -4199.53
9.33414 8.39082 | 1.17921 2.03666 | 3621.01 -13454.9
9.70591 8.041 | -0.460334 1.59985 | -5772.22 12295.2


-28.4683 -67.098 | 0.711869 2.69703 | 3066.28 -4895.81
-27.9932 -67.2662 | 0.846426 -0.387611 | 391.461 8196.83
-27.5093 -67.4004 | -0.796252 -0.132091 | -4692.5 -2477.89
-27.0229 -67.5122 | -0.836268 0.831319 | -27.7922 3927.91
-26.5329 -67.6009 | -2.65492 -3.09919 | -2777.53 -9425.21
-26.0417 -67.6811 | -0.399993 -3.92002 | 5441.41 1958.82
-25.5426 -67.7298 | 2.98013 -1.411 | 4627.92 5765.96
-25.0382 -67.7342 | 2.72642 2.63769 | -3832.24 1509.16
-24.5374 -67.7051 | 0.533299 -1.05607 | -7746.4 -5241.15
-24.0434 -67.6602 | -0.744248 -0.63943 | 4465.27 -4736.02
-23.5496 -67.5983 | -1.17033 1.38532 | -277.06 259.998
-23.062 -67.4992 | 0.887341 -1.55739 | -1731.84 5786.7
-22.589 -67.3462 | 4.46395 -4.03547 | 958.06 -2361.7
-22.133 -67.1482 | 3.13852 1.10963 | -2232.12 -651.309
-21.6995 -66.9066 | -1.20334 0.247916 | 5992.62 6504.87
-21.2861 -66.623 | -1.87203 0.747361 | -1873.67 -9485.66
-20.8958 -66.315 | 0.296898 2.93081 | -6014.83 4887.72
-20.5363 -65.9727 | 1.58369 1.17264 | 6182.24 4829.6
-20.1918 -65.608 | 1.84038 2.56047 | 483.757 -4223.88
-19.8554 -65.2372 | 0.335654 1.89006 | 491.579 1095.65
-19.5234 -64.8615 | 3.38999 -0.464145 | 194.781 -2507.11
-19.1925 -64.4849 | 3.0769 0.420329 | 8575.34 4134.75
-18.8601 -64.1015 | -1.0897 -0.967522 | -3755.83 8671.41
-18.5416 -63.7031 | -0.178447 0.596214 | -6764.57 -6712.07
-18.2317 -63.3072 | 2.39784 1.36458 | -2379.86 -13231.6
-17.9167 -62.9267 | 1.57853 0.493008 | -915.477 2577.29
-17.5962 -62.5494 | -0.405149 3.47255 | 7059.34 10644.5
-17.2627 -62.1698 | -2.4351 3.17516 | 6370.34 13173.4
-16.9106 -61.7945 | -1.5649 0.236584 | -5220.42 -15483.8
-16.5355 -61.4563 | -1.77733 -0.496876 | -8043.32 -7939.98
-16.1401 -61.1553 | 1.21556 -2.58358 | 8321.38 8712.37
-15.7189 -60.8809 | 0.560588 3.1892 | -5840.9 -5562.04
-15.2816 -60.6433 | -1.76602 4.7908 | -4820.83 -3596.61
-14.8325 -60.4398 | -0.372911 1.81417 | -1126.06 4977.77
-14.3731 -60.2596 | 0.384375 3.34828 | 4879.11 2589.84
-13.8989 -60.1095 | -2.56654 2.28795 | 3453.95 -3247.22
-13.4123 -60.0002 | -1.18017 1.16389 | -9695.05 3872.5
-12.9251 -59.926 | -0.10309 4.07988 | -2227.12 -5192.99
-12.4343 -59.899 | 1.19729 1.68026 | 14475.1 5428.68
-11.9329 -59.9082 | 2.35246 -1.08981 | 3096.09 -3164.75
-11.4314 -59.9619 | 1.3256 -2.75797 | -10408.9 -5936.89
-10.9418 -60.056 | 0.871774 -0.0042549 | 2889.96 11014.6
