14.6419 28.1142 | 0.297393 -1.43113 | 12410.6 3231.47
15.1418 28.1114 | 0.610988 -2.62736 | -6422.55 379.186
15.6378 28.0809 | -0.122329 -3.05348 | -1738.8 -1416.2
16.1291 28.0164 | 0.803672 2.5788 | 1442.01 3266.75
16.6158 27.9196 | -1.29736 -0.364392 | 3519.24 -1436.86
17.0947 27.7802 | 1.04317 -1.51492 | -1307.22 -6971.97
17.5582 27.593 | 0.411113 -0.0603623 | -78.5578 7111.06
18.0089 27.3806 | -1.42836 -2.13508 | 2272.53 269.461
18.4457 27.14 | -1.00536 -2.47383 | -4938.44 -2124.05
18.8605 26.8671 | -0.824404 -2.21895 | -2735.35 2775.22
19.2577 26.5726 | 0.813536 0.23197 | 8010.2 -4768.43
19.6487 26.2602 | -0.575092 3.13976 | 1135.83 1451.12
20.0321 25.9386 | -3.0164 2.78692 | -5692.3 6632.15
20.403 25.6112 | 1.50872 2.08993 | -3941.68 -5953.94
20.7617 25.2703 | 2.43572 2.20334 | 3863.82 -1783.96
21.1261 24.9313 | -0.188354 0.99817 | 7477.2 4453
21.5072 24.609 | -0.540599 0.696546 | -9434.24 1669.34
21.8895 24.2968 | -1.91674 0.611786 | -2058.9 857.504
22.278 23.9955 | -0.69896 -1.63337 | 6675.9 3699.21
22.6789 23.7069 | -2.67532 -2.70884 | -1120.87 -7029.1
