-44.5442 -31.1241 | 1.11393 0.884748 | -3397.77 -1128.79
-44.0473 -31.1219 | 1.4715 -2.11072 | -3487.64 3345.26
-43.5532 -31.1053 | 1.71273 -3.93591 | 3031.37 -1092.32
-43.0575 -31.0752 | 1.12778 -1.5893 | 3974.4 1505.47
-42.5599 -31.0281 | 0.595953 -2.08241 | 935.485 -907.386
-42.0636 -30.9664 | 1.37685 -3.90671 | -4768.9 -1466.67
-41.5734 -30.8891 | 2.16228 -0.959038 | -6808.32 3391.66
-41.0908 -30.7926 | 1.65669 0.0441626 | 6197.7 -5556.5
-40.6057 -30.6908 | 0.588364 -1.72607 | 7409.23 -289.519
-40.1182 -30.5721 | -0.0955083 -0.278136 | 1644.33 8629.62
-39.6365 -30.4199 | 1.25576 0.942616 | 1110.07 -5485.56
-39.1616 -30.2483 | 2.15994 1.26352 | -3587.38 -2357.35
-38.7003 -30.0502 | 1.08723 1.30736 | -1295.56 6547.11
-38.2572 -29.8135 | 1.65156 -0.22091 | 446.659 -4837.63
-37.8304 -29.552 | 2.31751 -0.952511 | -4737.77 -1688.85
-37.4251 -29.2636 | 0.390236 0.59872 | -265.185 6188.54
-37.038 -28.9472 | -2.35996 3.86853 | 8178.36 -2436.85
-36.6552 -28.62 | -1.13821 3.39306 | 1269.44 210.766
-36.2826 -28.2792 | 0.457768 1.29458 | -4286.13 1906.53
-35.9285 -27.9206 | 0.542348 -0.104971 | 136.299 572.815
-35.5868 -27.5499 | 1.49451 -1.61926 | 1428.26 867.587
-35.2506 -27.1731 | 2.35698 -0.343292 | -1713.45 -4192.97
-34.9167 -26.7979 | 1.66797 2.06749 | 2822.87 -1660.19
-34.5821 -26.423 | 1.69398 2.05083 | -373.401 4940.6
-34.2541 -26.0396 | 2.10262 1.02742 | -6935.87 1472.02
-33.9337 -25.6529 | 2.04183 0.696906 | 3645.26 -5808.49
-33.5999 -25.2805 | 2.10009 1.92986 | -256.341 -4318.11
-33.2528 -24.9241 | 1.88195 1.18608 | -1513.64 1586.9
-32.8983 -24.5752 | 1.05119 -2.18297 | -2264.01 4869.82
-32.5369 -24.2314 | -0.751701 -2.44657 | 561.457 1472.82
-32.1565 -23.9063 | -2.30808 -0.751358 | 6185.83 6.44955
-31.7446 -23.6163 | -3.56922 1.70822 | 3575.67 -3938.11
-31.304 -23.3704 | -1.61337 1.38775 | -4035.65 -2822.07
-30.8488 -23.1608 | -1.38804 0.853209 | -6872.62 2324.67
-30.3884 -22.9738 | -1.35896 1.28915 | 48.4932 2776.88
-29.9186 -22.8108 | 1.44028 -1.01606 | 3539.33 -3147.94
-29.4363 -22.6832 | 3.44934 -0.778956 | -218.521 177.687
-28.9465 -22.587 | 3.64885 1.07765 | -1003.02 4365.72
-28.4522 -22.5175 | 2.32922 -0.428833 | 1068.26 -151.89
-27.9534 -22.4864 | 1.63201 -0.132728 | 1789.77 -4586.78
-27.4525 -22.504 | 2.41216 -0.621234 | 38.2814 1522.1
-26.9541 -22.5616 | 2.29003 0.0464333 | 1499.41 -1060.61
-26.4598 -22.6563 | 1.25357 -1.57395 | 3521.66 2038.02
-25.9698 -22.7822 | 0.352575 -2.48753 | 971.922 -3158.28
-25.4886 -22.9444 | -0.332067 -0.735338 | 3579.78 -2005.23
-25.0167 -23.1391 | -1.69275 -0.603357 | -3948.47 -1375.76
-24.5594 -23.36 | -1.22242 0.806732 | -9572.37 1288.29
-24.1157 -23.5926 | 1.3091 1.31512 | 3940 11272.6
-23.6694 -23.8166 | 2.48995 -0.579713 | 1490.55 -7553.29
-23.2264 -24.0533 | 1.74723 -0.753521 | -2782.9 -6852.67
-22.7882 -24.2997 | 2.41496 0.300226 | -2094.37 7259.04
-22.3432 -24.5261 | 2.85566 -0.450707 | -753.174 -3540.04
-21.885 -24.7251 | 2.86782 1.86455 | 8220.57 4736.85
-21.4037 -24.8752 | 2.00742 2.9681 | 3817.18 730.964
-20.9067 -24.9794 | 1.687 1.78472 | -169.974 -2814.59
-20.4025 -25.0454 | 2.60064 3.46272 | -1144.66 7869.95
-19.8958 -25.0684 | 3.0023 4.30265 | -3459.89 -3556.28
-19.3916 -25.0728 | 2.08166 2.98396 | -3983.42 -7557.42
-18.8907 -25.0684 | 1.70062 3.48178 | -1310.69 1765.98
-18.392 -25.0352 | 3.31119 2.86043 | 3084.02 7769.65
-17.8957 -24.9603 | 3.87498 0.468247 | -1941.46 -2592.16
-17.4056 -24.8617 | 2.63401 1.72183 | -4851.96 -7046.2
-16.9237 -24.749 | 1.73146 3.25333 | -2641.34 -2717.12
-16.4524 -24.6092 | 1.51042 0.70696 | -3201.54 5075.12
-15.9979 -24.424 | 1.46259 -1.57456 | 4529.87 2684.84
-15.5565 -24.2005 | 1.47 -2.18549 | 4255.37 12.4189
-15.125 -23.9519 | 1.02231 -0.52275 | -612.339 -338.699
-14.704 -23.6861 | 2.13584 0.503039 | 117.086 -3095.8
-14.2908 -23.4103 | 2.89085 0.213589 | 927.434 -1880.78
-13.886 -23.1222 | 0.709838 0.416296 | 1265.7 4703.75
-13.4938 -22.8127 | -0.0765174 -0.864237 | -2845.35 5384.06
-13.1147 -22.4858 | 1.7298 -1.20812 | 1650.82 -6130.22
-12.7333 -22.1637 | 3.6946 -1.45875 | 4284.84 -1755.8
-12.3446 -21.8477 | 2.57311 -1.40254 | -1931.75 7403.66
-11.9553 -21.5279 | 0.714168 -1.11164 | 2920.83 21.9728
-11.5562 -21.217 | 0.394751 -0.858981 | 1467.37 -586.067
-11.1429 -20.9235 | 0.951179 1.27093 | 2221.1 -59.8713
-10.7132 -20.6518 | 0.99397 1.61116 | 700.35 -690.037
-10.269 -20.4047 | 0.779393 -1.35301 | -4802.4 -1983.09
-9.815 -20.1838 | 1.24888 -1.9615 | 476.818 -187.863
-9.34847 -19.9903 | -0.31787 1.62545 | 2943.83 3489.27
-8.86808 -19.8253 | -2.58153 1.30545 | 1971.55 -3188.12
-8.37406 -19.7012 | -3.17109 -1.05219 | 3736.01 -5165.04
-7.86953 -19.6188 | -2.33687 0.345493 | -4308.85 7876.84
-7.36362 -19.5587 | 1.00392 -1.47813 | -8638.22 -4210.28


3.94493 49.9973 | 0.303049 2.94903 | 17.5038 989.148
4.43875 49.9129 | -1.56463 2.28402 | 6161.77 -4681.8
4.93417 49.8123 | -1.54462 2.86998 | -825.787 4836.17
5.42882 49.7104 | 0.530319 5.0355 | -221.849 -239.909
5.92199 49.6031 | 2.21483 4.77842 | -1452.11 -4748.15
