0.626748 -69.8161 | 3.00569 -1.79456 | 15305.4 -1818.92
1.08145 -70.0201 | 3.68537 -1.45562 | 9482.8 -8962.8
1.54959 -70.2184 | 3.06051 -0.405135 | -4163.34 -2003.95
2.02165 -70.4045 | 1.29424 -2.83981 | -1341.57 9507.98
2.50032 -70.5619 | 0.715819 -1.63815 | -4136.68 -4548.08
2.98061 -70.7067 | 0.890864 1.01668 | 1972.51 -1084.4
3.46598 -70.8341 | 0.733241 -1.16704 | -6571.61 1318.73
3.95192 -70.9356 | -0.759565 -0.848028 | -8437.11 2940.35
4.438 -71.0039 | -2.03754 0.766245 | 10251.7 422.477
4.93475 -71.041 | -0.985928 -0.0165975 | 10755.2 -7708.97
5.44105 -71.0547 | -0.825561 -2.48254 | -2549.94 1937.2
5.94523 -71.0248 | -1.35158 -3.95836 | -6990.75 7670.2
6.43772 -70.9385 | -0.649058 -1.94041 | -6780.84 -4461.56
6.91722 -70.8165 | -0.254567 -0.729798 | 4791.06 -942.308
7.3916 -70.6663 | -1.47892 -0.459644 | 5552.69 1900.42
7.86144 -70.4893 | -0.378385 -1.65107 | -2267.63 3305.15
8.32266 -70.2891 | -0.0700218 0.631718 | 7359.71 -4766.08
8.78388 -70.0816 | 0.612953 -0.10624 | -4037.99 2397.9
9.23572 -69.8587 | 1.60741 0.242859 | -6782.65 1184.07
9.67743 -69.6251 | 0.380057 2.63181 | 3052.94 -2788.94
10.1209 -69.3963 | -0.769138 3.87371 | -3750.02 -6816.47
10.563 -69.1769 | -0.0453748 1.13339 | -12365.3 4438.3
10.9954 -68.9533 | 1.19426 -0.742475 | 3092.22 -3892.75
11.4344 -68.7412 | 2.11008 1.56112 | 11482.7 842.055
11.8865 -68.5374 | 3.72853 1.83969 | 1969.32 9809.63
12.3412 -68.3274 | 1.76946 1.46228 | -3348.46 -3458.16
12.7981 -68.1273 | 1.00605 -4.05503 | 2858.92 -1974.94
13.2627 -67.9426 | 0.686545 -5.20757 | -294.056 5733.24
13.7326 -67.769 | 0.199961 -1.20668 | -2908.57 -4186.19
14.2097 -67.6237 | -0.352249 -1.68647 | 5264.53 -3518.35
14.6981 -67.51 | -0.872908 -0.808569 | 553.646 5277.28
15.1912 -67.4136 | 2.62823 0.100098 | -5756.65 1377.55
15.685 -67.3402 | 3.44397 -1.21661 | 2528.67 -4963.71
16.1838 -67.3028 | 1.53975 2.29665 | 2389.46 3306.57
16.6859 -67.2937 | 0.467666 2.05478 | 2163.69 -487.955
17.1881 -67.3177 | 1.65764 3.73579 | -11803.8 -2662
17.6799 -67.3768 | 1.75131 3.81116 | 2683.24 5488.03
18.1692 -67.4592 | 0.421531 2.38879 | 8045.27 -4424.7
18.6574 -67.5748 | 0.765924 2.37149 | -5862.91 2437.31
19.1343 -67.719 | 0.71582 1.53321 | -946.207 1842.19
19.6007 -67.8921 | 0.585356 1.03096 | 5419.26 -5332.97
20.0582 -68.1004 | 0.504431 -0.781793 | 3863.59 -498.92
20.5069 -68.3366 | 0.77838 1.34358 | 9078.01 -286.451
20.9468 -68.5997 | 0.1511 4.07403 | -9506.96 -6588.03
21.3602 -68.8991 | -0.943817 2.25584 | 3487.83 4348.31
21.7591 -69.2167 | 1.98211 1.42324 | -1772.66 443.047
22.1395 -69.552 | 1.49738 -0.745253 | -15465.1 2127.53
22.4952 -69.9 | -2.89812 -3.39578 | 5662.2 9024.62
22.8546 -70.2398 | -6.13396 -6.10881 | 2355.32 -6353.63


-19.6654 92.0273 | 4.39697 2.17742 | -4267.53 -238.713
-19.1738 92.0921 | 4.88758 1.28868 | -518.545 -403.19
-18.6867 92.1883 | 4.53707 -2.84952 | 8305.71 754.832
-18.2001 92.3133 | 3.31343 -3.56434 | 670.647 454.393
-17.7198 92.4662 | 2.00895 -0.499465 | 13.1727 3438.37
