-9.25352 22.0415 | -0.414091 -3.83176 | 4745.48 -13.5385
-8.9001 21.6873 | -2.18902 -1.047 | -733.115 13453.5
-8.54582 21.3433 | -2.66691 1.80379 | -12293.5 -13258.6
-8.20889 20.9821 | -2.10004 -1.35047 | 9392.21 2566.72
-7.85728 20.6301 | 1.47458 -2.97652 | 6732.36 4970.39
-7.48786 20.2937 | 1.15937 -3.47511 | -6730.63 -15459.7
-7.11799 19.9523 | -2.12519 -2.31208 | 3271.02 11165.6
-6.72786 19.6372 | -0.0794621 -0.52037 | 7534.16 -1135.27
-6.31749 19.3415 | 1.9287 -2.26574 | -5414.3 -8811.35
-5.90187 19.0515 | 1.82967 -1.70983 | -1469.33 3929.14
-5.47155 18.7866 | 1.00076 0.652286 | 8036.25 -450.012
-5.01742 18.5555 | 0.689321 -0.825296 | -3663.79 2575.82
-4.54778 18.3625 | 2.99669 1.40123 | 5996.99 5029.51
-4.06215 18.2062 | 3.03028 1.30249 | 1032.17 -7869.65
-3.57232 18.0632 | -0.0576828 -0.0100209 | -21353.9 2562.52
-3.09233 17.9401 | -2.40068 -0.26637 | -1760.04 3649.81
-2.60919 17.8488 | -0.86995 -1.1958 | 3841.7 748.222
-2.11915 17.7892 | 0.199592 2.50348 | -2244.65 -3285.25
-1.62589 17.7545 | -0.697778 1.20967 | 15650.9 7763.04
-1.12071 17.7497 | -1.63511 -1.02102 | 1535.24 -9431.33
-0.613254 17.7461 | -2.84912 -0.720103 | -5702.22 -8649.08
-0.10918 17.7517 | -2.44371 1.2561 | 1467.54 16887.8
0.392829 17.8088 | 0.109282 -2.58129 | 3741.56 -3993.76
0.892205 17.894 | 3.48844 -4.84732 | -10819 -864.348
1.38019 18.0018 | 1.1721 0.631444 | -370.027 7799.8
1.86503 18.1252 | -1.32987 0.148679 | 9214.56 -9532.66
2.35929 18.2268 | 0.130422 0.492388 | -2218.66 -545.925
2.8555 18.3105 | 0.650626 0.355866 | -6463.07 4191.01
3.34937 18.3811 | -2.30839 -0.945189 | -1124.17 -1452.26
3.84475 18.4237 | -0.405674 1.78225 | 12.9105 -10691
