-3.65053 87.4166 | 2.29445 0.917616 | -569.943 -7430.53
-3.21885 87.1795 | 3.38795 0.85742 | 10479.4 -8151.51
-2.78968 86.9199 | 0.307448 1.90802 | -2347.67 350.719
-2.36759 86.649 | -3.78369 2.28192 | -41.6918 4416.54
-1.94818 86.3768 | -1.09735 1.25086 | 106.454 -4856.41
-1.53195 86.0986 | -1.57841 -1.72114 | -8261.99 2620.33
-1.11772 85.8271 | -1.45814 -2.60317 | -79.9568 -931.11
-0.690347 85.5766 | 1.6543 0.389192 | 12175.8 6210.9
-0.23652 85.3654 | -0.587493 0.522154 | -4721.9 -6020.43
0.225891 85.1763 | -1.0018 -0.77482 | -9450.6 -7618.84
0.694635 85.0163 | -0.103369 -2.12002 | 9903.47 17944.3
1.18538 84.9288 | -0.67692 -3.25648 | 4931.47 -6170.66
1.6849 84.8805 | -1.21705 -1.36927 | -15732.6 -7042.08
2.1767 84.8586 | -0.825828 -3.25086 | 270.588 3135.24
2.66871 84.8794 | 1.8087 -4.64161 | 15011.6 -1280.04
3.1671 84.9446 | 0.891166 -1.37811 | 1261.22 7579.61
3.65803 85.0632 | 2.0172 -0.502742 | -9929.84 -5022.72
4.1327 85.2147 | 2.27199 -3.0093 | 1227.77 -2282.71
4.59806 85.3919 | -1.51301 -5.13173 | 3426.86 -1088.36
5.05572 85.5959 | -1.90102 -2.58147 | 11227.4 4981.22
5.50481 85.8367 | -1.29151 -0.108136 | -4699.73 6771.38
5.92904 86.1195 | -2.70841 1.06939 | -5368.8 -3003.33
6.33119 86.4254 | -2.78541 -0.797319 | -3281.83 -5712.19
6.72156 86.7395 | -3.42801 -0.938051 | 10017.7 -4222.22
7.11063 87.0599 | -2.56541 -2.92215 | -6083.33 14161.2
7.47775 87.4088 | -1.98955 -1.72594 | -5670.49 -8052.62
7.83339 87.7595 | -4.29226 -0.248407 | -1592.49 -11027.1
8.19094 88.099 | -2.4217 -1.26333 | 1662.79 5950.77
8.55112 88.44 | -0.0679764 -2.82598 | 900.859 4852.4
8.91695 88.7803 | 0.732002 -2.66447 | 4922.01 -1731.41
9.29786 89.1078 | 0.283153 1.6135 | -123.84 5688.45
9.69123 89.4243 | 0.922063 -1.10945 | 2762.27 -7397.95
10.1021 89.7147 | -2.16513 -1.32498 | -6552.13 3765
10.5192 89.9893 | -3.53335 -1.18377 | -9080.07 -7780.44
10.9442 90.2355 | -2.55942 -2.02398 | 5348.74 -503.884
11.3862 90.455 | 0.545405 -0.00356137 | 3018.5 8316.96
11.8405 90.658 | 1.59212 0.143177 | -3082.85 -7785.2
12.3042 90.8297 | 0.991088 0.913961 | -1597.44 7989.57
12.7745 90.9836 | 2.04823 1.45269 | 2057.53 35.8597
13.2557 91.1025 | 1.44089 1.50766 | -3156.83 -10132.9
13.744 91.1721 | 0.934104 4.4225 | 5639.84 10592.9
14.2396 91.2192 | 1.16499 -2.46202 | 1549.91 338.448
14.7393 91.2323 | 0.189351 0.436411 | 2776.59 -3934.72
15.24 91.1997 | -1.40986 2.67183 | -8.03836 3726.26
15.7351 91.1265 | -3.17243 -0.367931 | -10899.5 -3290.13
16.2136 91.0038 | 1.5714 1.35144 | 4524.08 1829.81
16.6826 90.843 | 3.76293 1.71046 | 1311.38 -1122.81
17.1409 90.6471 | 0.226975 0.437876 | 4556.72 -8924.53
17.5924 90.4208 | -1.64858 0.53311 | 9982.1 4088.91
18.0484 90.1926 | -2.44229 0.630789 | -9465.02 4327.37
18.4982 89.9663 | -0.422947 0.778903 | -154.978 2881.95
18.9461 89.7398 | -0.424963 2.16342 | 2058.91 -8059.46
19.3916 89.5026 | 1.00155 3.14421 | -4200.29 1752.76
19.8355 89.2706 | 5.87308 2.68106 | -7311.96 6773.07
20.2816 89.0597 | 3.08563 0.443275 | -2822.07 -1243.77
20.7355 88.8719 | 0.171752 1.70333 | 5995.39 3208
21.2043 88.7165 | -0.348623 0.192384 | -2101.37 -241.321
21.6795 88.5842 | 1.26404 -2.66098 | -464.722 -5995.7
22.1593 88.4655 | 4.3582 -2.26825 | 4330.77 -809.577
22.6476 88.3727 | 2.0601 -0.0482639 | -3867.3 4737.23
23.1395 88.3178 | -0.780972 -1.47477 | 2517.23 -3522.36
