24.1097 -39.6612 | 3.92874 -2.30628 | -4550.77 -4905.13
24.5431 -39.8913 | 0.558727 -3.10684 | 8102.33 5981.17
24.9717 -40.1379 | 0.430544 -2.4024 | 3928.49 -8058.08
25.3911 -40.4114 | 0.739677 2.22066 | 3973.04 -3607.19
25.8032 -40.7022 | 0.657463 3.37023 | -5366.77 4836.39
26.207 -40.9949 | 1.31351 2.33819 | -9112.94 6545.97
26.6057 -41.2802 | -0.525214 1.02844 | 4084.3 6343.72
27.0109 -41.5552 | 0.0859101 -0.441882 | 3921.01 -12118.1
27.4156 -41.842 | 1.30052 -0.899872 | -2276.94 3434.82
27.8177 -42.1282 | 2.02525 3.39219 | -2656.86 9315.76
28.2166 -42.4092 | 0.224849 0.400889 | -5543.17 -9158.06
28.6044 -42.706 | -0.656069 -0.880697 | 3391.36 -1574.22
28.9975 -43.0017 | -1.14704 -1.34013 | 8972.92 -1837.49
29.4093 -43.2819 | -1.45027 -0.041516 | -808.048 -59.93
29.8356 -43.5395 | 1.78277 0.0214378 | -4069.56 6983.87
30.2739 -43.7677 | 5.67583 -1.57582 | 1326.62 -12287.8
30.7245 -43.9818 | 2.96877 0.430689 | 11022.6 6940.16
31.1978 -44.1559 | 1.64584 -2.49994 | -3675.98 -1555.65
31.6792 -44.3005 | 3.06512 -1.82263 | -7829.02 458.562
32.1631 -44.4187 | 0.139519 1.60676 | 9281.89 -93.5394
32.6586 -44.5106 | 0.1163 2.04635 | 4067.63 1851.75
33.1606 -44.5811 | 3.75228 5.79162 | -5692.98 -12817.1
33.6602 -44.6446 | 3.23282 2.95871 | -7973.39 10709.6
34.1574 -44.6636 | 1.12923 -0.842093 | 5964.96 10020
34.657 -44.6412 | -0.584086 2.46715 | -3141.52 -14204.6
35.1539 -44.6212 | 0.385761 -3.51835 | -7089.43 -203.586
35.646 -44.5922 | 1.00446 -1.91689 | 5699.84 9531.66
36.1406 -44.543 | -3.00523 -0.553129 | 4291.02 -10517.1
36.6394 -44.5003 | -2.62593 -2.29539 | 4362.78 720.891
37.1411 -44.4476 | -0.836149 -0.984255 | 3751.32 6291.22
37.6418 -44.3701 | -2.92707 3.71272 | -15713.7 -2787.71
38.1303 -44.2769 | -4.52867 0.46419 | 11252.8 3142.25
38.6228 -44.1716 | -5.26285 3.44584 | -4786.6 -2420.32


-22.9729 24.5373 | 1.50662 -0.096101 | -8600.54 -3468.68
-22.5694 24.8179 | 1.97386 -1.67363 | 5343.2 -3502.15
-22.1663 25.1026 | -3.6703 0.386119 | 521.812 3393
-21.769 25.4008 | -1.99967 1.04142 | 4302.97 11274.5
-21.3748 25.7152 | 0.164295 3.18937 | 2289.11 -4536.97
-20.9739 26.0215 | -0.199062 1.96323 | -2225.92 -404.101
-20.5643 26.3146 | 1.30442 -2.91841 | 2543 4507.07
-20.1389 26.5875 | 0.557784 -0.578506 | -965.548 -12329.5
-19.6951 26.8185 | -0.676837 0.49409 | -6027.92 -1173.39
-19.2442 27.0242 | 0.278046 -3.99431 | -3080.88 5015.84
-18.7902 27.2189 | 0.0176153 -3.22453 | -2192.16 -1748.34
-18.3306 27.3947 | 0.287548 -1.80884 | -51.5356 2685.4
-17.8621 27.5493 | 0.0891881 2.22673 | 8374.05 1444.83
-17.3782 27.672 | 3.50183 1.22735 | 2497.64 -6522.58
-16.8852 27.7544 | 4.18837 -0.0816001 | -10430.5 1762.62
-16.3961 27.8165 | 1.12694 -1.17065 | -867.782 7064.21
-15.9071 27.8689 | -0.693938 -3.34729 | -262.072 -3411.5
-15.4164 27.8941 | 1.51912 0.365538 | -500.522 -2337.05
-14.9251 27.8902 | 1.02473 -2.08477 | 4176.66 6580.02
