5.26102 -68.9592 | -0.556614 1.72851 | -2547.23 -1964.38
5.7503 -68.8363 | -0.576304 2.10372 | -4012.02 -1232.59
6.22884 -68.6866 | 0.420841 1.47319 | 3503.24 2992.32
6.69672 -68.5023 | 0.389227 2.31561 | -4725.3 -3572.27
7.14537 -68.2855 | 0.612224 1.504 | -6026.94 -3980.54
7.56834 -68.0324 | 0.761629 2.11173 | 3408.79 7072.76
7.96506 -67.734 | -0.183446 3.56866 | -2435.04 497.476
8.33446 -67.4032 | -0.0321405 1.82939 | -101.489 -4420.27
8.68601 -67.056 | -1.05801 1.4328 | -59.4085 1789.61
9.02589 -66.6963 | -2.31573 3.59208 | 1003.59 1152.47
9.36388 -66.3327 | -0.574789 4.34014 | 3597.34 1039.08
9.71037 -65.9738 | -0.484952 3.85538 | 951.97 -1636.99
10.0677 -65.6255 | -1.5721 1.89559 | 191.127 691.35
10.4347 -65.2866 | -1.73437 0.682111 | -2155.46 3496.78
10.8105 -64.9572 | -2.65612 2.56644 | -2260.09 -2828.26
11.2026 -64.6512 | -0.397264 2.01769 | 1887.65 401.997
11.6188 -64.3775 | 1.85031 -1.54939 | -1189.76 3609.58
12.0599 -64.1446 | 1.29384 -3.72323 | 4447.95 -1399.5
12.5312 -63.9742 | 1.99927 -6.01038 | 5286.32 -5216.07
13.0261 -63.8784 | 1.82327 -4.68738 | -3550.56 3044.56
13.5279 -63.8454 | 1.07781 -1.22772 | -838.615 -1947.03
14.0296 -63.8763 | 1.01617 -0.876449 | 2552.6 -875.936
14.5266 -63.9647 | 1.18136 0.0708817 | 1175.23 -1268.85
15.014 -64.1025 | 0.152579 0.811464 | 535.737 -605.792
15.4889 -64.279 | -1.87609 -2.34875 | -3544.38 5017.46
15.9485 -64.483 | 0.305221 -2.6776 | -4244 -2554.27
16.3903 -64.7176 | 5.4984 -0.520453 | 101.756 1812.06
16.8196 -64.9715 | 6.01952 -0.501441 | 243.646 6606.57
17.2383 -65.2379 | 4.84322 0.785699 | -2155.6 -900.69
17.638 -65.5299 | 4.05598 0.464325 | -1141.08 -5505.07
18.0155 -65.8531 | 4.03113 0.233101 | 4379.57 472.189
18.3795 -66.1946 | 2.77157 1.03007 | 2463.08 4694.28
18.7291 -66.5494 | -0.236274 0.649378 | -7031.01 -3314.84
19.051 -66.9277 | -0.733507 0.536144 | 2047.16 -3676.38
19.3573 -67.3222 | 0.337012 0.284814 | 3366.65 3076.95


-16.4525 84.9249 | 1.26512 3.10738 | -5968.84 -85.4532
-15.9725 85.0422 | 1.28688 -0.445684 | -1193.66 -1128.15
-15.5007 85.1877 | 1.08259 -2.28974 | 6183.52 -3390.83
-15.0327 85.3572 | 1.0808 -4.52107 | 4780.26 3209.4
-14.5747 85.5634 | 1.41909 -5.15073 | 622.242 4403.79
-14.1353 85.8121 | 0.971796 -4.33238 | 822.481 1919.19
-13.716 86.0968 | 0.168119 -4.05542 | 992.493 406.675
-13.3156 86.4085 | 0.651667 -4.66936 | -2732.3 29.5345
-12.9343 86.7398 | 1.86186 -4.85887 | -5736.24 -4778.34
-12.5679 87.0791 | 1.52424 -3.98689 | -4400.85 -1858.11
-12.2066 87.4182 | 0.561042 -3.99531 | 4616.69 -409.417
-11.8334 87.7471 | 0.471732 -3.76481 | 4518.15 -347.298
-11.445 88.062 | 0.293858 -2.1889 | -1900.31 1744.21
-11.0485 88.3672 | -0.0346944 -2.57098 | -674.829 1648.95
-10.6426 88.6612 | -0.810763 -2.79756 | 3354.24 938.305
-10.2212 88.9368 | -1.53084 -1.7315 | 1273.38 -50.0432
-9.78435 89.1886 | -1.38837 -1.11689 | -2290.38 -2791.46
-9.33495 89.4117 | -0.97154 -0.859175 | -3820.21 -341.71
-8.876 89.6077 | -0.260197 -0.63384 | -420.359 4065.18
