51.0235 -50.6936 | 0.217333 0.0348626 | -1817.63 -4258.24
51.4891 -50.5066 | -0.762508 0.985352 | 3521.05 7401.82
51.9728 -50.3637 | 0.261078 0.889976 | -3594.37 -6293.62
52.4674 -50.2874 | -0.409303 1.05313 | -5575.78 -1606.83
52.9632 -50.2778 | -1.24969 0.721183 | -42.1624 3387.39
53.4556 -50.3283 | -2.2672 -0.285521 | -2370.98 -4703.22
53.9373 -50.4422 | -1.32401 -3.27848 | 7534.07 -1883.3
54.4121 -50.601 | -0.0126659 -2.79009 | 1257.82 6029
54.879 -50.7842 | -1.90098 -1.9475 | 1068.95 -3790.13
55.336 -50.996 | -2.0359 -1.12899 | 5034.78 290.078
55.7854 -51.2296 | 0.204909 -1.58302 | -5816.57 910.391
56.2195 -51.4846 | 0.731468 -4.0787 | -1251.13 -3679.54
56.6431 -51.7589 | 1.70506 -2.33887 | 11597.8 -869.521
57.0708 -52.0397 | 0.614117 2.09073 | -4092.46 -3463.06
57.494 -52.3255 | 0.633176 2.17585 | -3852.01 10858.3
57.9176 -52.5998 | 0.890521 -0.497484 | -153.332 -3901.56
58.3415 -52.8754 | 0.309007 -1.05639 | 2180.14 -6454.58
58.7699 -53.1517 | -1.90742 -1.69922 | 6335.05 1643.66
59.2118 -53.4111 | 0.340305 0.933767 | -6925.55 5134.69
59.6599 -53.6469 | 1.204 0.215681 | -7596.81 -2326.62
60.1134 -53.8595 | -0.627261 -3.16632 | -465.604 5328.67
60.5819 -54.03 | 0.0335673 -0.750357 | 1551.02 -1988.34
61.0658 -54.1568 | 0.782771 -2.60973 | 6894.41 -985.785
61.5651 -54.2327 | 1.0744 -1.84692 | 1009.66 3852.34
62.07 -54.2501 | -0.0900653 -2.76213 | -10287.8 -3805.76
62.5668 -54.2164 | -0.174383 -0.787371 | -3707.49 1254.83
63.0537 -54.1251 | -0.99303 2.13659 | 9637.08 1388.08
63.5333 -53.9778 | -1.42853 1.10617 | 707.112 2923.5
63.9946 -53.777 | -1.65036 2.10993 | -6339.37 -4477.66
64.4303 -53.5357 | 1.35607 1.40665 | 2612.39 -8513.27
64.8419 -53.2581 | 2.38286 1.37425 | 2664.45 12989
65.2138 -52.9201 | -0.542131 0.770731 | -1631.57 2928.66
65.5398 -52.5355 | 2.62733 -2.60899 | -4752.94 -4067.69
65.8255 -52.124 | 2.70675 -1.10087 | 6193.63 -1438.34
66.0896 -51.697 | 1.42623 -0.477944 | 858.623 -168.847
66.3292 -51.2556 | 1.56405 -2.7561 | -6240.19 2798.01
66.5383 -50.799 | 2.6211 -3.08392 | 2961.86 -3808.57


-36.9765 -29.7005 | -2.46261 4.91014 | -3448.12 525.78
-36.4812 -29.6701 | -1.07614 6.17799 | -1538.94 -4020.92
-35.986 -29.6683 | -1.41539 1.34499 | 242.452 2160.77
-35.4915 -29.6842 | -0.555733 -1.84826 | -3067.08 3203.29
-34.9996 -29.7145 | -0.606766 -2.87061 | 2204.97 -4230.69
-34.5084 -29.7669 | 0.272396 -3.22986 | 319.423 3316.66
-34.0193 -29.8312 | -0.565823 -0.436589 | -7025.76 4576.77
-33.5374 -29.9085 | -3.20731 3.00993 | 304.369 1737.29
-33.0609 -30.0135 | -0.865494 0.803136 | 4416.24 -10890.6
-32.5917 -30.1644 | 0.321048 -1.06448 | 4549.57 8336.95
-32.1287 -30.3374 | -3.31251 -2.61028 | -6738.03 -1854.92
-31.6826 -30.5412 | -3.28681 1.70455 | -2827.17 -757.601
-31.2499 -30.7688 | -0.995225 0.843874 | 9118.16 6738.93
-30.8185 -31.0059 | 2.41532 -4.66349 | -1972.95 -6812.59
-30.4011 -31.2706 | 0.15668 -3.09222 | 3538.97 843.181
-29.9947 -31.5555 | -0.42375 -1.59819 | -1025.33 740.307
-29.6024 -31.8601 | 2.3557 -3.61333 | 4658.21 -4880.07
-29.222 -32.1868 | 3.54397 0.343613 | 2494.5 -608.637
-28.8539 -32.5306 | 2.73971 0.871411 | -1071.46 -2322.3
-28.5014 -32.8905 | 2.39868 -0.216245 | -3046.7 5965.82
-28.1638 -33.2567 | 1.78432 2.53538 | -7573.07 9554.85
-27.8428 -33.6275 | -0.130634 2.76796 | 3394.08 -12809.3
-27.5302 -34.0161 | -1.41937 1.07432 | 12784.8 -5941.56
-27.2085 -34.4101 | -0.19595 -1.84831 | -1667.06 1226.99
