-4.36644 -41.4813 | 1.61673 -0.231447 | 4970.07 -2475.3
-3.91276 -41.2449 | 0.0585375 -1.35908 | 246.73 -8340.67
-3.45348 -41.0236 | 0.668538 -2.19239 | -3454.89 9138.1
-2.99793 -40.7947 | 1.07548 0.672765 | 203.325 -5865.22
-2.54205 -40.5715 | -2.25308 1.64037 | -3411.7 -2934.14
-2.09049 -40.3482 | -2.45409 0.828781 | -5531.94 5870.53
-1.64766 -40.1134 | -1.94136 1.78739 | -2009.43 -2813.18
-1.20499 -39.8835 | -2.44579 2.52098 | 1134.09 -2646.64
-0.755151 -39.6681 | 0.078545 -1.17196 | 2863.28 5749.65
-0.296097 -39.4665 | -2.27144 -0.37713 | -5087.37 -3504.54
0.171337 -39.2962 | -2.98865 0.273639 | -701.199 -1272.12
0.650402 -39.1663 | 1.05509 0.490638 | 2656.74 -1207.18
1.14122 -39.0814 | 3.50094 -1.9978 | 2134.65 4194.61
1.6395 -39.0379 | -0.411297 -0.434458 | 1167.38 -5633.93
2.13973 -39.0468 | -2.51488 2.34126 | -7356.3 2007.8
2.63225 -39.0954 | -0.6409 1.80957 | -3923.73 8592.31
3.11673 -39.1757 | 1.96956 -1.40933 | 5699.14 -6484.23
3.59256 -39.3099 | 1.2229 -0.511942 | -3735.11 583.674
4.04876 -39.4927 | -1.65308 0.468013 | -7618.15 5298.04
4.4807 -39.7135 | -1.68485 0.550878 | 2101.29 3713.08
4.89412 -39.968 | 2.28138 -1.11293 | 9511.77 -5206.39
5.29012 -40.2639 | 3.58362 -2.1965 | 9427.65 -10256.6
5.66294 -40.6045 | 3.11961 -1.42407 | -3794.11 -1298.2
6.00317 -40.9783 | 2.23097 0.512353 | -840.05 2411.35
6.31838 -41.3713 | 2.68291 0.9113 | -890.431 103.536
6.6157 -41.7754 | 1.49304 1.73421 | -2989.6 12433
6.90137 -42.1773 | 1.53297 2.08858 | -2511.89 492.525
7.17385 -42.5857 | -0.189201 3.43298 | 2320.16 -4899.74
