-0.564471 66.0577 | -1.7587 -2.129 | 2931.02 -3166.98
-0.0775963 66.0959 | -2.80442 -3.09188 | -280.637 3663.48
0.410356 66.1173 | -0.848191 -1.92295 | -2438.91 3169.08
0.898117 66.1291 | 0.977293 -1.06148 | 7884.49 1417.53
1.39235 66.1269 | -1.44156 -1.97493 | 7436.62 2493.7
1.89256 66.1017 | -1.03881 -1.57608 | 5324.09 -6874.09
2.39297 66.0353 | 0.0599133 -2.72462 | -8747.34 5109.5
2.88148 65.9363 | 0.606874 0.524583 | -6639.77 274.308
3.35611 65.7983 | 1.78499 -0.302431 | 7708.27 -12170.7
3.82527 65.6183 | 0.200967 -5.21235 | 11366.9 -347.805
4.30015 65.4315 | -2.30063 -1.98449 | -280.88 9119.56
4.77927 65.2628 | -3.48671 1.37175 | -9883.94 2141.47
5.25475 65.1062 | -3.48183 1.42233 | -3593.24 4202.62
5.72941 64.958 | -1.62544 -0.815116 | 7040.46 -5087.28
6.20665 64.8016 | -0.543101 -3.14781 | -2514.18 -538.531
6.67984 64.6353 | -0.316842 -2.58165 | -1567.72 -192.984


17.3713 -16.3089 | -2.56378 -1.95594 | -5021.95 -2541.73
17.7652 -16.0088 | 1.13245 -4.28784 | 4615.32 -864.588
18.157 -15.7013 | 2.33381 -3.07302 | 1120.49 7974.42
18.5451 -15.3813 | 0.558342 -2.00252 | 7024.82 -740.263
18.9386 -15.0629 | 0.982655 -3.3102 | -6148.01 -5559.71
19.3289 -14.7496 | -1.33171 -1.65119 | -7905.97 777.795
19.7141 -14.4367 | -3.38815 2.25077 | 7459.45 -97.2669
20.1105 -14.1334 | -0.145535 4.91244 | -1523.56 -752.868
20.5131 -13.8413 | 0.576457 4.37156 | -11756 3289.17
20.9172 -13.5625 | -0.509932 4.83157 | -1665.58 -10865.2
21.3417 -13.327 | 0.843436 3.39442 | 3751.68 1956.91
21.7897 -13.1301 | 2.98266 -1.7123 | 13051.1 3388.96
22.2608 -12.9639 | 3.21869 -0.721148 | 322.835 6391.76
22.7409 -12.8165 | 1.42941 -0.111061 | -4611.4 -2049.21
23.2249 -12.6968 | 0.161209 -2.14977 | -6663.41 894.077
23.7111 -12.6086 | -0.592367 0.427791 | 4286.17 1090.11
24.2056 -12.562 | -0.197119 1.83409 | 5768.73 -1748.02
24.7057 -12.5684 | 1.10377 -0.0552293 | -5654.85 -943.28
25.1984 -12.6297 | -0.170015 -1.1682 | -5272.48 -1395.84
25.6786 -12.7403 | -1.28036 -2.61773 | 1221.52 1959.04
26.1504 -12.8843 | -0.5537 -0.827466 | 5974.25 4271.2
26.6176 -13.0522 | -1.88332 -1.58177 | 273.388 -3447.65
27.0725 -13.2542 | -2.77133 -4.5169 | -1943.66 1418.35
27.5109 -13.4868 | -1.47349 1.32033 | 2646.11 2662.83
27.933 -13.7486 | -3.54219 1.79471 | -2425.74 -3858.11
28.3298 -14.0485 | -3.73112 0.103815 | 1850.31 -5944.56
28.7056 -14.3801 | -0.439828 1.52532 | 2147.75 2462.86
29.0712 -14.7239 | -0.35305 -2.1178 | -635.575 1169.57
29.4309 -15.0722 | -2.1286 -2.57567 | -4742.99 -2394.46
29.7892 -15.4195 | -2.46281 -2.64255 | 1155.5 6534.79
30.1638 -15.7451 | -2.66178 -4.86606 | 3717.24 -1281.66
30.5596 -16.0479 | -1.97651 -3.7169 | 3084.42 7729.01
30.9717 -16.3266 | -1.19492 -3.06363 | -6471.83 -7261.19
31.3802 -16.6099 | -0.71851 -3.24373 | 3928.45 -4301.74
31.7907 -16.8974 | 2.94451 1.3515 | 3002.39 505.162
32.206 -17.1805 | 3.46715 2.93287 | -8232 -3061.59
32.6216 -17.4565 | -0.101902 1.61597 | -101.948 9487.14
33.0516 -17.702 | -0.0320939 3.53315 | 2549.9 -656.95
33.4964 -17.9239 | -1.65905 4.05172 | 3570.8 -9836.01
33.9529 -18.1312 | -0.76434 3.60786 | -6561.53 8865.01
34.4184 -18.3019 | 1.50408 2.65471 | 20.0268 -1069.68
34.8943 -18.4418 | 2.408 2.63647 | 6509.08 -6764.97
35.383 -18.5539 | 2.0918 4.19561 | 983.059 6110.18
35.8803 -18.6204 | -2.58521 1.78858 | -3733.33 4643.11
36.3782 -18.6488 | -3.76751 1.17879 | -2968.78 -7006.59
36.8751 -18.6651 | -1.35882 2.0301 | 5672.47 663.548
37.376 -18.6675 | -1.45488 1.65278 | 2162.59 -519.745
37.8781 -18.6574 | -1.44748 3.14595 | -7280.46 -1790.72
38.3753 -18.635 | -1.97266 -0.0146654 | 1288.49 3934.71
38.872 -18.5943 | -1.64873 0.39825 | 3937.95 -3589.57
39.3704 -18.5454 | -0.15581 3.59651 | -1522 2097.45
39.8668 -18.4832 | -1.18708 1.44309 | -997.032 2638.54
40.3615 -18.4118 | -0.809011 2.27391 | 2070.11 -3090.36
40.8575 -18.3463 | -1.54735 4.07254 | -3749 17.8816
41.3516 -18.2888 | -2.26538 1.2557 | -5139.22 1861.89
41.8435 -18.2433 | -1.63097 2.02682 | 5136.95 -3840.27
42.3402 -18.2221 | -2.47841 2.46377 | 1481.92 -332.084
42.8393 -18.2204 | -0.962373 -0.733953 | 2872.81 1428.09
43.3404 -18.2313 | -0.0746339 -0.37071 | -549.224 6951.74
43.8407 -18.2538 | -2.7694 1.82389 | -3360.75 -4738.44
44.3359 -18.3136 | -3.93016 -0.719791 | 2001.55 -10187.7
44.8263 -18.4167 | -3.98246 -1.87731 | 409.78 7917.68
45.3141 -18.5292 | -1.64266 -1.86701 | 630.351 7868.94
45.8003 -18.6487 | -2.54355 -2.27989 | 5955.33 -7478.48
46.2823 -18.8035 | -6.01427 0.719785 | 2334.03 -1848.35
46.7526 -18.9982 | -3.59745 -0.472619 | -1322.36 -59.1143
47.2028 -19.2343 | -0.833026 1.16746 | -679.492 342.283
47.6267 -19.5136 | -1.3953 1.41629 | -4362.95 -7356.94
48.0162 -19.8393 | -1.37749 -0.0360593 | -1081.79 3544.95
48.381 -20.1881 | 1.3235 0.995763 | -351.211 12647.6
48.7276 -20.5448 | 0.197349 -1.56472 | -5950.98 536.247
49.0435 -20.9237 | -1.85808 -1.71838 | 3436.88 -634.632
49.3294 -21.3272 | 2.26192 0.852864 | 4217.63 -605.619
49.577 -21.7577 | 6.57471 0.663419 | -8918.91 -10199
49.7671 -22.2203 | 6.7557 0.853329 | 3061.65 6126
49.9247 -22.6922 | 5.77597 -0.233141 | 2632.1 6207.85
50.0607 -23.1668 | 2.10744 0.429893 | -3747.03 -1558.84
50.172 -23.6484 | 1.23475 0.699102 | 3491.9 -6458.49
50.2726 -24.1379 | 3.6401 -1.11818 | -1169.86 -4472.95
50.3677 -24.6316 | 0.215804 -0.45403 | 2663.71 7150.86
50.4695 -25.1201 | -2.6241 -0.705758 | -3364.35 -2477.84
50.5766 -25.6078 | -0.793281 -1.49067 | 2922.14 2054.85
50.7012 -26.09 | -1.22572 -1.49759 | -4845.92 3220.96
50.8419 -26.5649 | -1.19925 -3.09704 | -708.629 -5601.29
51.0131 -27.0329 | -1.70739 -1.06924 | 8226.09 -30.417
51.234 -27.4816 | -1.07596 1.55128 | -4010.21 5350.15
51.4922 -27.9045 | -1.76802 2.18215 | -6863.58 3341.52
51.7806 -28.3017 | -3.66627 0.981226 | 1190.04 -4844.79
52.1073 -28.6722 | 0.277531 -1.08439 | 9847.47 -768.873
52.4794 -29.0057 | 1.54739 -0.208629 | -2541.73 -2433.1
52.8794 -29.3071 | 0.376407 1.00626 | 363.723 -2522.67
53.3034 -29.5762 | 1.18818 5.65072 | 1012.48 -175.419
53.7501 -29.8059 | 0.035712 5.91233 | -5539.39 4192.44
54.2132 -29.9886 | 0.295223 0.469875 | 1918.32 335.933
54.6926 -30.1272 | -0.761219 -2.99287 | 5280.99 -792.468
55.1851 -30.2284 | -0.406953 -1.20085 | -1599.64 -668.077
55.6822 -30.3005 | -0.163811 -0.896284 | -1219.21 -5558.98
56.1814 -30.3491 | -2.51254 -1.98805 | -2665.1 3766.11
56.681 -30.3578 | -1.7972 0.209832 | 4302.9 6046.32
57.1824 -30.3245 | -3.5586 2.49664 | -2976.34 -4747.69


-91.0338 -27.7709 | 0.819349 -8.60532 | 304.741 318.694
-90.5336 -27.7767 | 2.95979 -3.47655 | -456.348 188.119
-90.0343 -27.7528 | -0.821188 -0.352233 | 363.516 -946.619
-89.5374 -27.704 | -0.994572 1.94538 | -5058.28 -2487.3
-89.0472 -27.6326 | -2.40379 3.29493 | -2667.34 397.932
-88.5634 -27.5336 | -1.7294 -0.131539 | 6852.38 148.049
-88.0809 -27.406 | 2.12316 -0.848576 | 9977.41 6297.88
-87.6007 -27.2451 | -0.0955492 -0.838442 | -9326.85 -4421.24
-87.135 -27.0632 | 1.48936 -2.12383 | -9178.77 857.896
-86.6827 -26.8628 | 1.37084 3.10952 | 13234.2 -2492.7
-86.2249 -26.6584 | 0.544905 4.51184 | 433.164 2514.64
-85.7705 -26.4434 | -0.567486 3.06435 | -6224.86 864.205
-85.3254 -26.2187 | 0.46975 -0.38639 | -7193.77 1427.03
-84.8847 -25.995 | 1.47371 0.324101 | 3431.44 -9355.09
-84.4324 -25.7974 | 2.5304 0.845782 | 4909.95 5868.33
-83.9693 -25.6137 | 3.76557 0.733238 | -422.625 4157.95
-83.4982 -25.4467 | 1.45888 0.436689 | 782.763 -8593.6
-83.0161 -25.3136 | -0.532615 1.00739 | 8788.03 8216.1
-82.5224 -25.1967 | 2.35335 -3.47688 | 876.484 1832.7
-82.0225 -25.1038 | 3.51365 -0.691903 | -9193.75 -3645.49
-81.5228 -25.0497 | 0.103837 2.70154 | 5070.33 -3639.26
-81.0168 -25.039 | -0.45474 -0.834366 | 11053.7 5086.6
-80.5039 -25.0626 | 0.0506369 -3.38463 | -6357.19 -2657.66
-79.9994 -25.1332 | -0.209073 0.793697 | -6978.38 1162.43
-79.5104 -25.2537 | 0.0483594 1.6435 | -296.34 404.271
-79.0396 -25.429 | 0.123626 0.712184 | -731.388 -5163.46
-78.5939 -25.6645 | 1.81642 0.334602 | 4084.29 -5905.4
-78.1708 -25.949 | -0.552807 0.0891482 | 3007.53 -7654.78
-77.7634 -26.2625 | -1.32169 0.731586 | -5082.91 15340.8
-77.3617 -26.5673 | -0.728667 -0.628593 | -10081.8 8069.73
-76.9638 -26.8637 | -1.8203 -4.27941 | 15665.5 -12227.5
-76.5547 -27.1644 | -3.51626 -6.32128 | -3792.37 3329.88
-76.145 -27.461 | -2.23836 -2.90018 | -9315.02 -275.934
-75.7358 -27.7525 | -0.062884 0.633326 | 20509.1 -7817.37
-75.3025 -28.0291 | -2.4058 0.373909 | -13803 13448.5
-74.8627 -28.2739 | -5.43144 0.255449 | -3299.48 -1010.21
-74.4153 -28.4999 | -3.13588 0.461394 | 10856.2 -2095.22
-73.9542 -28.7113 | -0.814569 0.745164 | -8227.45 3249.16
-73.494 -28.9142 | 0.398151 4.16196 | 3896.1 -13031
-73.032 -29.1209 | -1.1364 0.526267 | -14937 17112.1
-72.5704 -29.2969 | -1.4465 -1.4209 | 6720.92 -6339.18
-72.0972 -29.458 | -1.60815 -0.820382 | 18004.6 -2464.95
-71.6047 -29.6018 | -1.63766 -0.48279 | -1795.3 -6250.13
-71.1068 -29.7318 | -1.75636 1.5606 | -4201.36 4204.36
-70.6053 -29.8277 | -1.65032 1.57879 | -5870 7670.27
-70.1023 -29.8801 | -2.49484 -0.038684 | 5735.99 -6777.26
-69.5947 -29.9048 | -1.07431 -0.530261 | -5451.36 6395.63
-69.0919 -29.8908 | 3.11344 0.998296 | -16655.3 -9970.56
-68.6021 -29.8524 | 2.83541 -0.0932667 | 4680.88 7468.01
