-46.5115 -17.6495 | -2.42154 -0.995625 | 459.921 1104.05
-46.0911 -17.3737 | -1.58984 -2.04814 | 375.809 1214.53
-45.6675 -17.1013 | -1.02388 -2.62251 | 401.15 1045.89
-45.2374 -16.8373 | -0.815323 -2.53998 | 506.309 381.422
-44.797 -16.59 | -0.731949 -2.19908 | 511.166 -581.874
-44.3427 -16.3689 | -0.604638 -1.97504 | 232.344 -1225.7
-43.8733 -16.183 | -0.396046 -1.96189 | -176.909 -1327.7
-43.3901 -16.0387 | -0.223256 -1.7754 | -359.18 -1260.18
-42.8964 -15.9387 | -0.112768 -1.23403 | -435.506 -698.818
-42.3964 -15.8821 | 0.00777974 -0.413565 | -493.466 -379.909
-41.8938 -15.8657 | 0.229079 0.360413 | -528.586 -492.549
-41.3917 -15.8849 | 0.521884 0.573088 | -364.14 -419.494
-40.8919 -15.9333 | 0.745914 0.408211 | -35.764 296.322
-40.3946 -16.0027 | 0.79498 0.114756 | 286.644 1181.41
-39.8994 -16.0857 | 0.706035 -0.11379 | 513.355 1108.46
-39.4058 -16.1797 | 0.606225 -0.216618 | 673.598 506.35
-38.9142 -16.2864 | 0.596165 -0.0625959 | 613.852 47.8728
-38.426 -16.4097 | 0.771453 0.739329 | 271.028 -364.79
-37.9432 -16.5541 | 1.018 1.78016 | -183.024 -1266.14
-37.4683 -16.7229 | 1.14364 2.49101 | -331.608 -1682.81
-37.002 -16.9153 | 1.11712 2.84524 | -97.8044 -1073.98
-36.5427 -17.1245 | 0.938354 2.8244 | 326.581 31.0065
-36.0863 -17.3408 | 0.585173 2.31451 | 538.156 344.833
-35.6288 -17.5556 | 0.0312988 1.26451 | 792.27 634.646
-35.167 -17.7618 | -0.507858 0.172681 | 1087.09 1353.62
-34.6992 -17.9556 | -0.749134 -0.324966 | 884.57 1164.08
-34.2265 -18.1381 | -0.805651 -0.415361 | 213.312 -257.591
-33.7517 -18.3157 | -0.761055 -0.23679 | -468.234 -1860.27
-33.2771 -18.4942 | -0.626178 0.154689 | -560.898 -1919.3
-32.8023 -18.6727 | -0.491031 0.513511 | -271.634 -821.249
-32.3247 -18.8438 | -0.460538 0.513311 | 3.95909 445.454
-31.8413 -18.9971 | -0.504755 0.0890042 | 112.89 1485.63
-31.3505 -19.1238 | -0.442529 -0.243974 | -169.677 1286.7
-30.8531 -19.2193 | -0.243564 -0.0845479 | -326.698 658.671
-30.3512 -19.2834 | 0.0324172 0.737473 | -166.806 600.094
-29.8464 -19.3173 | 0.276518 1.74804 | -88.4372 214.996
-29.3407 -19.3241 | 0.415816 1.95766 | -89.8728 -72.1078
-28.8353 -19.3064 | 0.513011 0.983839 | 19.5947 -30.6333
-28.3312 -19.2653 | 0.62614 -0.470515 | 152.639 406.001
-27.8294 -19.2011 | 0.71222 -1.71876 | 162.057 527.304
-27.3305 -19.1152 | 0.689081 -2.27687 | 327.593 -473.705
-26.8347 -19.012 | 0.504221 -1.86612 | 563.22 -710.259
-26.3416 -18.8946 | 0.235464 -0.796837 | 801.828 -720.054
-25.8513 -18.7643 | 0.0654151 0.190683 | 669.593 -207.394
-25.3642 -18.6202 | 0.162121 0.55712 | 166.562 738.118
-24.8818 -18.4603 | 0.589494 0.285983 | -104.419 743.418
-24.4046 -18.285 | 1.19967 -0.230687 | -234.197 318.739
-23.9326 -18.0968 | 1.71575 -0.596869 | -387.106 52.9824
-23.4648 -17.899 | 1.96052 -0.591458 | -469.227 -48.1979
-23.0001 -17.6951 | 2.00271 -0.337587 | -359.276 -317.99
-22.5369 -17.4888 | 1.92745 0.00223566 | -382.153 -182.153
-22.0741 -17.2829 | 1.60335 0.701266 | -483.53 309.784
-21.6102 -17.0801 | 1.19175 1.50315 | -422.665 564.319
-21.1433 -16.885 | 0.869183 2.17615 | -213.049 320.457
-20.6704 -16.7052 | 0.634841 2.84717 | -78.9919 -178.368
-20.1887 -16.5511 | 0.621462 3.21025 | 121.754 -1154.88
-19.6971 -16.4342 | 0.836106 3.04743 | 217.123 -1871.2
-19.197 -16.3635 | 1.16007 2.43059 | 28.4412 -1561.45
-18.6924 -16.3425 | 1.47772 1.6965 | -228.771 -975.807
-18.1882 -16.3698 | 1.73329 1.08808 | -468.415 -375.44
-17.6887 -16.4411 | 1.92713 0.778485 | -575.756 530.962
-17.1969 -16.5515 | 2.07584 0.607796 | -725.629 338.551
-16.7155 -16.6983 | 2.12068 0.289373 | -825.261 -105.798
-16.2468 -16.8796 | 2.03468 -0.10398 | -844.66 -334.533
-15.7921 -17.0924 | 1.84745 -0.442004 | -891.814 -784.128
-15.3513 -17.3318 | 1.59817 -0.668044 | -339.807 -314.823
-14.9209 -17.5891 | 1.28546 -0.78545 | 393.215 443.898
-14.4955 -17.8545 | 0.992257 -0.711232 | 800.824 747.21
-14.0701 -18.1204 | 0.626858 -0.692827 | 871.989 586.486
-13.6418 -18.3824 | 0.169499 -0.813273 | 592.603 55.128
-13.2096 -18.6389 | -0.153537 -0.769303 | 302.814 -327.908
-12.7731 -18.889 | -0.208789 -0.4178 | 69.7053 -510.075
-12.3317 -19.1312 | 0.0210446 0.29477 | 69.6608 -243.312
-11.884 -19.3617 | 0.384316 1.14266 | 96.4337 -3.15898
-11.4281 -19.576 | 0.584747 1.52708 | 150.208 281.689
-10.9627 -19.7686 | 0.512366 1.15004 | 68.1654 521.078
-10.4873 -19.9346 | 0.268023 0.210181 | -50.8026 857.068
-10.0025 -20.0702 | 0.0124829 -0.896872 | -187.235 873.095
-9.51017 -20.174 | -0.114742 -1.68271 | -253.082 450.303
-9.01259 -20.2473 | -0.0884231 -1.72124 | -173.998 155.544
-8.51181 -20.2929 | -0.00135702 -0.999315 | -182.222 -755.186
-8.00951 -20.3138 | 0.0607656 0.313286 | -169.103 -1273.02
-7.50693 -20.3102 | 0.0306203 1.7659 | -130.79 -814.796
-7.00567 -20.2772 | -0.104538 2.77031 | -263.23 -7.79456
-6.5087 -20.2066 | -0.271572 2.97153 | -658.753 1052.37
-6.0208 -20.0911 | -0.342413 2.34597 | -901.12 1559.16
-5.5471 -19.9279 | -0.231811 1.15191 | -622.023 860.178
-5.09059 -19.7219 | -0.0267314 -0.102291 | -205.295 -260.983
-4.65135 -19.4817 | 0.0129248 -0.823884 | 65.7414 -818.452
-4.22796 -19.2149 | -0.30224 -0.797791 | 534.936 -1134.83
-3.819 -18.9269 | -0.864719 -0.336363 | 418.74 -545.721
-3.42511 -18.6186 | -1.4396 0.212526 | -1.72799 163.988
-3.0484 -18.2894 | -1.86818 0.650141 | -151.794 481.394
-2.69051 -17.9396 | -2.13204 0.916241 | -416.8 813.991
-2.35157 -17.5712 | -2.23443 1.02621 | -140.911 347.515
-2.02879 -17.1882 | -2.06915 0.941207 | 45.901 -143.655
-1.71784 -16.7957 | -1.63005 0.642876 | -95.8731 -299.674
-1.41429 -16.3977 | -1.02985 0.185726 | -109.604 -563.496


-7.05622 34.5603 | 0.684084 -4.95429 | 1124.56 3107.36
-6.73565 34.9466 | 1.17388 -5.18618 | 1122.46 1286
-6.38939 35.312 | 1.53428 -5.25115 | 475.548 1019.76
-6.02132 35.6568 | 1.67458 -5.71069 | -93.6841 421.351
-5.63409 35.9804 | 1.44012 -6.16742 | 957.248 -1213.41
-5.22873 36.2812 | 0.852931 -5.49874 | -88.8289 1225.5
-4.80914 36.5628 | 0.0322144 -3.343 | 220.383 181.152
-4.37675 36.8245 | -0.748278 -1.12689 | -375.959 -468.376
-3.93303 37.0655 | -1.3362 0.0476833 | -1373.5 173.767
-3.47948 37.2853 | -1.31557 -0.0719191 | -58.7326 -1260.27
-3.01538 37.4802 | -1.13345 -0.862981 | 404.749 -395.417
-2.54148 37.6501 | -1.02909 -1.75394 | -0.50286 725.325
-2.05936 37.7957 | -0.711739 -2.68974 | 1119.02 -1323.52
-1.56945 37.9147 | -0.666671 -2.03262 | 726.2 794.555
-1.07382 38.0104 | -0.741668 -0.566219 | 29.8411 909.931
-0.574272 38.0828 | -0.908718 0.73664 | -314.042 -2099.72
-0.0722008 38.1284 | -1.01145 0.98311 | -911.396 -594.04
0.430619 38.1512 | -1.04489 -0.13876 | -451.169 453.168
0.93353 38.1566 | -1.19187 -0.971983 | 327.634 -403.917
1.43661 38.1472 | -1.22407 -2.63608 | 708.948 -524.07
1.94 38.1268 | -1.10944 -4.45322 | 598.934 -995.451
2.44365 38.1007 | -0.772557 -4.53753 | -587.96 1525.62
2.94701 38.0774 | -0.223007 -2.90159 | -1145.27 2348.74
3.4497 38.0599 | 0.157441 -2.07457 | 213.681 -839.292
3.95253 38.0442 | 0.381861 -1.66392 | 950.725 -536.022
4.45616 38.0323 | 0.370366 0.14692 | -409.871 2097.14
4.95961 38.032 | 0.194841 1.41965 | -1425.65 2945.81
5.46176 38.0465 | 0.137359 1.13576 | -154.401 980.279
5.96312 38.0694 | -0.102825 0.712381 | 307.255 933.873
6.46424 38.0913 | -0.422503 0.0389931 | -387.991 -1286.21
6.96497 38.0983 | -0.695402 0.242785 | -604.331 -3110.52
7.4648 38.0807 | -0.915726 0.624217 | -910.478 -2455.63
7.96313 38.0409 | -0.883218 0.396483 | -353.239 -188.889
8.46073 37.99 | -0.783158 0.872557 | 251.246 546.455
8.95882 37.9399 | -0.65915 1.07805 | -53.3317 548.516
