32.2307 -13.2193 | -1.79422 1.31904 | 7712.74 -12089
32.7413 -13.166 | 0.0264778 0.108827 | -11375.5 7176.13
33.2407 -13.0828 | 2.95888 -2.76973 | -8499.82 -1002.13
33.7282 -12.9767 | 1.66991 -2.10749 | -3713.92 -4927.58
34.2089 -12.8558 | -0.482428 0.463875 | 10780.3 5962.61
34.6908 -12.7115 | 0.521612 1.7022 | -1323.5 -3978.33
35.1671 -12.5515 | -0.373953 2.99306 | -1107.47 -419.021
35.6342 -12.3687 | 0.825855 5.94376 | -2168.64 12161.9
36.0891 -12.1557 | 1.47807 6.50935 | -5625.59 -10642.8
36.5412 -11.9519 | 0.114612 2.18242 | 1817.96 -1816.03
37.0005 -11.7642 | 1.06116 -0.535123 | 3477.34 5791.56
37.4691 -11.592 | 1.43647 -2.37713 | -1793.1 -4171.86
37.9468 -11.4529 | 1.02094 1.57898 | -1854.92 -1965.53
38.4325 -11.3499 | 0.251733 -0.206969 | 3357.49 4824.58
38.9275 -11.2783 | -1.66137 -1.5013 | 9009.4 -2636.33
39.4332 -11.2498 | -0.784 0.956313 | -1947.74 -451.445
39.9396 -11.2638 | -0.584176 3.13102 | 1042.27 3996.13
40.4434 -11.3191 | 0.311946 1.74939 | 1666.67 -2059.59
40.9376 -11.432 | 0.943729 1.88938 | -10902.8 -4691.53
41.4056 -11.6121 | 1.04942 2.31146 | 5385.14 -876.495
41.8531 -11.845 | 0.628534 -0.102349 | -1088.96 2594.39
42.2759 -12.1182 | -1.02967 0.489395 | 747.991 708.527
42.6711 -12.4285 | -1.02306 -0.674821 | -8334.76 3675.88
43.0292 -12.7724 | 2.34113 -1.77542 | 1830.35 2587.94
43.3573 -13.145 | 2.74435 -0.288207 | 3748.66 -13178
43.6564 -13.5514 | -0.812351 -1.65772 | 2161.58 6890.08
43.9342 -13.9699 | 0.665365 0.694113 | -4764.04 4497.64
44.1856 -14.399 | 1.6957 1.50176 | 303.369 2577.48
44.415 -14.8379 | -0.639497 0.67415 | 3324.1 -568.735
44.6222 -15.2893 | 1.07859 0.819044 | -4082.05 -7572.12
44.7971 -15.7571 | 2.15562 -3.19992 | 209.886 10126.5
44.9516 -16.2256 | 0.189123 -5.12788 | 182.144 2323.75
45.0902 -16.697 | -0.412105 -4.29726 | 2348.39 -5545.43
45.215 -17.1751 | -0.266344 -3.75421 | -3910.79 8020.9
45.3232 -17.6521 | -1.53743 -3.495 | 7880.87 -1711.35
45.424 -18.133 | -2.03398 -4.33036 | -5152.36 -7803.59
45.4975 -18.6246 | -2.80515 -3.82713 | -6931.53 -9271.4
45.5504 -19.1253 | -4.57237 -3.13124 | 14274.6 4202.11
45.6199 -19.6225 | -2.16899 -1.34709 | -6860.94 8198.66
45.6856 -20.1136 | -0.613582 0.742281 | -3248.9 -1418.54
45.7506 -20.6041 | -1.98093 -3.38496 | 4925.75 3432.14
45.8305 -21.0904 | 0.130046 -2.81941 | -3198.08 501.723
45.9191 -21.5749 | 0.156205 0.0216613 | 3455.15 -6059.46
46.0218 -22.0611 | 0.463257 -0.483179 | -6705.55 -334.265
46.1331 -22.5456 | -1.02726 -1.15693 | 1828.14 -2921.81
46.2731 -23.024 | -0.192617 -3.56491 | 6274.02 9819.85
46.4539 -23.483 | 0.888654 -3.80129 | -9753.58 1329.11
46.654 -23.9313 | -1.10496 -1.41536 | 9158.58 -10380
46.886 -24.3741 | -1.71313 -2.12348 | -6360.76 -7311.22
47.1407 -24.8088 | -1.91474 -2.58071 | 5023.84 -305.687
47.4401 -25.216 | -0.0505475 -3.97752 | 5799.77 12923
47.7885 -25.5777 | 1.63443 -1.68124 | -4206.36 -7656.8
48.1605 -25.9187 | 1.27262 0.915691 | 7899.11 -7017.94
48.5564 -26.2408 | 0.902385 -0.58136 | -10831.5 7162.59
48.9637 -26.5333 | 0.401872 0.426095 | -5234.94 7515.28
49.3841 -26.7919 | 1.74443 2.25929 | -2159.1 6274.48
49.814 -27.0258 | 1.52803 -0.0752702 | -887.746 -10573.5
50.2451 -27.2636 | -1.99316 0.952219 | 6694.09 -287.119
50.6835 -27.4971 | -2.89712 0.22296 | -2719.34 725.723
51.1231 -27.726 | -2.99067 -1.198 | 3930.41 -1915.65


-81.094 -48.0041 | -1.82608 1.36396 | -4974.92 13619.9
-81.2765 -47.5234 | -0.69213 -0.104243 | -2904.76 -1522.78
-81.4776 -47.0515 | -1.65902 -2.24759 | 2338.34 -6620.08
-81.6817 -46.5877 | 2.611 -1.99785 | 6706.94 -6999.13
-81.8731 -46.1273 | 1.70015 0.372971 | 5876.72 -5344.96
-82.0504 -45.6665 | 0.73324 1.16613 | -6120.66 6490.23
-82.2282 -45.1997 | 2.42322 1.09551 | -12119.9 5359.35
-82.4053 -44.7252 | -2.41377 -0.61915 | 13250.1 2853.87
-82.5411 -44.2382 | -0.796953 -0.694228 | 6961.62 -6575.64
