54.2978 4.26831 | 4.41548 -0.881025 | 3939.5 3095.81
54.7176 4.00093 | 1.87057 -3.35018 | -1884.74 -1610.67
55.1597 3.77425 | 0.823587 -3.21068 | -2233.01 1974.09
55.6223 3.59765 | 1.61102 -1.34104 | 3565.92 1562.72
56.1043 3.4733 | 2.58251 -0.913346 | 6213.51 -1224.55
56.6007 3.39166 | 2.97524 -0.684715 | 1789.93 -2571.98
57.1033 3.34255 | 1.52688 0.212005 | -2966.14 2175
57.6059 3.32469 | -0.0556572 2.78446 | -3385.44 -1024.36
58.1062 3.32863 | -0.0224292 3.33342 | 859.601 -986.049
58.6062 3.34904 | 0.548246 1.30674 | 20.1962 1899.15
59.1053 3.38427 | 0.0429002 -1.14839 | -1439.9 -3049.76
59.6035 3.42472 | -1.51287 -1.13375 | 3115.84 1252.31
60.1037 3.47253 | -1.9537 0.0382672 | 5066.42 3033.44
60.6078 3.52572 | -0.661218 0.0190082 | 2694.95 -5010.39
61.1145 3.57175 | 0.923447 -0.43347 | -2129.72 -1149.66
61.6194 3.61809 | 2.07387 -0.747153 | -4099.28 3989.33
62.1198 3.67605 | 2.54829 -0.333661 | -3146 2078.17
62.616 3.74019 | 2.25699 0.821247 | -6685.34 -1668.08
63.1074 3.79539 | 1.9248 0.770627 | -5298.69 -412.959
63.5963 3.83077 | 1.52971 -0.320525 | 2507.24 -528.644
64.0882 3.83678 | 0.444603 -0.693113 | 6399.06 -945.024
64.5843 3.8084 | -1.13525 -0.639661 | 2835.43 -170.479
65.0799 3.74583 | -1.67848 -1.19893 | -1778.64 1762.6
65.5691 3.65029 | -0.169249 -1.36827 | -2182.54 -1693.32
66.0483 3.51784 | 1.87353 -0.952033 | 3571.01 959.411


-23.8256 -45.6853 | 0.596676 3.93107 | 887.328 -1345.82
-23.3253 -45.7087 | 0.316848 2.06261 | -362.761 1922.23
-22.8251 -45.7253 | -0.355985 1.53496 | -271.522 430.022
-22.3251 -45.7328 | -1.40673 1.85381 | -920.845 -1926.03
-21.8261 -45.7307 | -1.99348 2.53345 | -3104.74 -1239.18
-21.3301 -45.7111 | -1.64348 2.57151 | -1943.49 3130.85
-20.8371 -45.6618 | -0.577878 1.43438 | 3098.7 2466.69
-20.3448 -45.5849 | 0.141785 -0.0193386 | 5364.59 -521.317
-19.851 -45.4915 | -0.318601 -1.4644 | 2344.53 281.269
-19.3567 -45.3879 | -0.971139 -3.07245 | 1354.9 -1490.22
-18.8621 -45.2797 | -0.730846 -4.05809 | 1573.87 -368.621
-18.3673 -45.1658 | 0.2679 -3.78172 | 964.351 2565.79
-17.8735 -45.0425 | 1.47698 -3.83703 | 544.144 631.424
-17.38 -44.9152 | 2.27532 -4.54325 | 1516.3 -2875.81
