-21.7872 70.3201 | -1.61884 -3.23162 | -3506.34 816.872
-21.3547 70.0765 | -2.18577 -4.32176 | -2665.75 1750.28
-20.9347 69.8154 | -1.6375 -0.290836 | 3968.82 -463.033
-20.5215 69.5376 | -0.0207943 1.47305 | 8484.14 -7697.25
-20.1135 69.2387 | 0.0744481 -2.32023 | -3752.66 580.374
-19.717 68.9273 | -1.58702 -3.4735 | -5143.32 4812.2
-19.3283 68.613 | -0.434371 0.565894 | 7016.36 -3074.93
-18.936 68.2965 | -2.34675 3.38927 | -1396.35 305.102
-18.5442 67.9808 | -2.52616 1.79653 | -7633.27 -476.146
-18.1537 67.669 | 3.33607 3.6879 | 9344.04 3340.55
-17.7461 67.3757 | 2.52836 4.52813 | -7773.9 -1546.57
-17.3332 67.0963 | -0.00334325 1.79251 | -2010.77 571.485
-16.9077 66.8402 | 1.07308 3.32743 | 3285.51 4072.58
-16.4624 66.619 | 1.52152 2.22599 | 1529.62 132.356
-16.0023 66.4259 | 1.0123 -1.65142 | 3757.59 -1535.66
-15.5319 66.2497 | -2.59254 -2.48315 | -535.425 -5053.93
-15.0571 66.0793 | -3.99982 0.470393 | 5819.97 -5774.13
-14.5732 65.9208 | -0.910174 1.28126 | -1557.45 9662.84
-14.0828 65.7976 | 1.10997 -1.25269 | -11903 -43.3425
-13.5957 65.699 | 2.51026 2.27918 | -2825.04 -1509.02
-13.1078 65.6213 | -0.070565 0.131472 | 1018.97 -2140.47
-12.6148 65.5687 | -1.56384 -1.07266 | 11751.6 3519.17
-12.1112 65.5522 | -0.0701528 3.27747 | 1530.02 -80.3129
-11.6068 65.5655 | 1.49768 1.25526 | -15620 -5280.36
-11.1139 65.6019 | 1.38993 1.86269 | 2467.86 4017.5
-10.623 65.673 | 0.566131 1.64295 | 13351 4091.33
-10.128 65.7744 | 2.27442 1.11574 | -3565.63 -6054.94
-9.63853 65.891 | 2.14079 2.8057 | -2641.91 847.351
-9.1575 66.0302 | 0.67126 1.19128 | -5514.08 4053.52
-8.68685 66.1931 | 0.409801 1.41541 | 4406.69 -3528.24
-8.21599 66.3615 | 0.217372 3.68345 | 2428.81 5892.54
-7.74371 66.534 | 0.593353 1.52646 | -1717.91 -7167.66
-7.268 66.6893 | -0.857294 -1.48812 | 472.769 -3176.91
-6.78903 66.8314 | -1.20617 -2.14938 | -5112.93 11210.7
-6.31226 66.9759 | 2.13616 -1.51533 | 738.107 -6239.26
-5.82853 67.092 | 4.42495 -3.14479 | 3500.82 -2374.15
-5.33588 67.1733 | 3.57792 1.80097 | -1199.39 -2498.38
-4.83969 67.2251 | 4.68735 3.6076 | -714.811 1806.25
-4.34186 67.2632 | 5.5665 1.99578 | 7283.74 6960.78
-3.83871 67.2966 | 5.12138 2.13349 | -3102.88 -6987.4
-3.33622 67.3082 | 2.68714 0.962476 | -1431.13 7002.45
-2.8347 67.309 | 1.12693 0.0993294 | 254.189 -2912.38
-2.33357 67.2819 | 2.22289 3.16006 | 2737.16 -95.3623
-1.83339 67.2216 | 4.60593 0.812212 | 2867.23 781.988
-1.33888 67.1226 | 6.51974 1.28101 | -13051.9 -5414.35
-0.865392 66.9765 | 3.06977 -0.245907 | -9063.71 9837
-0.408912 66.8063 | 0.0569328 -2.30921 | 5521.82 -5494.44
0.0413031 66.6078 | 2.65832 2.81679 | 11772.4 -3858.43
0.493503 66.3928 | 2.07472 2.78936 | 2342.06 11318.1
0.942629 66.1743 | 0.615503 2.6765 | -11993.1 -5126.15
1.36875 65.9248 | 0.514949 3.65728 | 938.993 202.041
1.77952 65.6493 | -0.903281 2.13658 | 9578.02 -2492.89
2.18292 65.3515 | -1.15978 1.76401 | 2393.52 -3328.4
2.57174 65.0294 | -0.346018 0.112001 | -2064.26 1095.11
2.94033 64.6858 | -1.00533 -3.33247 | -3743.29 -3514.36
3.28819 64.321 | -1.78549 -3.68098 | 7794.79 2241.83
3.63026 63.948 | 1.31408 -0.177501 | -8252.81 -3794.44
3.95608 63.5643 | 0.395315 -1.55052 | -4619.2 10908.4
4.28065 63.19 | -1.26672 -3.57251 | 3683.23 1311.56
4.61663 62.8257 | -0.836849 -2.8406 | 1344.86 -6195.3
4.96189 62.4658 | -2.05725 -2.94938 | -966.042 6253.96
5.31689 62.1205 | -0.528062 -2.86744 | -5340.52 2510.99
5.67531 61.7844 | 2.36742 -0.364695 | -3615.74 -9776.38
6.04103 61.4518 | 1.46216 -1.65156 | 13197.1 3336.18
6.43964 61.149 | 0.396761 -3.08955 | 421.303 -5475.05
6.86094 60.873 | 0.0600107 -2.18856 | -2403.53 1732.75
7.30248 60.6354 | -0.127939 -2.86186 | -2733.46 7407.61
7.76242 60.4456 | 0.60695 0.452947 | -1764.1 -6565.08
