-7.99511 -19.0573 | -0.126674 0.498993 | 2080.26 -2708.6
-7.53959 -18.8424 | 1.05572 1.18442 | -2868.46 1692.09
-7.10387 -18.5925 | -0.114697 -0.0604028 | -983.262 -4399.31
-6.68582 -18.3186 | 0.271214 -0.660141 | 500.976 -3306.68
-6.28727 -18.0199 | 0.264446 0.525215 | -5687.82 7074.42
-5.91753 -17.6865 | -1.44939 -0.903088 | 821.042 -2832.89
-5.5626 -17.3385 | -1.41486 -2.36093 | 3396.34 -2596.3
-5.21182 -16.9855 | 0.230794 -2.85422 | 3035.5 1566.48
-4.86598 -16.6251 | 0.499921 -1.86174 | -2636.23 -2332.64
-4.53286 -16.2568 | 0.133907 -0.207579 | -5171.73 -2921.5
-4.21705 -15.8789 | -0.500075 -0.651848 | -645.016 185.637
-3.91252 -15.4913 | -1.50755 -1.46137 | 6065.52 7617.89
-3.60857 -15.0933 | -0.217046 -0.600811 | 4509.94 8628.83
-3.29909 -14.6898 | -0.476604 1.12362 | 2725.29 -4616.22
-2.97752 -14.296 | 0.443578 -0.584393 | -1688.87 650.746
-2.64803 -13.9093 | 1.67718 -1.99244 | -806.028 2091
-2.30879 -13.5315 | 1.79574 -1.05073 | -5170.44 -6682.03
-1.95568 -13.1739 | -0.570659 0.304268 | 5617.02 1129.18
-1.57837 -12.8375 | 0.608769 -0.0619846 | 5353.14 2572.15
-1.18017 -12.5208 | 2.25361 -0.869055 | -9419.39 -1806.69
-0.774961 -12.2239 | -0.463267 1.3694 | -9701.46 -2900.42
-0.359846 -11.9552 | -0.245674 -0.361523 | 958.365 -5722.56
0.0788976 -11.7297 | 0.623995 0.177104 | 10476.4 10941.4
0.544979 -11.5408 | 1.58707 -1.18567 | 4782.45 -4402.74
1.03366 -11.4087 | -0.349967 -3.02986 | -1486.27 -1708.08
1.53286 -11.3323 | -2.5452 -0.019163 | -4062.28 2309.97
2.03286 -11.3052 | -2.63579 0.447659 | -13084.5 -5986.26
2.52358 -11.3314 | -2.16004 2.04466 | 11053.4 4336.99


6.59182 46.6736 | -1.47085 3.51663 | -12659.1 2670.6
7.06773 46.5675 | -0.167987 0.149963 | 1227.33 -2776.53
7.5495 46.4798 | 2.73774 2.89246 | 8768.8 2423.15
8.04171 46.4227 | 2.06517 -1.32794 | -2301.09 -1785.39
8.53596 46.3928 | 1.17852 -1.7825 | 51.14 1582.75
9.03131 46.3923 | 1.73032 1.77584 | 1637.57 -2415.65
9.52742 46.4156 | 0.697346 -0.363554 | 1436.34 -804.732
10.0228 46.4655 | -0.770051 0.779603 | 434.304 5795.57
10.5147 46.5471 | -1.32202 2.81879 | -1964.63 -7166.86
11.0025 46.6416 | -1.12335 2.23848 | 3493.54 -3856.67
11.4871 46.7569 | -1.15328 3.50676 | -2064.39 6734.92
11.9589 46.9161 | 0.677283 2.81121 | -3905.29 3411.74
12.4144 47.1127 | 0.698449 1.6724 | 2525.15 -6110.63
12.8621 47.3237 | -0.518951 0.415848 | -5448.97 -7362.68
13.2979 47.5474 | -2.23159 0.539469 | 2345.15 7073.33
13.7211 47.8014 | -1.58837 -0.197472 | 5307.43 1316.08
