-13.764 -12.7957 | 2.48784 -1.96939 | -4026.06 -7504.18
-13.3294 -13.0292 | 3.29865 1.91764 | 10430.2 8627.73
-12.8642 -13.2013 | -2.09375 5.0727 | -5309.31 7554.91
-12.3858 -13.3165 | -0.620692 1.49616 | -6351.4 -9722.88
-11.9049 -13.409 | 3.0643 1.94688 | 7664.41 5273.49
-11.4147 -13.4743 | -3.45617 4.18143 | 2864.34 -7869.12
-10.9195 -13.5341 | -4.49313 -1.36106 | 10378.2 2031.78
-10.4163 -13.5815 | -0.398133 4.86377 | -10461.1 -3732.39
-9.91851 -13.6217 | 0.52024 5.4184 | 386.468 294.246
-9.42117 -13.6437 | 0.535378 0.799668 | -6896.09 -5535.96
-8.9291 -13.638 | -0.193647 0.0132176 | -7847.58 8483.98
-8.44539 -13.5747 | 0.170576 0.692925 | 15566.8 -1690.35
-7.95957 -13.4636 | -0.141675 0.762649 | 4118.72 8001.83
-7.48072 -13.303 | 2.18916 1.00967 | 4717.83 6632.67
-7.00702 -13.1163 | 1.64514 2.79857 | -5812.88 -20090.6
-6.53641 -12.9465 | -2.95466 -0.410141 | -11633.8 -103.666
-6.0755 -12.7698 | -0.91549 -6.39567 | 14080 12864.3
-5.61139 -12.5718 | -0.0838944 -1.2693 | 2414.49 -2548.9
-5.14644 -12.373 | -2.33574 -0.764841 | -10951.3 -10054.3
-4.68785 -12.1828 | 2.01101 0.987533 | -398.055 4292.83
-4.23312 -11.9849 | 3.14438 -0.323308 | -3594.56 6141.82
-3.78038 -11.7813 | 0.896667 1.68444 | 13862.6 -6651.29
-3.31134 -11.5978 | -0.683819 2.57133 | 152.701 2177.41
-2.83681 -11.4229 | -0.567822 -0.144119 | -1842.06 10286
-2.36014 -11.2507 | -0.161955 -1.38701 | 1219.6 -10400.4
-1.87417 -11.1153 | 1.55575 -2.74965 | -7944.79 -3492.4
-1.38648 -11.0136 | 1.18642 -0.102925 | -2226.04 913.741
-0.897188 -10.9341 | 0.957308 0.92974 | -3216.9 2858.26
-0.406658 -10.8699 | 4.05404 -1.84259 | 9776.63 2975.66
0.0935496 -10.8256 | 4.22733 -1.74729 | 9085.12 -4256.86
0.601174 -10.8137 | 1.19372 1.11202 | -14412.6 3898.73
1.09947 -10.8272 | 1.72293 0.100532 | -4150.52 -423.407
1.5921 -10.8731 | 3.03052 4.70819 | 4894.48 -2699.11
2.08389 -10.9541 | 3.72918 -0.128026 | 8417.02 4625.77
2.57529 -11.0626 | 1.39667 1.04196 | -10281.5 -7277.25
3.05171 -11.2113 | -0.47145 -0.438863 | 6938.22 5742.23
3.5245 -11.3792 | 2.98956 -3.13832 | -2683.68 -3407.92
3.98849 -11.5709 | 1.21866 -3.92167 | 9193.59 1432.97
4.45106 -11.7781 | 0.0882432 -0.460092 | -2172.42 7185.21
4.90059 -12.005 | -2.57775 -0.138729 | -8562.11 -11850
5.32027 -12.2779 | -2.93437 -0.787686 | -8523.81 9387.89
5.71743 -12.5701 | -1.09613 -1.78032 | 10252.9 -3100.24
6.11117 -12.8762 | -0.676498 0.148085 | -2107.94 -3710.3
6.49834 -13.1916 | 2.46235 2.05166 | 3042.06 16396.9
6.88718 -13.4986 | 2.15761 0.0710034 | -1258.92 -19697.9
7.26129 -13.8354 | 2.41808 3.09968 | 4491.18 -4387.45
7.63329 -14.1808 | 0.648474 2.79743 | -1472.26 13787.8
8.01104 -14.5089 | -2.94317 -1.87003 | -12664.8 -1347.21
8.38651 -14.8286 | -1.32218 -3.58817 | 4129.71 2869.53
8.77985 -15.1245 | 4.51174 -0.824524 | -4338.41 2785.04
9.18983 -15.3915 | 2.1519 1.84085 | 2929.76 -802.306
9.62053 -15.6303 | -0.097525 0.3147 | 13916.8 -5745.31
