-39.2843 -27.7823 | 1.71551 0.326487 | 120.214 -2079.98
-38.8926 -27.4731 | 0.916241 1.71277 | 1921.08 -987.498
-38.5062 -27.1562 | -0.435561 2.72001 | 706.844 2129.29
-38.1285 -26.8269 | -1.56904 1.9684 | -2433.74 2720.3
-37.7615 -26.4859 | -3.46573 1.08042 | -465.765 -2846.44
-37.3974 -26.1446 | -3.10853 0.17226 | -1102.4 -3010.81
-37.032 -25.8087 | -0.585781 -1.53893 | -2294.43 -1818.72
-36.6644 -25.4787 | 0.921535 -3.40446 | 901.229 -1215.12
-36.2921 -25.1543 | 0.502596 -4.23054 | 619.055 2728.44
-35.917 -24.8305 | -0.791866 -4.09084 | -697.86 3219.07
-35.5383 -24.5085 | -1.35655 -2.97001 | 2574.69 -655.696
-35.1476 -24.1978 | -2.66861 -0.751343 | 4872.13 818.499
-34.7417 -23.9007 | -3.62089 -0.0527653 | 1120.37 5346.52
-34.3249 -23.6133 | -2.47284 -1.71851 | 610.829 -1019.04
-33.8948 -23.3453 | -1.10871 -2.94041 | 935.045 -3298
-33.4508 -23.1024 | 0.232016 -3.02243 | -1356.34 1208.08
-32.9974 -22.8788 | 1.09131 -2.36696 | -1658.47 1329.69
-32.5361 -22.6752 | 1.3638 -2.99164 | -2116.74 -964.45
-32.0656 -22.4996 | 1.20143 -4.83613 | -2612.24 -1795.65
-31.5859 -22.36 | -0.148925 -3.04767 | 281.232 -2519.1
-31.097 -22.2603 | 0.0287864 -1.08725 | 311.705 1736.49
-30.6018 -22.1938 | 1.43097 -1.78571 | 1154.21 1211.04
-30.1021 -22.1596 | 2.59486 -1.82798 | 2952.66 776.338
-29.5992 -22.1608 | 3.15132 -1.77687 | -527.497 -2845.73
-29.0981 -22.2026 | 1.97976 -1.51617 | -1172.45 651.136
-28.602 -22.2793 | 0.0967248 -1.73428 | 507.718 2125.53
-28.112 -22.3872 | -1.19191 -2.80994 | -1000.3 -2500.31
-27.6321 -22.5313 | -1.22015 -2.59736 | -2487.25 -3247.91
-27.1638 -22.7056 | -1.03489 -2.44669 | -4176.8 2887.55
-26.7034 -22.8896 | -2.06073 -1.91923 | -1509.52 3952.12
-26.2435 -23.0688 | -1.87099 0.214941 | 2809.3 -2025.32
-25.7784 -23.2416 | -0.271203 1.3252 | 4791.33 -524.831
-25.3048 -23.4019 | 0.290223 0.580208 | 2742.86 1549.81
-24.8246 -23.5469 | 0.0316991 -0.746318 | -4611.44 -240.599
-24.3448 -23.6815 | -0.156241 -1.21815 | -4625.32 -1205.02
-23.8659 -23.807 | 0.831833 -0.699467 | 255.99 1634.42
-23.3837 -23.9162 | 2.24761 -0.708874 | 448.923 -373.25
-22.8977 -24.0089 | 1.80042 -2.92691 | 209.951 -2891.93
-22.4083 -24.0847 | 1.30039 -3.655 | -172.768 345.75
-21.9154 -24.1329 | 1.78547 -1.1706 | 585.411 2877.79
-21.4197 -24.1458 | 1.71747 -0.419303 | 2351.85 -2899.14
-20.9225 -24.129 | 1.08202 -1.73621 | -552.002 793.78
-20.4275 -24.078 | -0.160131 -2.21272 | 807.536 3836.94
-19.9362 -23.9929 | -1.87969 -0.0405128 | 833.912 -3134.15
-19.4483 -23.8896 | -3.21266 2.05914 | -129.85 -3502.77
-18.9645 -23.7722 | -3.03929 1.92014 | -1685.84 478.872
-18.4888 -23.6322 | -2.1905 2.50784 | -6732.71 -856.97
-18.0266 -23.4673 | -2.04919 4.00469 | -2011.73 -117.388
-17.5748 -23.2796 | -1.23169 4.38711 | 4549.38 278.608
-17.1273 -23.0748 | 0.204645 3.85663 | 2871.78 -637.114
