-6.34869 87.306 | 0.762277 -0.195889 | 3828.77 2150.64
-5.86302 87.1829 | -0.508375 -0.963534 | -1795.4 298.182
-5.36989 87.0944 | -1.91794 -0.201761 | 7109.76 -1480.32
-4.86635 87.0391 | -1.6028 -1.68602 | 7789.88 1762.64
-4.35606 87.0196 | -1.59886 -2.62975 | -17004.9 -1285
-3.85725 87.0303 | -1.69405 -3.39066 | -7005.07 -1967.46
-3.36661 87.0709 | -1.49149 -3.02872 | 2673.04 151.717
-2.87955 87.1467 | -0.728866 -0.541698 | -1182.35 5318.84
-2.40003 87.2603 | 1.04862 -0.951341 | 448.125 -6165.62
-1.9259 87.39 | 1.01786 -0.194348 | -5991.6 -952.362
-1.45973 87.5363 | 0.488367 0.685531 | 10532 407.37
-0.990984 87.6987 | 1.78627 1.95597 | 10718.8 306.11
-0.522821 87.8835 | 0.921454 4.2664 | -8912.99 3675.41
-0.0747875 88.1046 | -2.25468 5.87983 | 401.08 -3549.68
0.355493 88.3542 | -1.10677 1.12329 | -8538.04 2786.83
0.762116 88.6343 | 0.0832395 -3.15401 | 6414.24 -2679.56
1.16274 88.9273 | -0.625662 -3.0349 | 2326.06 5251.71
1.55896 89.2324 | -2.06086 0.473614 | -630.959 -821.207
1.9554 89.5363 | -0.206902 -2.02449 | -668.529 -4807.79
2.35773 89.828 | 1.11725 -2.3543 | -4066.26 -466.127
2.76553 90.1093 | 0.923198 0.0829818 | 8366.12 5120.13
3.18925 90.3805 | 2.90671 -0.152535 | 12990.4 116.512
3.63117 90.6383 | 3.53629 2.08492 | -6769.22 6813.71
4.07149 90.8961 | 2.01152 2.27294 | -5086.09 -9370.4
4.51249 91.1382 | 0.342722 0.932566 | -7007.51 -1229.4
4.95186 91.3724 | -1.56218 1.91753 | 2454.74 8029.92
5.39751 91.6013 | -2.31575 1.44599 | 3623.94 -6541.19
5.85721 91.8011 | -1.22341 1.35365 | -8301.27 4767.61
6.32362 91.9741 | 1.34222 0.655757 | 7276.94 -5851.73
6.8071 92.0981 | 5.02908 -0.537898 | -9672.04 -5242.41
7.29345 92.177 | 4.91409 -1.88456 | 594.342 6290.43
7.78364 92.2335 | 0.35767 1.16951 | 6717.31 3409.22
8.28057 92.2668 | -1.30901 -0.96316 | -3014.44 -2290.79
8.77755 92.2655 | -1.01833 -4.6753 | 3337.47 232.03
9.27488 92.2291 | -0.37352 -0.105191 | -4960.55 -1555.19
9.76627 92.1572 | 1.96107 -2.05637 | 6393.34 -645.241
10.2581 92.0573 | 3.18023 -2.25625 | 10949.4 147.444
10.7525 91.9365 | 2.66728 -0.714997 | -9572.88 -2609.96
11.2363 91.7947 | 2.59588 0.180607 | 2168.61 6831.54
11.7167 91.6471 | 1.63724 1.8566 | -7798.18 2365.42
12.1857 91.4834 | -0.0856104 0.407981 | -2484.73 -6937.76
12.6447 91.2911 | 0.552519 0.557339 | 15777.5 558.989
13.1087 91.085 | 1.23458 1.65302 | -437.889 -3872.55
13.5673 90.8611 | 1.41579 0.616688 | 2073.93 -3918.28
14.0208 90.6257 | 1.781 -0.598943 | -16690.5 8267.82
14.4635 90.3982 | 2.89762 0.116978 | -5718.71 7195.33
14.9087 90.1893 | 3.75429 -1.70748 | 14077.3 -10790.1
15.3706 89.9912 | 1.87708 -1.40552 | 1464.75 2916.79
15.8461 89.8211 | -0.114739 1.05484 | 2918.31 -2534.02
16.3342 89.6823 | 1.62183 0.608339 | -950.039 5056.87
16.831 89.586 | 5.41448 -0.734212 | -5816.72 -83.3802
17.3301 89.5262 | 5.3255 -1.8278 | 8693.55 -3087.82
17.8359 89.5001 | 1.10923 -2.46371 | -14567.3 5751.75
18.333 89.5162 | 0.727629 -2.56331 | -401.609 -3323.56
