-5.80463 -48.027 | 0.456267 0.501987 | 5445.42 -101.606
-5.36446 -47.7951 | -3.36607 -0.175014 | 2306.24 1914.21
-4.92442 -47.5571 | -2.30602 -2.70948 | 993.362 2285.42
-4.48654 -47.3123 | 0.311113 0.0980878 | -1247.45 -5297.2
-4.05196 -47.0669 | -1.04416 4.42203 | -5241.29 3018.63
-3.62574 -46.811 | 0.383302 2.68579 | 4635 -582.574
-3.19852 -46.5509 | 1.10051 2.20129 | 6639.18 6891.06
-2.76878 -46.2841 | 2.49762 1.54019 | -8605.19 -2433.3
-2.34254 -46.0237 | 1.87796 0.687422 | -8805.5 -12022.6
-1.91364 -45.7863 | -1.70087 2.02281 | 5258.26 8163.47
-1.47344 -45.5581 | -2.41822 0.486666 | 10943.8 4715.51
-1.01505 -45.3477 | 2.72864 -2.97933 | -3660.47 -1134.3
-0.545787 -45.167 | 2.95606 -0.913374 | -2114.87 -1555.53
-0.0650751 -45.0261 | 2.35159 -0.814828 | 2403.09 -4275.87
0.427472 -44.932 | 0.665556 1.39887 | -855.248 1588.83
0.924698 -44.8737 | -0.692255 4.06758 | -5962.08 549.05
1.42056 -44.8461 | 0.351269 1.25678 | -905.986 3244.5
1.91735 -44.8466 | 0.628258 2.29222 | 13919 -3082.18
2.42099 -44.885 | 1.58523 3.94623 | -9693.91 5096.84
2.9144 -44.9595 | 2.01755 -1.89375 | -6264.97 -3973.52
3.39409 -45.0841 | 1.76427 -1.37777 | 10454.3 -7604.5
3.86818 -45.2534 | -0.872282 2.36492 | 2202.96 9547.99
4.33534 -45.4408 | -3.25647 2.70374 | -6435.27 -979.965
4.78635 -45.6572 | -0.446322 0.419465 | 4635.28 -5136.77
5.22559 -45.9043 | 0.407045 -2.61885 | 621.042 2441.73
5.65276 -46.1708 | -1.77196 -2.11644 | -4152.96 2678.25
6.06403 -46.4541 | -2.50141 -0.074863 | -4703.05 2026.87
6.45898 -46.7537 | -1.21323 0.108472 | 2526.5 -3331.72
6.84468 -47.0684 | -0.00546933 -0.893001 | 3527.94 4435.94
7.22522 -47.3882 | -0.279011 -0.290363 | -9251.28 443.45
7.58907 -47.7196 | -1.48564 -0.492316 | -2383.94 -3899.35
7.94743 -48.0569 | 3.07169 2.2675 | 5973.45 4971.25
