-5.28933 15.2074 | 0.227707 1.44535 | 5693.14 3125
-18.503 72.073 | 0.482849 -3.25374 | 2905.13 4001.26
-18.082 72.3634 | -0.226231 -1.33437 | -3807.39 -6648.59
-17.6513 72.6305 | -1.60742 0.727042 | -1784.05 -5561.81
-17.2104 72.8724 | -2.84529 2.73314 | -1280.63 3939.29
-16.7638 73.1012 | -1.10846 3.096 | -5624.97 -5176.56
-16.3146 73.3119 | 1.58282 2.09984 | -3761.13 636.167
-15.8635 73.5111 | 2.38464 1.44082 | -323.869 3379.71
-15.4073 73.699 | 0.964015 1.74001 | 2171.46 -5593.89
-14.9418 73.8626 | -0.874837 2.2204 | -2379.5 4799.3
-14.4726 74.0135 | -0.760054 -1.2738 | -802.408 2396.28
-13.9969 74.1449 | -0.279385 -3.10841 | 5738.13 -4674.89
-13.5093 74.2417 | -0.136465 -0.217917 | 4489.33 2535.19
-13.0136 74.3128 | 0.326996 -0.0274847 | -2539.98 3795.21
-12.5165 74.3606 | -0.468797 3.09226 | -3774.87 -7199.62
-12.0203 74.3726 | -1.14091 2.5186 | 537.773 1007
-11.5239 74.3652 | -0.969933 1.47779 | 1014.61 7213.84
-11.0271 74.3518 | -1.09032 3.64054 | -644.291 -1989.91
-10.5312 74.3171 | -2.39931 4.64234 | 3873.54 -1101.82
-10.0346 74.2547 | -2.20212 2.88767 | 6866.66 -2923.29
-9.53783 74.1614 | -0.381768 -0.338173 | -3395.8 -3158.78
-9.04793 74.0422 | 0.727441 -1.9234 | -3363.25 4435.33
-8.56332 73.9146 | -0.839816 -2.38532 | 1806.95 2445.17
-8.08059 73.781 | -2.09612 -1.69081 | -5604.31 -10265.3
-7.60405 73.6338 | -2.59657 -3.11231 | -2108.86 8042.45
-7.12445 73.5089 | -2.94314 -4.69239 | 1371.89 1128.61
-6.63794 73.4129 | -2.14323 -3.68032 | -436.638 -6915.39
-6.146 73.3467 | -0.420945 -1.85869 | 2132.42 10235
-5.64851 73.3373 | 0.0246467 0.586873 | 1344.64 -396.914
-5.15029 73.3683 | 0.148484 1.658 | 1705.9 -6880.95
-4.65327 73.4239 | -0.327833 1.61151 | -452.253 -1538.31
-4.16231 73.5152 | 0.146823 2.191 | -3034.15 4890.49
-3.68529 73.6577 | 2.87372 1.06982 | 182.715 214.105
-3.22438 73.8442 | 2.97953 0.474802 | -1867.99 -8945.76
-2.78323 74.0641 | 0.653006 -0.287774 | -6716.41 2840.83
-2.37324 74.3327 | -0.949522 -0.882063 | 8062.02 4665.41
-1.9869 74.6448 | 1.50633 -2.74146 | 3713.46 1165.32
-1.62506 74.9895 | 2.1363 -3.3319 | -4782.72 -643.678
-1.29184 75.3592 | -0.0462789 -3.41831 | 1100.26 -3791.46
-0.976258 75.7424 | 0.593943 -4.58002 | 199.051 4172.44
-0.673592 76.1396 | -0.149031 -3.46999 | 7340.85 4887.35
-0.371558 76.5447 | -0.833234 -1.88452 | 886.359 -3717.41
-0.0724336 76.9506 | 0.345711 -1.50663 | -3605.52 -2564.78
0.215518 77.361 | -1.11165 -0.743244 | -4137.84 5212.68
0.491571 77.7806 | -1.97611 -0.148454 | 1198.34 -436.084
0.773679 78.1966 | 0.242474 -0.273293 | 4911.81 -1754.73
1.07602 78.5991 | 0.731382 -0.00148152 | -2019.88 -1206.64
1.39497 78.9866 | 1.83945 1.47468 | -1470.83 -1657.56
1.73137 79.3577 | 4.21091 0.185404 | 3458.32 3079.33
2.08897 79.7137 | 3.92131 -1.43853 | 3773.46 2570.19
2.4679 80.0534 | 3.81209 -2.58473 | 3503.91 5059.68
2.8664 80.3765 | 2.84825 -3.58314 | -6262.54 -1199.52
3.28174 80.6716 | 0.464347 -0.447235 | 1576.18 -6176.55
3.72463 80.9207 | -1.36228 2.11332 | 7612.2 3998.62
4.19543 81.1242 | -0.957438 3.20047 | -5642.25 -4730.3
4.68175 81.2717 | -0.140876 4.43335 | -6111.14 -5932.36
5.17643 81.3621 | -1.29972 -0.0751289 | 1416.17 8665.14
5.67746 81.4116 | -1.07577 -0.609552 | -546.432 -2117.03
6.17937 81.4018 | -0.856246 0.0318016 | -4743.21 -4191.67
6.67091 81.3229 | -1.76387 0.301624 | -9608.14 -3135.71
7.14335 81.1851 | -1.48049 0.290694 | 4950.71 5323.37
7.60787 81.0185 | -0.584972 0.155504 | 1392.82 2495.24
8.06454 80.8316 | 0.627108 -2.06991 | -7447.4 -1991.17
8.50882 80.6246 | -0.0358853 -3.91315 | 9211.83 3225.33
8.9556 80.412 | -1.72759 -3.90561 | 3690.28 -1436.76
9.40028 80.1879 | -1.20502 -3.41372 | -1648.17 3142
9.8347 79.9477 | 0.73297 -1.91938 | -1132.7 -3088.86
10.2515 79.6783 | 0.99538 -3.9095 | -2565.01 -2327.12
10.6481 79.3805 | -0.838447 -4.91824 | 2067.71 245.352
11.0327 79.0656 | -1.27122 -1.44975 | -527.089 1767.98
11.4094 78.7416 | 0.608214 -0.279567 | 3124.02 -4318.14
