-9.91161 60.2194 | -1.67555 0.0590784 | -6295.44 -3330.04
-9.41596 60.2523 | -1.12654 3.63821 | 13.2351 -1562.57
-8.92461 60.32 | 1.36158 1.02526 | -233.789 8112.86
-8.44194 60.4389 | 3.20971 -2.11394 | 2268.9 1677.16
-7.96668 60.5917 | 3.16096 -1.67132 | 3092.32 -7610.68
-7.49533 60.7562 | 3.78989 -2.7076 | -6856.38 -1685.96
-7.03552 60.9396 | 4.45424 0.0948593 | 6113.26 -2547.66
-6.58375 61.1492 | 3.05345 0.178196 | 2264.74 6469.74
-6.15149 61.4053 | -0.333101 0.0129327 | -2027.25 12551.4
-5.74469 61.7094 | 2.09653 0.715196 | 13490 -1347.35
-5.34179 62.0274 | 1.73413 1.91632 | -16814.5 -10354.1
-4.95567 62.3451 | -0.474477 0.492978 | -3783.55 -7036.93
-4.57266 62.6563 | -1.01065 -1.77186 | 7138.83 4014.48
-4.18435 62.9671 | -0.327283 -1.37229 | -6174.91 -369.505
-3.79913 63.2771 | 0.870387 1.65922 | 141.373 -3027.54
-3.40967 63.5797 | 0.441771 1.3064 | 471.446 2618.95
-3.01356 63.8774 | -0.194812 -0.778921 | 9626.7 1447.07
-2.60335 64.168 | -0.438442 -0.279201 | 4053.44 10671.7
-2.18712 64.46 | 1.69804 -1.33243 | -14136.2 -8165.32
-1.77054 64.7328 | 1.588 -0.500568 | -745.821 -3953.04
-1.33829 64.9743 | -1.14211 -0.540874 | 9992.71 -1999.67
-0.883157 65.1826 | 0.377751 -4.4897 | -3251.67 10567.3
-0.419025 65.3744 | 0.0129407 1.83513 | 722.909 -3389.67
0.0585765 65.5267 | -1.08147 2.91435 | -5584.52 -1994.77
0.545999 65.6291 | 0.307642 0.164086 | 8945.48 -1455.44
1.0477 65.6755 | -0.423203 1.82949 | 4066.73 3144.67
1.55463 65.6694 | 0.719121 2.74379 | -7450.97 -10327
2.05332 65.6019 | 3.24087 2.85167 | 1456.47 7088.58
2.54652 65.5048 | 1.52299 -0.0279556 | -1192.53 8084.4
3.03137 65.3819 | -0.0760293 -0.755345 | -5042.18 -7788.7
3.49851 65.2076 | -2.34643 -1.54907 | 6908.71 2706.31
3.9517 64.9903 | 0.522572 2.05219 | -737.731 -10808.4
4.38184 64.7222 | 2.91047 0.170541 | 5195.16 2767.74
4.79846 64.4283 | -0.177473 -0.821014 | 4365.97 358.269
5.20156 64.1144 | -1.4676 0.192958 | -16338.6 2619.65
5.57671 63.7815 | -1.14216 -1.29499 | 5557.02 6672.78
5.94594 63.4432 | 3.1488 -0.260369 | 5051.93 -10516.6
