67.9313 -67.5708 | -0.573724 5.55998 | -2357.96 -2839.25
68.4053 -67.428 | -0.426788 5.66965 | -2116.29 -7395.08
68.8726 -67.2754 | -0.403333 4.07969 | -1558.05 -312.452
69.3297 -67.0979 | -0.843784 3.31567 | 1717.48 3120.05
69.7733 -66.8837 | -0.358802 1.80858 | 3599.02 3493.93
70.2021 -66.6328 | 0.986532 -0.118343 | 4518.51 -470.918
70.6169 -66.3533 | 1.99324 -1.24822 | 589.844 1329.06
71.0129 -66.0451 | 1.54359 -1.28193 | 1644.23 503.106
71.3885 -65.7101 | 0.806747 -1.33621 | 185.896 1977.86
71.7399 -65.3483 | 1.69078 -2.20838 | -2272.49 830.304
72.066 -64.9644 | 1.1611 -1.67054 | -522.751 -2024.93
72.3731 -64.5668 | -1.98543 0.589859 | -759.296 -2051.98


-38.1049 63.2919 | -1.65242 -0.803877 | 1585.63 -2161.3
-37.6628 63.0558 | -2.77832 1.10043 | -87.2407 2409.5
-37.2353 62.7964 | -3.43979 0.132429 | -648.672 4857.21
-36.8235 62.5171 | -1.80531 -0.318924 | -1811.25 -1859.28
-36.4342 62.2079 | -0.630336 0.61421 | 329.329 -3369.37
-36.0685 61.8691 | 0.790683 3.35543 | 187.83 925.679
-35.7225 61.5108 | 3.56099 5.53109 | -681.802 5094.48
-35.3932 61.1409 | 3.58663 4.07343 | -336.392 203.497
-35.0817 60.756 | 2.82372 3.31703 | 1514.21 -6443.12
-34.787 60.352 | 1.97281 4.20289 | 1301.92 -6681.56
-34.5012 59.9353 | -0.577549 3.90545 | 5085.86 2697.33
-34.2095 59.5219 | -2.36619 2.79257 | -848.19 4019.72
-33.9147 59.1139 | -2.42222 1.93572 | -2646.6 1619.11
-33.6226 58.707 | -2.65486 0.292531 | -2203.96 -2097.76
-33.3341 58.2979 | -1.17343 0.433945 | -580.221 1851.93
-33.0411 57.8937 | 0.46879 1.45229 | 2512.46 3401.54
-32.7352 57.4998 | -1.04591 1.58691 | 4034.23 -3116.95
-32.4192 57.109 | -0.640987 4.27647 | 1805.86 -4575.48
-32.1023 56.7145 | 2.47472 7.2583 | -5062.13 -2342.27
-31.7919 56.3155 | 2.03717 5.82516 | -3563.57 -267.203
-31.4772 55.9214 | 0.645744 3.86103 | 5307.65 3385.8
-31.1377 55.5481 | 0.27763 3.29456 | 2399.85 2370.47
-30.7739 55.199 | -0.197172 3.2833 | -5099.2 -767.433
-30.3966 54.8688 | -0.206679 3.41183 | -4604.42 1680.66
-30.0047 54.5624 | -1.00631 3.65408 | -296.296 3033.71
-29.5918 54.2883 | -2.1656 3.28083 | 942.122 -2287.4
-29.158 54.0463 | -0.849252 3.74285 | 1848.26 -281.454
-28.7044 53.8415 | -0.206121 3.71655 | -1536.11 2592.13
-28.2367 53.6767 | -0.898843 1.47607 | -5020.05 -3681.47
-27.7621 53.5448 | -1.02606 -0.773293 | -2394 254.154
-27.2801 53.4552 | -0.0497884 0.366695 | 658.65 4293.21
-26.7915 53.4148 | 1.07726 2.98217 | 1924.57 -1068.8
-26.2991 53.4092 | 1.1474 4.27842 | 4737.72 -4848.66
-25.8028 53.4247 | 1.04314 3.99222 | 3643.49 2560.45
-25.3048 53.4657 | 0.715799 1.53943 | -959.825 -1813.03
-24.8093 53.5265 | -0.786844 -0.98494 | -359.849 -1750.6
-24.317 53.6071 | -1.96284 -0.13989 | -437.068 7081.82
-23.8288 53.714 | -1.64445 -0.663563 | 2160.36 -1876.17
-23.3399 53.8254 | -0.485454 -2.46439 | 3514.03 -1546.13
-22.8466 53.9291 | -0.238708 -1.39951 | 232.767 3213.33
-22.3498 54.0209 | -1.21173 0.647711 | 1354.2 -3273.15
-21.8477 54.0841 | -1.32202 0.780704 | 2375.28 -371.82
-21.3408 54.1147 | -1.27482 1.05126 | 226.02 767.889
-20.8329 54.1092 | -1.2136 1.23259 | -3453.87 -4773.55
-20.3298 54.0598 | -0.575382 0.0147458 | -2466.34 -1245.85
-19.8327 53.9764 | 0.514283 -1.09164 | 2312.67 3138.75
-19.3381 53.8739 | 2.21208 -0.582255 | 1429.46 -301.233
-18.8467 53.7533 | 2.67282 -0.0558309 | -1097.8 719.878
-18.361 53.6159 | 1.19065 -2.39583 | -3272.59 722.699
-17.8836 53.4613 | 1.02216 -3.38232 | -4630.12 1679.33
-17.4161 53.2904 | 2.23618 -2.36262 | -653.347 1005.92
-16.9558 53.1026 | 2.97649 -2.08941 | 4235.78 -2652.97
-16.5004 52.895 | 2.94706 -0.761105 | 1459.77 -1508.72
-16.0517 52.6702 | 2.57677 1.31146 | -2612.75 3182.69
-15.6115 52.4353 | 1.86552 2.17471 | -2984.42 4938.64
-15.1813 52.1905 | -0.181608 2.71397 | -1797.34 -1769.09
-14.7645 51.925 | -2.29441 3.10728 | 845.303 -3895.51
-14.36 51.6378 | -2.9504 3.22928 | 1486.25 2758.05
-13.9629 51.3402 | -2.65405 2.8775 | 1023.11 -607.799
-13.5722 51.0322 | -2.34456 1.16401 | 601.406 -4375.01
-13.1868 50.7137 | -3.09881 -0.100592 | 2910.54 2796.15
-12.8 50.3958 | -3.21946 1.20129 | 3214.47 4621.93
-12.4142 50.0768 | -1.114 2.85195 | -2226.76 -5178.86
-12.0452 49.7369 | 0.542112 2.38264 | 460.593 -4848.08
-11.6959 49.3734 | 1.33751 2.56681 | -2631.86 -482.368
-11.3643 48.9949 | 0.808478 3.24988 | -4804.15 1602.26
-11.0407 48.6135 | -1.64936 1.45569 | 2344.55 3425.53
-10.705 48.2449 | -1.61707 0.0947226 | -7.35388 3210.16
-10.3518 47.8959 | -1.777 -0.158908 | -5475.5 -1773.09
-9.98313 47.5671 | -2.48147 -0.0414774 | -628.079 -731.045
-9.58758 47.2719 | -0.818215 1.46222 | 5208.47 4662.72
-9.15671 47.0277 | 1.4434 2.03118 | 3669.38 -2141.51
-8.69986 46.827 | 2.17052 1.72547 | -239.392 -4061.34
-8.22759 46.6618 | 0.509436 0.510354 | -1770.53 2519.78
-7.74446 46.5367 | -1.22795 -2.29271 | 344.207 -801.875
