-5.87162 12.0564 | -0.0273435 2.70499 | -780.765 -348.841
94.7649 23.3496 | -1.42055 1.93309 | -4304.9 3571.63
94.9175 22.8675 | -0.263349 1.61542 | 7974.38 21372
95.0535 22.3941 | -0.457483 0.386256 | -9422.47 679.372
95.1475 21.9124 | 3.29629 -1.21188 | 4317.24 -23955.2
95.2125 21.4094 | 1.03245 1.8095 | 7219.4 1023.08
95.2553 20.9027 | -0.795632 1.96351 | -19899.6 8332.17
95.2539 20.3997 | 1.77888 -1.86548 | 16274 -1120.83
95.2634 19.8961 | -0.426874 -2.55185 | 1801.16 -5557.29
95.2738 19.3887 | 1.8431 -0.494661 | -12291.8 122.791
95.2685 18.8806 | 0.488618 2.93032 | 10652 -218.878
95.2787 18.3727 | 3.51131 3.07239 | -8202 2791.75
95.2941 17.8669 | 0.410448 -0.589187 | 308.62 89.7456
95.3366 17.3629 | 0.0485749 -1.51945 | 9334.53 -2506.42
95.4279 16.8626 | 1.81582 -2.69032 | -2954.81 -3178
95.5561 16.3685 | -3.5119 -0.268479 | 6671.19 4416.23
95.7242 15.8892 | -4.91591 1.35227 | -8800.78 9992.26
95.9079 15.4244 | -2.03966 -0.388868 | -279.289 -4319.46
96.1071 14.9636 | -3.52278 1.99882 | 6771.36 -8921.18
96.3273 14.5048 | 0.361126 2.83726 | -10541.3 3927.32
96.558 14.0566 | -1.66466 -0.67151 | 4142.7 6261.2
96.821 13.6303 | 1.95316 3.52164 | -335.164 -48.7845


-26.7226 44.8079 | 0.955889 3.54249 | 2678.3 3531.23
-26.4947 44.3658 | -1.52826 -0.941591 | -5695.67 1917.23
-26.3065 43.9082 | -0.986651 -1.52794 | -3979.09 -3043.27
-26.1516 43.4365 | 3.66083 0.636991 | 4418.62 -7910.79
-26.0033 42.9567 | 3.67867 2.21593 | 4815.86 6621.37
-25.8447 42.4828 | -0.0299112 0.609655 | 1736.7 3984.36
-25.6806 42.0123 | -3.52946 -2.15815 | -842.386 -9501.25
-25.5247 41.5324 | -1.52872 0.313959 | -1503.62 -6036.08
-25.3795 41.0447 | 1.76007 2.84526 | -5223.23 1260.31
-25.2369 40.5585 | 0.146773 -0.0472937 | 4838.02 11115.6
-25.0707 40.0868 | -1.7487 -2.37919 | -1924.88 -2578.31
-24.8817 39.6231 | -4.42965 -0.865368 | 2475.46 -2685.72
-24.6627 39.1706 | -4.38836 1.77612 | 2373.85 5183.69
-24.413 38.736 | -0.940709 1.69092 | 410.431 -3614.17
-24.1445 38.3109 | -2.22742 -0.984713 | -8202.89 -325.982
-23.8668 37.8947 | -2.2394 -0.587039 | 414.358 -1313.91
-23.5628 37.497 | 0.730799 1.81952 | 7478.67 3996.66
-23.2186 37.1337 | 2.57013 1.29727 | -11197.5 5462.28
-22.8515 36.8048 | 2.18272 1.00983 | 1424.99 -1061.64
-22.4573 36.508 | -0.856151 -1.60304 | 5137.49 -1815.9
-22.0367 36.2421 | -1.08247 -2.78832 | 206.921 -7157.8
-21.5981 36.0011 | 1.93781 -2.23677 | 459.295 6238.13
-21.1422 35.8014 | 1.93897 -2.86658 | -12997.5 5945.9
-20.6823 35.6371 | 0.615458 -2.76019 | 3559.47 -9776.29
-20.2131 35.4894 | 1.26554 -2.30078 | 7059.1 6860.05
-19.7309 35.3734 | 3.43006 0.755314 | -1564.1 -5921.15
-19.2443 35.2697 | 2.34275 -1.03609 | 6052.8 -6868.98
-18.7491 35.1802 | 1.49501 -2.21897 | 6136.25 14705.8
-18.2443 35.1297 | 0.948186 0.653374 | 3522.58 -8501.22
-17.7363 35.0832 | 0.946482 -0.119709 | -6545.38 -4845.08
-17.2332 35.0377 | -0.680716 -0.159703 | -10076.1 3264.84
-16.737 35.0111 | -1.64473 -1.51122 | -1953.66 6611.39
-16.2427 35.0108 | -1.16303 -0.218959 | 2725.18 -7622.79
-15.747 35.0173 | -0.046225 1.78265 | -134.91 6444.92
-15.2521 35.0412 | 1.42314 -0.732665 | -4705.93 1711.69
-14.7598 35.0667 | 0.16447 -0.431387 | 4041.35 -7083.17
-14.264 35.0709 | -1.27005 1.14608 | 7051.25 739.1
-13.7631 35.0602 | -2.24937 -1.84401 | -2483.49 7655.6
-13.2635 35.0387 | -2.6072 -1.102 | 1008.44 -6000.08
-12.7666 34.9804 | -1.40843 0.257406 | -3118.96 -4231.62
-12.2777 34.8839 | 0.0267305 -0.0079164 | -3386.44 10407
-11.797 34.7668 | 0.932002 1.18246 | 2413.47 -9122.69
-11.3254 34.6092 | 0.882834 1.82402 | -2242.52 3261.14
-10.8641 34.4272 | 0.415582 2.137 | 5894.85 5331.78
-10.4079 34.2258 | 2.15482 -0.618723 | 3729.6 -6738.95
-9.96625 33.9861 | 2.84936 -2.62741 | -5737.43 2747.09
-9.55059 33.7108 | 0.186183 -3.8633 | -2980.36 -586.212
-9.16258 33.401 | -0.505887 -2.13667 | 2733.8 5622.78
-8.79703 33.0654 | -0.97227 -1.17513 | 4701 -8854.44
-8.45994 32.6924 | 2.35373 -1.87534 | -6.73751 -3818.64
-8.15743 32.2881 | 0.568486 -3.78935 | 890 10812
-7.88929 31.8663 | -3.30376 -1.66209 | -3726.35 -6149.3
-7.67065 31.4151 | -0.977423 0.700364 | -1137.78 -3833.21
-7.49854 30.9415 | 0.851123 -1.667 | -4706.9 591.475
-7.3612 30.4573 | 1.24983 -1.92222 | 6581.34 418.072
-7.22852 29.9719 | 1.70396 -0.534504 | 216.487 8464.31
-7.09621 29.4919 | 2.37997 -0.982954 | -4231.54 -2497.23
-6.96639 29.011 | 2.67819 -1.63149 | 1974.36 -1508.22
-6.82405 28.5319 | -0.645756 1.07599 | 2833.78 -262.477
-6.66038 28.0575 | -3.92284 3.37839 | -1324.6 -10131.8
-6.47532 27.584 | -4.0698 0.979826 | 7128.05 1293.97
-6.25414 27.125 | -0.992146 -1.89637 | -3669.52 7385.54
-6.00713 26.6862 | -3.53919 -2.48839 | -6069.21 4360.07
-5.74019 26.2657 | -3.75135 1.13074 | 1590.37 -248.015
-5.44641 25.8631 | -1.35903 2.46295 | 2169.33 -4969.64
-5.12519 25.4779 | -1.03051 -0.525756 | -3522.72 2166.4
-4.7779 25.1197 | 1.40781 1.07981 | 583.612 4552.79
-4.40049 24.7977 | 1.9391 3.32681 | -669.26 7107.66
-4.00078 24.5091 | 2.27935 2.359 | -4053.62 -12446.3
-3.59308 24.2272 | 2.31587 -0.986455 | 7041.31 3248.33
-3.16664 23.9683 | 5.27095 0.364436 | -164.855 -340.775
-2.7295 23.7278 | 3.84026 0.807128 | -5893.11 -2963.04
-2.28838 23.5005 | 2.34321 -0.394917 | -2729 3668.31
-1.83686 23.2977 | 2.83064 -1.01981 | 14845.9 -7112.03
-1.36342 23.1182 | 2.44786 2.29687 | 5727.29 2548.8
-0.874664 22.9719 | 0.419652 1.20293 | -8785.5 6834.87
-0.384998 22.8539 | -0.0225834 -2.55995 | -3441.58 -9009.49
0.10326 22.739 | 0.650994 -3.5112 | -673.871 3091.62
0.594029 22.6398 | 0.896582 0.770923 | 3485.4 -2744.63
1.08973 22.5571 | -0.0331515 2.13192 | -4718.5 -4152.7
1.58578 22.5017 | 0.265572 1.47261 | -2516.2 18961.2
2.08239 22.5024 | -0.961103 0.951322 | 3029.95 -13769.7
2.58076 22.5116 | -1.95245 0.398599 | -598.208 -1451.98
3.07846 22.5367 | -0.919225 1.88074 | 1729.55 11189.4
3.57539 22.5906 | 0.197904 0.231849 | -1024.8 -5111.84
4.0709 22.6419 | 0.708869 1.47554 | -8773.15 -1682.77
4.56129 22.679 | 0.863063 2.73625 | -848.955 4974.68
5.05198 22.6957 | 0.906579 -1.67971 | 5622.57 -5843.76
5.54695 22.6671 | 3.03603 -2.04318 | 10875.6 830.558
6.04548 22.5939 | 3.52227 -1.01093 | -453.579 -2476.52
6.53465 22.471 | 0.424744 0.432088 | -9011.61 -528.973
7.00445 22.3031 | -1.90875 4.71491 | 1671.53 5591.37
7.4607 22.1033 | -4.34458 1.32328 | 1966.5 -4056.92
7.89984 21.8644 | -0.99171 1.0233 | -114.767 4182.73
8.31732 21.5931 | 0.992625 -0.149298 | -8894.31 1381.61
8.70242 21.2856 | 0.544101 0.496422 | 2653.75 -4815.19
9.06477 20.9464 | 3.10816 2.86221 | 14113.7 1014.37
9.417 20.5896 | 3.52085 1.70967 | -15804.8 6633.54
9.73083 20.2131 | 2.39456 -2.36915 | -4779.35 10865.8
10.0129 19.8239 | 2.37101 -3.05376 | 12611.9 -17666.8


17.5045 59.9802 | 1.25397 -4.56566 | -2785.42 5630.06
17.888 59.6668 | -0.633676 -4.52645 | 1435.33 -9369.42
18.2748 59.3507 | 1.82814 -1.78661 | -2992.13 6421.16
18.6717 59.0517 | 2.02412 -0.587631 | 8117.67 -2726.94
19.0879 58.7704 | -0.0883152 -1.54975 | -1347.38 -6277.22
19.5176 58.506 | -0.0229554 -0.857223 | 4934.14 10579
19.967 58.2781 | -0.882532 -3.11636 | -2362.81 875.405
20.4199 58.0661 | -0.299534 -3.44159 | -23250.1 -7616.01
20.8591 57.8502 | -0.475229 0.17519 | 19687.5 1464.01
21.3206 57.6608 | -0.956044 0.407737 | -954.785 2954.02
21.7931 57.5064 | -0.126107 1.30832 | -22063.5 231.543
22.2614 57.3837 | -2.53352 2.08776 | 15485.9 -3152.82
22.748 57.3008 | -4.2819 0.40131 | 8679.51 9294.47
23.2477 57.2679 | -1.72168 4.54383 | 3245.57 -8481.35
23.7512 57.2516 | 1.29327 1.80604 | -6478.92 -9576.87
24.2504 57.2508 | 1.76876 0.195962 | -8145.51 10373.1
24.7427 57.3019 | 0.227767 1.85048 | 15124.4 5059.6
25.2394 57.3979 | 0.267535 1.86296 | 6486.89 -4114.4
25.7359 57.5183 | 0.357924 3.13479 | -4948.75 1505.37
26.2232 57.6637 | -0.657216 6.76236 | -2352.32 611.433
26.7024 57.8273 | 0.222353 6.0359 | -2609.11 -1077.1
27.1767 57.9985 | -0.561436 1.12888 | 2722.2 -3649.26
27.6522 58.1685 | -2.54861 0.452418 | 1212.5 1490.58
28.1265 58.344 | -1.32772 1.8628 | -3683.28 4458.69
28.5956 58.5267 | -0.927008 1.68488 | -8936.2 -4560.54
29.0614 58.6976 | -1.1956 1.49007 | 96.9173 -3545.92
29.5339 58.8455 | -1.95159 0.950237 | 7253.24 1894.78
30.0176 58.9728 | -1.01267 1.0038 | -941.418 1859.93
30.5078 59.0803 | 0.649589 2.06 | 9159.31 -3199.84
31.0086 59.1626 | -1.41852 2.59894 | -1373.26 478.051
31.5107 59.231 | -3.1259 -1.93977 | -7146.4 3920.73
32.0078 59.2947 | -2.83338 -0.794685 | -7547.79 1174.32
32.5002 59.3449 | -1.34554 3.53607 | -1756.17 -4228.25
32.9929 59.3657 | -0.452965 4.87118 | 4763.97 -3091.6
33.4891 59.3588 | -2.99835 2.83589 | 925.078 6059.4
33.9862 59.3402 | -2.8426 1.65036 | 420.642 2324.44
34.4837 59.3023 | -2.57776 5.63416 | 10210 -3324.74
34.9837 59.2285 | -3.71034 4.53316 | -5863.83 698.483
35.4716 59.1136 | -4.59032 -0.913951 | -11381.1 -2806.96
35.9392 58.9532 | -3.45706 -0.418961 | 6351.85 1933.82
36.3982 58.7631 | -2.62495 -2.57333 | 1878.47 2297.35
36.8467 58.5482 | 0.0293906 -1.2238 | -7434.16 -2013.72
37.277 58.3054 | -0.736193 1.40368 | 3518.69 -1373.5
37.7015 58.0461 | -5.04419 1.45988 | 15058.5 1395.43
38.1317 57.7802 | -5.74908 2.44687 | -7779.48 -4785.45
38.5471 57.4957 | -1.6128 1.55807 | -7811.93 2198.22
38.9509 57.2043 | 3.31692 1.0455 | 6063.07 6612.54
39.36 56.9214 | 2.15155 2.39099 | -6414.84 -3725.91
39.765 56.6374 | -1.56824 1.7424 | -2464.92 4127.99
40.1735 56.3637 | -1.81757 1.3546 | 816.471 -2253.57
40.5924 56.1019 | 0.422405 5.60565 | 8241.41 -8932.12
41.0324 55.8568 | -2.82956 1.46452 | 17493.4 5040.17
41.5033 55.6503 | -1.65047 0.287145 | -3616.49 -1621.24
41.9836 55.468 | -0.259584 0.770302 | -7837.53 164.77
42.4651 55.3049 | -0.0649345 -1.13508 | 807.253 4319.02
42.9518 55.1635 | -1.68576 -2.32024 | -3193.19 -4670.56
43.4391 55.0316 | -2.09 -2.67669 | -1994.55 9061.01
43.9275 54.9178 | -0.48447 -3.1985 | -3540.53 -11326
44.4137 54.7975 | -0.980311 -0.807243 | 4445.08 -2492.32
44.9064 54.6917 | -0.252986 2.03247 | 204.18 9726.5
45.4054 54.6291 | 3.00911 2.19818 | -5520.66 -2781.57
45.9038 54.6002 | 1.78496 1.91235 | 724.775 -3320.81
46.4027 54.6078 | -1.00374 1.34395 | 630.41 -164.623
46.8982 54.6669 | -0.390311 1.80012 | -1317.41 7982.84
47.382 54.7918 | -0.483808 5.73922 | 2265.99 472.75
47.8539 54.9637 | 0.684926 5.76163 | 4244.37 -1142.03
48.3175 55.1656 | 0.244593 3.02634 | 5857.42 -1314.82
48.7735 55.3911 | -2.05963 3.26265 | -9267.87 4818.06
49.2102 55.6442 | -1.08285 1.31241 | -3667.72 -1258.38
49.6391 55.9036 | -0.553198 0.396708 | 7772.88 -14387.3
50.0767 56.147 | 0.604414 2.30745 | -5669.39 12896.8
50.5058 56.4082 | 1.60522 2.41266 | 3939.39 2225.55
50.9373 56.6723 | 1.14105 -1.092 | 5759.41 -4938.34
51.3787 56.923 | 0.737518 -3.5107 | -6078.59 1764
51.8207 57.166 | 1.50142 -5.32565 | -838.471 -6855
52.2669 57.3932 | 1.63909 -3.57148 | -5227.31 1850.38
52.7112 57.6169 | -0.505502 -1.14428 | -1661.84 802.442
53.1568 57.836 | -0.52058 -0.699009 | 4081.65 -1568.4
53.6103 58.0448 | 2.17186 1.34092 | 6505.35 3449.98
54.0711 58.2489 | 3.70675 2.92853 | -6908.12 3278.71
54.5306 58.448 | 2.50485 0.568644 | -3607.22 -8802.08
54.9946 58.6242 | 0.205939 0.65464 | 3764.53 8895.02
55.467 58.7884 | -1.87151 3.13844 | 2572.24 -8931.81
55.9493 58.9209 | -0.405271 0.872146 | -5070.3 5730.16
56.4335 59.0391 | 0.783421 0.556219 | 2200.98 4740.8
56.9248 59.1358 | 0.142861 2.08651 | 6540.27 -4635.17
57.4271 59.1872 | 0.0307866 -0.569135 | 886.138 -1226.76
57.9325 59.1898 | -0.84294 -0.673356 | -6731.1 4277.97
58.4308 59.1449 | -0.473072 -0.781965 | -1287.36 -4856.44
58.9182 59.0378 | 1.14352 -0.530505 | 564.857 -892.479
59.39 58.8751 | 0.542342 3.36406 | -981.511 4355.28
59.8416 58.6679 | -2.35725 2.26958 | -4302.77 46.356
60.2654 58.4152 | -2.81114 0.578171 | -1815.61 3865.13
60.6608 58.1242 | -1.48606 1.80778 | 1733.22 -6844.75
61.0289 57.7948 | -0.162597 3.31112 | -3008.04 4335.36
61.3765 57.4483 | 0.249976 2.82169 | -184.845 6154.51
61.7165 57.0977 | -1.78441 1.11038 | 7093.77 -7485.09
62.0567 56.7379 | -2.91287 0.0947112 | 2329.42 -742.076
62.3956 56.3748 | -3.26458 0.236588 | -7995.64 6115.59
62.7269 56.0134 | 0.572032 2.00622 | 7843.3 -8151.44


54.6405 -30.815 | -0.484708 3.04951 | 4853 2559.03
54.9196 -30.3945 | -0.2429 0.523154 | -5474.58 5068.87
55.2125 -29.9836 | -3.55785 2.89938 | 1415.74 -5958.8
55.5337 -29.601 | -0.142596 0.305842 | -11766.6 -14794.7
55.8776 -29.2579 | -1.51798 -2.21637 | -2008.57 -3602.87
56.2465 -28.9449 | 2.00234 1.96431 | 15534.5 22105.8
56.6426 -28.6403 | -3.34527 2.15337 | -9183.5 -12179.2
57.0544 -28.3689 | -3.88895 0.422751 | 1333.03 7799.27
57.4843 -28.1194 | 0.930126 -2.25664 | 11373.7 -2186.28
57.941 -27.9037 | 0.0962133 -5.54003 | 5566.76 16898.9
58.417 -27.7096 | -2.45284 0.366097 | 5128.7 -15314.2
58.9135 -27.5794 | -2.60877 -2.32551 | -17615 -4958.19
59.4088 -27.4999 | -3.20843 0.905793 | 3634.32 6469.92
59.9091 -27.4493 | -3.43894 -7.52456 | 985.85 -1844.29
60.4122 -27.4313 | -2.41343 -5.14482 | -1092.77 -2470.99
60.915 -27.4424 | 2.83043 -6.29918 | -14.8794 3064.78
61.4174 -27.4693 | 0.950294 -4.62885 | 1142.82 277.068
61.9208 -27.5114 | -1.96854 -6.89877 | 15538.4 -247.584
62.4302 -27.5697 | 1.9779 0.343 | -30182.2 -4383.48
62.9194 -27.6482 | 1.97553 -1.11818 | 12621.9 5046.13
63.4137 -27.7243 | -1.23634 -5.30048 | -1630.38 65.0554
63.9076 -27.7988 | -1.29107 2.58505 | -3093.43 2625.2
64.3988 -27.8725 | -1.4467 -0.750957 | -4768.34 -6351.08
64.8875 -27.9554 | -1.8505 -0.302235 | 16557 2855.04
65.388 -28.0306 | 0.000835306 -1.93527 | 6881.78 6241.6
65.8903 -28.0995 | -0.926146 4.42123 | -48019.1 -9861.36
66.3615 -28.1908 | 0.176716 -0.542084 | 34412.2 -364.85
66.8542 -28.2741 | -0.273677 -5.20289 | 9813.43 290.109
67.3589 -28.3308 | -1.82341 -1.51923 | -14918.1 -2266.82
67.8573 -28.3493 | 2.5983 0.164111 | -609.05 3382.94
68.3516 -28.3062 | 6.72292 -0.299742 | -3426.1 14743.9
68.8345 -28.1941 | 0.871766 -0.307588 | 5105.17 -27040.4
69.3133 -28.0676 | 2.456 2.47125 | -3347.18 22770
69.7737 -27.8748 | 0.841636 1.3461 | 13929.3 -739.468
70.2291 -27.6516 | -2.83843 1.26798 | -2226.24 -20481.1
70.6705 -27.4173 | -1.29421 -0.865985 | -15625 13977.8
71.0688 -27.1253 | 2.07132 -3.20826 | -2907.21 -5470.2
71.4381 -26.7998 | 0.508231 1.82886 | 14453.1 20065.6
71.8025 -26.4473 | -0.56781 -2.82816 | 2597.3 -16150.5
72.1754 -26.1121 | 0.813011 -3.23935 | -13493.5 -14385.8
72.5458 -25.7906 | -3.31903 -0.228627 | 19312.7 22823.9
72.9223 -25.4505 | -1.88792 -0.845397 | -13821.7 -3583.56
73.2861 -25.1073 | 3.90567 -0.115784 | -4412.76 -16292.4
73.6533 -24.7817 | -0.0189199 2.28442 | 9392.57 10315.5
74.0295 -24.4541 | 2.76338 -0.275158 | 19.5911 -2489.9
74.4065 -24.125 | 1.61043 0.151171 | 5080.15 12820.7
74.7807 -23.7809 | 4.35838 1.22385 | -2144.3 816.191
75.1521 -23.438 | 5.4613 6.02893 | -14879.4 -32365.4
75.5197 -23.1232 | 2.05132 0.971402 | 1221.13 18561.7
75.8778 -22.7899 | -7.05365 -2.84881 | -6712.32 4074.83
76.2335 -22.4533 | -9.8531 -1.80633 | 13117 -9241.64
76.6211 -22.1449 | -1.6206 -1.94113 | 22509.5 19312.9
77.0365 -21.844 | -0.42167 -2.1293 | -29602.7 -12136.1
77.4428 -21.5628 | 0.33574 0.528386 | -3558.24 -3790.78
77.8584 -21.3073 | 2.3792 3.66985 | 768.463 1809.94
78.2934 -21.0816 | 1.91429 0.687355 | 20066.9 6533.63
78.7594 -20.8914 | 0.923341 1.73 | -14059.7 2173.07
79.2346 -20.7442 | 2.8662 1.20146 | 10322 -17453.7
79.7292 -20.663 | 2.48675 -0.00270904 | -1378.29 22880.4
80.2278 -20.5965 | 2.94574 3.43732 | 1347.21 -17951.7
80.7291 -20.5827 | -0.676778 -5.0148 | -14277.9 5996.08
81.2204 -20.5874 | -2.17192 2.32385 | -7860.73 13108.6
81.7084 -20.6 | -3.67114 -4.50647 | 36747.7 -17816.7
82.2165 -20.6624 | 0.828396 3.72317 | -10195.1 5979.75
82.7151 -20.7519 | 6.86787 2.27179 | -19179 -2349.93
83.195 -20.8659 | 2.31166 0.814866 | -1749.35 3010.82
83.6737 -20.9817 | 1.13184 4.19147 | 29997.9 8583.44
84.1735 -21.089 | -0.0209185 1.55859 | -2426.85 -21705.7
84.6687 -21.228 | -2.71816 1.84848 | -13935.3 18240.1
85.1552 -21.3571 | 1.25249 -2.27163 | 3892.61 -12974.6
85.6421 -21.4953 | -3.07128 -5.09665 | 1796.4 7111.37
86.1339 -21.6134 | -1.02541 -3.98596 | -3179.31 3213.15
86.6264 -21.7091 | -1.73193 -7.36389 | -12035 -2636.66
87.1121 -21.7894 | -5.54901 -1.56227 | -11428.7 2640.28
87.594 -21.8446 | -1.49199 -2.60755 | 21997.9 -7267.31
88.0911 -21.8735 | -1.45221 0.469443 | -11823.3 14172
88.5836 -21.8521 | -3.17513 -2.60972 | 8030.67 -8853.48
89.0802 -21.8157 | -1.81484 -1.68576 | 5904.4 3260.91
89.578 -21.7637 | 4.70484 2.25648 | -21898.2 -4263.41
90.0625 -21.7091 | 0.892847 -0.0379243 | 16111.2 -1081.82
90.5564 -21.6534 | 1.56781 6.03555 | 7496.76 -3016.77
91.0552 -21.589 | -0.0242164 2.0238 | -3297.19 1817.94
91.5459 -21.4951 | -0.804557 4.68073 | -20613.5 -1735.29
92.0136 -21.3622 | -1.6559 -0.10988 | 7897.24 6793.09
92.4737 -21.1893 | -3.55181 4.55062 | 11301.9 -12218.9
92.9322 -20.9983 | -3.47024 -3.21463 | -3099.36 13895.4
93.3701 -20.756 | -0.612585 0.854693 | 5126.94 953.567
93.7931 -20.4808 | -2.08267 4.3035 | 3939.14 -3854.16
94.2027 -20.1852 | 0.850255 4.5277 | -11379.5 966.48
94.587 -19.8649 | 5.64576 1.67941 | 7914.66 -504.734
94.9643 -19.531 | -3.53739 -4.04519 | 2233.23 8655.43
95.333 -19.1821 | -1.35997 -3.97695 | -8186.99 -15718.1
95.6936 -18.8417 | 3.35594 -7.16562 | -6569.18 -2199.6
96.0464 -18.5018 | -1.31411 -2.06362 | 716.442 -1125.61
96.4004 -18.1629 | 1.12927 3.26288 | 4579.58 9104.26
96.7618 -17.8203 | 2.43226 2.74886 | 15866.4 5154.66
97.1415 -17.484 | 1.88814 3.07391 | -15180 -14825.5
97.5141 -17.1601 | 5.7608 3.55298 | -14734.7 6392.35
97.8744 -16.8304 | 5.8445 3.67757 | 19184.7 -104.547
98.2607 -16.5174 | 0.0394065 0.789488 | -1750.74 3130.79


9.24797 9.06569 | -0.541645 -6.26129 | -2993.62 -2042.54
9.68786 9.29373 | 1.30732 -3.60678 | -6284.75 1705.02
10.1395 9.48843 | 0.766309 -0.507279 | -818.85 -4115.75
10.6067 9.63717 | 0.0288042 -0.777855 | 3542.91 4481.33
11.0886 9.74506 | 0.171179 1.25291 | 6346.34 -3052.32
11.5832 9.80624 | 2.09563 2.06555 | 275.361 2582.23
12.0815 9.83285 | 3.05601 -1.96026 | -4869.44 2180.58
12.577 9.82874 | 2.06415 -3.44827 | -3043.1 -3371.71
13.0689 9.7902 | 0.758975 -2.88483 | 1973.33 -1931.99
13.5607 9.72908 | 0.502735 -4.5508 | 9658.46 6668.43
14.0589 9.66494 | 1.38327 -3.78815 | 3926.9 1336.34
14.558 9.58772 | 0.913975 0.318579 | -8015.36 -8081.22
15.0473 9.48094 | -1.02485 0.809144 | -2257.16 5938.96
15.5312 9.36317 | -1.31437 0.0682529 | 3939.5 -1191.34
16.0132 9.23167 | -0.204228 1.11591 | -6729.1 -2573.83
16.4872 9.08697 | -1.00744 -0.435534 | -2302.33 5397.68
16.9594 8.94451 | -2.59359 -0.356482 | 4453.04 -4394.53
17.4355 8.80085 | -2.78463 0.120131 | 7106.05 -1948.26
17.9194 8.66543 | -1.44771 -0.292974 | -2567.24 2809.77
18.4062 8.54946 | -0.109526 2.09156 | -7240.3 379.919
18.892 8.45478 | -1.18692 3.94969 | -1194.53 4593.21
19.3801 8.38557 | -2.19205 3.55355 | 1570.08 -3445.51
19.8707 8.32754 | -2.04891 0.305466 | -39.8261 -6926.42
20.3635 8.27858 | -0.347647 -1.27063 | 4304.52 5210.26
20.8611 8.26317 | -0.499469 -0.11138 | -1800.59 -5267.01
21.3573 8.28267 | -1.19171 1.82097 | -1511.64 1106.86
21.8469 8.35757 | -0.668054 0.983337 | 1975.54 4512.74
22.323 8.50039 | 0.831762 -0.123469 | 712.369 -21.4449
22.7778 8.70375 | 1.23777 -0.0431521 | -1746.94 5011.36
23.2065 8.9596 | -0.592563 0.500594 | 974.94 -3297.68
23.6183 9.24142 | -2.16529 1.41793 | 3168.28 -5536.38
24.0208 9.53607 | -0.304626 1.21599 | 523.648 4552.89
24.409 9.85183 | 2.8236 2.08212 | -4249.91 -3115.48
24.781 10.1818 | 3.37138 2.64367 | 3298.57 -1626.06
25.143 10.5232 | 2.71481 2.40409 | 2248.35 -1443.89
25.4899 10.8802 | 2.09379 3.0995 | -5626.72 2128.7
25.8078 11.2625 | 1.19756 2.12468 | 4833.56 7933.07
26.1048 11.6683 | 0.438221 0.578952 | 2335.08 -5472.98
26.3846 12.0833 | -0.131062 1.19493 | -9972.47 -5625.54
26.6363 12.5073 | -1.55374 2.30325 | -5627.85 3006.7
26.8743 12.9379 | -1.27425 1.2917 | 7510.2 -3628.82
27.1336 13.3559 | -0.714081 -0.52823 | 5765.1 -4349.9
27.4177 13.7574 | -0.784963 0.300937 | -10654.2 6210.69
27.705 14.1565 | -0.250428 1.06649 | 3474.72 2931.78
28.0157 14.5425 | 0.289411 -1.11267 | 9534.08 3589.26
28.3634 14.9043 | 0.386979 -1.67029 | -3524.49 -1968.15
28.7382 15.235 | 0.0255155 -2.35292 | -2016.95 -4180.53
29.1374 15.5305 | 0.0598552 -3.34241 | -442.402 -286.628
29.5562 15.7964 | 0.979953 -1.63513 | -1725.91 1900.55
29.9894 16.0397 | 1.69859 -0.792282 | 10847.3 894.184
30.4415 16.2619 | 3.29594 -0.484394 | -1026.62 2255.99
30.8994 16.4737 | 2.63262 -1.11234 | -3044.92 211.276
31.358 16.6787 | -0.443159 -0.111282 | -2876.64 -407.748
31.8167 16.8772 | 0.356034 -1.78372 | -3965.85 -235.946
32.2769 17.0673 | 1.18366 -0.508978 | 6506.92 5642.15
32.7483 17.245 | 2.65949 0.198389 | 4366.58 66.717
33.2343 17.3914 | 3.01815 -2.35211 | 3550.21 -7728.26
33.7338 17.4914 | 0.512974 -1.77134 | 380.503 2694.86
34.239 17.5603 | 0.759628 1.66092 | -4138.09 -2145.82
34.7444 17.6017 | 1.26481 1.20432 | 815.027 1722.21
35.2512 17.6254 | 1.04826 1.03783 | 513.39 6176.95
35.7589 17.6337 | 0.545843 1.63679 | -570.697 -6751.69
36.2657 17.6034 | 0.442459 3.22145 | 5694.78 -4663.46
36.7723 17.5366 | 3.32341 2.87652 | -8681.09 -908.193
37.2703 17.4501 | 3.6507 1.20272 | -4439.69 2627.23
37.7647 17.3664 | 2.66781 2.05212 | 2649.71 312.772
38.2629 17.3002 | 1.20297 0.384832 | 1764.27 5068.64
38.7651 17.2645 | -0.107334 -1.99486 | 127.545 307.716
39.2676 17.2523 | 1.78727 -0.275678 | -10264.3 -8108.65
39.7631 17.2558 | 2.05916 -0.627738 | -159.494 -369.062
40.2556 17.2989 | 0.0636356 -1.73211 | 4860.83 7417.8
40.743 17.4053 | -2.46061 -0.437091 | 4755.42 1255.91
41.2198 17.5691 | -3.07355 -0.091963 | 6331.29 1885.02
41.6818 17.7847 | -0.953468 0.0462204 | -373.291 3413.86
42.1195 18.0492 | -0.988908 -0.225805 | -2978.71 -431.753
42.5292 18.3518 | -1.53625 -0.0135125 | -4892.06 -3246.63
42.9115 18.6809 | -0.0795096 -0.129502 | -318.925 -6963.83
43.2717 19.0278 | -0.189601 0.857697 | -3348.8 2632.7
43.6033 19.3996 | 1.08187 0.118077 | -1632.56 -7360.21
