-6.48323 80.7067 | -2.86018 -2.2493 | 8937.27 -1959.6
-5.98338 80.6992 | 3.22603 3.40082 | 17051.7 -6935.06
-5.47368 80.6834 | 0.846589 0.182765 | -26469.4 4031.77
-4.97877 80.6774 | 3.58676 2.34217 | 12217.1 -2331.12
-4.47789 80.6843 | -2.43862 -2.19397 | 5151.59 -7177.74
-3.97578 80.7167 | -2.96041 -0.874377 | -21128.2 11171
-3.49177 80.8152 | -3.38968 -1.00853 | 36581.2 10071.3
-2.99919 80.9701 | -1.57388 -2.3057 | -16366.6 -13589.2
-2.52996 81.1553 | 3.8176 -2.11652 | -20581.8 -4280.04
-2.09576 81.3829 | -4.31824 -0.0539834 | 14592.6 6679.83
-1.67844 81.657 | -0.881593 -1.84515 | 6468.59 -1820.86
-1.28589 81.9723 | -4.88901 4.32958 | -4405.57 8182.63
-0.938912 82.3384 | 3.97025 -1.12013 | -3878.32 -11331.3
-0.638415 82.7347 | 2.64802 4.93703 | -3781.76 3345.48
-0.386927 83.1638 | 6.16236 1.1397 | 5100.67 1380.81
-0.169787 83.6154 | -3.70013 1.10816 | 2846.46 7125.73
0.0157452 84.0879 | 2.65972 0.469943 | -1100.01 9405.63
0.171236 84.5761 | 6.81979 -0.406833 | 3697.87 -24250.4
0.308693 85.0563 | -1.57395 -5.92799 | -4337.38 16275.2
0.410203 85.5532 | -1.95933 -1.272 | 1190.71 -1086.1
0.481091 86.0554 | 3.11438 -0.835984 | -2578.6 -5863.53
0.521359 86.5568 | 0.370381 3.12601 | 5114.48 961.813
0.538702 87.059 | 1.5165 2.5926 | -11395.7 -7617.5
0.519964 87.5579 | 6.25407 -1.73457 | 6931.25 18885.4
0.497361 88.0681 | 0.243282 -6.59366 | 5346.54 -3180.63
0.473506 88.5748 | -1.40554 3.539 | -16880.4 -25740.6
0.430098 89.0623 | -1.33731 5.68012 | 17224 -3994.49
0.421163 89.5465 | -4.49417 0.200344 | -3262.49 10467.4
0.429419 90.0379 | 6.58115 -3.74439 | -2868.6 5757.97
0.448986 90.5337 | -1.92229 -1.97508 | -466.719 -2513.25
0.484956 91.0275 | 1.62426 -3.99964 | -6955.16 -4089.66
0.542826 91.5178 | 2.70839 0.702511 | 14367.5 21191.1
0.654424 92.0121 | -1.6413 -0.340309 | -6474.7 -22523.4
0.801382 92.4828 | -11.016 -1.98929 | -496.986 171.631
0.975794 92.9419 | 2.83097 -0.925793 | -9889.27 4225.89
1.16798 93.3947 | 1.36685 -3.63939 | 10536.6 4580.55
1.40712 93.8317 | -3.98055 2.85698 | 6511.54 -1587.11
1.68775 94.2465 | 2.46091 -7.0774 | -16050.8 13761.8
1.98405 94.6514 | -0.598093 1.02816 | 9795.69 -16182.5
2.33406 95.0051 | -0.968591 1.77026 | 2356.87 -1280.28
2.72361 95.3179 | -7.10639 -0.348287 | 6799.73 11797
3.13666 95.613 | -2.6713 -3.28844 | -13626.2 2541.59
3.55763 95.8882 | 4.76751 -3.47947 | 13015.1 -7859.42
4.00851 96.1194 | -0.865377 0.0837548 | -5512.76 12187.5
4.47289 96.3203 | -2.21479 0.401633 | -2444.08 -24148.3
4.95363 96.4538 | -1.36525 1.72519 | -4837.62 17306
5.43852 96.5701 | 2.57255 -1.62567 | 9023.46 -10351.4
5.93521 96.6503 | 2.72678 2.55342 | -5252.5 5031.04


25.0282 -6.88613 | -2.25549 2.55206 | -3738.59 6374.68
25.5206 -6.81556 | 0.857586 2.05416 | 2945.61 -11178.7
26.0183 -6.78016 | -0.796228 1.06969 | 4186.58 3024.99
26.5201 -6.76567 | -2.46644 0.40422 | -3409.77 7533.5
27.0195 -6.7691 | -3.16789 -0.863072 | -6738 -7235.41
27.5124 -6.81718 | -1.92049 -0.641883 | 6826.12 -196.547
28.004 -6.90557 | -3.2859 -4.60317 | 1204.02 1990.82
28.4882 -7.03019 | -3.15587 -2.21532 | -6000.44 -867.774
