15.2863 16.9432 | -3.24266 -1.46984 | 5237.24 882.884


-18.7247 -68.5786 | -0.524553 -4.05904 | 14001 -1831.53
-18.2202 -68.6621 | -0.120873 -6.9006 | -14811.8 2171.12
-17.7245 -68.7314 | 0.726472 -2.24625 | -5237.56 3281.25
-17.2321 -68.7845 | 1.65568 -0.108785 | 2787.51 -677.506
-16.7377 -68.83 | 2.92969 -2.41 | 2810.49 -9910.07
-16.241 -68.8748 | 3.63678 -0.555831 | -3041.87 6500.84
-15.7453 -68.8874 | 2.40659 1.25831 | -8664.44 4187.11
-15.2554 -68.8634 | 2.97549 -0.397236 | 7831.19 -7160.55
-14.7628 -68.8175 | 3.45746 1.39356 | 2153.15 941.297
-14.2726 -68.736 | 0.936208 3.45356 | -1799.62 4482.95
-13.7918 -68.6102 | 0.177494 1.85754 | 4556.27 -4090.81
-13.3195 -68.4513 | -0.155985 2.32944 | -8985.9 -658.163
-12.8673 -68.2545 | -0.818599 5.86469 | 4433.44 79.3483
-12.4288 -68.0214 | -0.844885 3.29599 | 11105.2 4288.64
-12.0029 -67.7496 | 0.452146 -0.312613 | -5068.14 11310.5
-11.6032 -67.4372 | 1.81248 -2.4025 | -3171.15 -9960.76
-11.2145 -67.1209 | 1.16214 -4.11916 | 1549.74 -10537.9
-10.8255 -66.8113 | -0.596789 -3.05823 | -510.456 8341.6
-10.4444 -66.4874 | 1.8812 -0.932761 | 1395.66 1218.03
-10.0679 -66.1541 | -0.226988 3.13752 | 7834.82 1796.51
-9.69041 -65.8148 | -0.303485 0.36825 | -4918.22 2648.09
-9.32336 -65.4676 | 0.463624 -1.46964 | -12423.1 -9791.47
-8.96518 -65.1271 | 1.6139 -0.879295 | 4205.75 -2627.17
-8.59656 -64.7992 | 3.20363 -0.71937 | -285.298 2622.83
-8.21837 -64.4811 | 2.01825 0.529159 | -627.062 661.758
-7.82852 -64.1778 | 1.66406 1.17372 | -1380.09 -2627.37
-7.42436 -63.8973 | 1.57493 -0.185749 | -424.151 -3708.37
-7.00567 -63.6408 | 2.2806 2.00463 | 2105.24 9896.29
-6.57499 -63.3946 | 4.14888 1.8488 | 6342.73 -774.456
-6.12713 -63.173 | 1.80422 0.290457 | -9171.23 -3052.76
-5.671 -62.9796 | -1.46204 -0.103315 | 14021.2 3463.45
-5.19478 -62.8123 | 1.15078 -3.45379 | 2448.7 3843.77
-4.70802 -62.6692 | 1.14815 -0.958863 | -11078 -7291.05
-4.22061 -62.5605 | 0.094309 1.70551 | 1236.73 3087.26
-3.7288 -62.475 | -0.103657 0.594928 | -688.899 1878.51
-3.23406 -62.4137 | -1.63732 0.351588 | -2033.95 -7706.36
-2.7385 -62.3847 | -3.07239 -2.10356 | -1993.43 10723
-2.24343 -62.3645 | -1.42822 -1.08721 | 2593.49 -5478.57
-1.74564 -62.3721 | 0.36108 -0.401275 | 7142.57 444.086
-1.24392 -62.4036 | -0.252773 -0.340603 | -3592.1 2922.31
-0.745819 -62.4568 | -0.902713 0.45348 | -1665.18 -6092.38
-0.251858 -62.5399 | 0.758707 0.818931 | 9375.52 6894.85
0.244495 -62.637 | 1.62337 1.02328 | -5219.23 -4676.44
0.731509 -62.7627 | 0.0129084 0.457527 | -7411.85 122.44
1.20707 -62.9107 | -2.13474 -0.496877 | 3921.87 3254.9
1.68078 -63.07 | -1.02123 0.468325 | 5508.1 -5150.54
2.1535 -63.2447 | 2.46951 3.38823 | -4682.64 4589.4
2.62019 -63.4239 | 3.45734 3.49938 | -4468.49 3425.48
3.07951 -63.6092 | 2.97089 0.441403 | -2779.09 -4164.39
3.53097 -63.809 | 4.54673 0.815643 | -2321.68 39.6304
3.9799 -64.0123 | 3.37702 4.18678 | 6377.61 -524.806
4.43759 -64.2062 | 0.0087164 3.1941 | 2025.43 -2215.25
4.90478 -64.3832 | 0.189756 -0.577224 | -772.289 748.266
5.38243 -64.5307 | -1.05162 -0.403241 | 7743.99 1949.84
5.87448 -64.6394 | -0.208797 1.83439 | -8035.3 -1086.88
6.36869 -64.7119 | 1.78698 3.80015 | 206.954 4353.05
6.86713 -64.7436 | 0.455583 0.999067 | 7380.38 -6081.32
7.37098 -64.7475 | 0.635884 -2.76534 | -6940.52 -4939.91
7.86949 -64.7135 | 3.26826 -1.43835 | 886.44 14791.2
8.36005 -64.6128 | 1.25934 -1.68017 | -639.259 -7169.15
8.84081 -64.4762 | -0.469141 -3.35784 | 123.798 -2083.2
9.3112 -64.3067 | -1.3688 -3.17786 | 7025 3026.81
9.77087 -64.0993 | 0.352348 -4.05547 | -7661.16 -3023.04
10.2068 -63.8557 | 2.80619 -1.76918 | -2458.59 2322.57
10.6191 -63.5747 | 0.447011 0.814802 | 6693.03 3661.35
11.0176 -63.2649 | -1.25575 2.72399 | 3715.83 1855.55
11.4049 -62.9355 | -0.875924 2.04438 | 1689.46 2681.03
11.781 -62.5926 | 0.0571989 0.117301 | -13604.2 -12038.2
12.1414 -62.2514 | -1.48843 -1.65167 | -3190.47 -1650.54
12.4993 -61.9134 | -0.569804 -3.52736 | 7760.8 1097.78
12.8698 -61.5832 | -2.74771 -0.999261 | 2250.55 -1213.34
13.2474 -61.2592 | -5.03616 1.74186 | -6546.15 5596.65
13.6215 -60.9322 | -5.35561 0.0963106 | 2304.26 -4168.88
14.0054 -60.6174 | -3.77398 -1.21881 | 456.786 4464.99
14.4014 -60.3142 | 0.098525 0.126536 | 4353.47 -627.781
14.8166 -60.0346 | -1.2931 0.941288 | -5657.48 -2798.72
15.246 -59.7838 | -3.5917 3.47078 | 5292.39 712.8
15.6952 -59.5627 | 0.85456 3.48139 | 1320.53 2787.5
16.1593 -59.369 | 5.4249 2.26469 | 906.107 223.568
16.6361 -59.2078 | 4.30037 1.24768 | -3099.62 -1795.76
17.1206 -59.0849 | 0.068647 1.44123 | -9475.03 -6055.27
17.6065 -59.0023 | -1.03474 0.859734 | 3578.01 6819.25
18.0979 -58.9423 | -0.60284 -1.22643 | 2342.71 99.5745
18.594 -58.9115 | -2.83347 -1.65055 | 818.048 92.8249
19.0911 -58.9151 | -2.37999 -3.05922 | -5505.85 2073.54
19.5822 -58.9562 | -1.21096 -1.21266 | -4944.18 -2017.92
20.0641 -59.043 | -1.00979 -0.846431 | 5187.98 -5011.05
20.5411 -59.1704 | 0.37211 1.03785 | 4347.7 4201.34
21.0154 -59.3141 | 0.481785 3.57464 | -5067.74 11654.6
21.4819 -59.4676 | -1.11583 1.63431 | 4590.21 -7831.61
21.9371 -59.6636 | -1.78095 0.79137 | -489.536 -12969.8
22.374 -59.907 | -0.00233956 0.939406 | 3143.54 5985.13
22.8073 -60.158 | -0.121888 -1.45181 | 1914.31 2815.38
23.2444 -60.4029 | -2.40647 -2.00123 | 2832.39 4876.48
23.6865 -60.6398 | -0.478067 -2.21965 | 1412.89 -730.969
24.1246 -60.8861 | 1.51231 -1.83891 | -6538.67 -7308.01
24.5465 -61.1577 | 0.27333 -2.92006 | 4066.73 994.057
24.9639 -61.4402 | 0.197026 -0.996115 | 1913.08 -1437.53
25.3796 -61.7279 | -0.550873 0.64475 | -2956.9 2647.69
25.7939 -62.0135 | 1.22388 -0.56667 | -2156.25 1395.15


-23.133 83.9131 | 1.71938 -2.91844 | -247.005 3080.77
-22.7952 84.2824 | 0.404525 1.25943 | -8304.75 -6323.21
-22.478 84.6613 | -0.793623 0.92287 | 10040.8 1112.46
-22.1594 85.0432 | -1.39474 2.93354 | -6702.54 -4047.45
-21.8492 85.427 | -0.0856216 2.09057 | 487.3 6091.77
-21.5395 85.8153 | 0.895998 0.050841 | 8299.83 -438.804
-21.2164 86.1963 | -0.55209 0.263338 | -5314.53 -7797.29
-20.8909 86.5691 | 0.391393 -0.20074 | 2068.55 10590.1
