-16.5238 -68.6482 | 0.882658 -1.57605 | 10678.1 4432.81
-16.033 -68.5587 | 0.316867 2.64725 | -1098.69 3622.7
-15.5526 -68.4207 | -0.797221 4.45042 | -3335.13 -4919.44
-15.0836 -68.2544 | -0.832745 3.85843 | 4577.25 4785.31
-14.6204 -68.0637 | -0.864398 3.88407 | -292.79 -1853.66
-14.1606 -67.8665 | -0.612411 2.15912 | -798.556 -7224.89
-13.7015 -67.6745 | -1.27018 2.40157 | -659.879 -2567.35
-13.2472 -67.4753 | -2.30208 2.26745 | -4707.81 5770.96
-12.8068 -67.2504 | -1.08764 0.577191 | 1915.75 -1179.48
-12.3756 -67.008 | -0.883155 2.18818 | -3910.53 -1099.51
-11.955 -66.7525 | -3.15901 1.54015 | 1515.19 -320.085
-11.5382 -66.4894 | -3.79245 -0.348899 | 3742.54 1979.89
-11.1216 -66.222 | -2.81566 1.90442 | -6332.19 -7199.8
-10.7088 -65.9571 | -1.17805 1.54914 | 9711.48 5877.31
-10.294 -65.6828 | 1.48191 -2.48813 | 1121.47 1725.46
-9.88599 -65.3957 | 0.00696145 -0.875532 | -10419.3 2626.67
-9.49299 -65.0955 | -0.00462368 0.883138 | 6541.1 -7574.2
-9.09542 -64.8035 | 1.56018 -0.350724 | -8622.11 -3712.6
-8.70426 -64.5127 | -0.072414 -0.64117 | -1937.01 10505.1
-8.31408 -64.2146 | 0.116747 -1.51886 | 11701.1 893.614
-7.90082 -63.9358 | -0.896211 -1.05172 | 812.951 -1384.59
-7.46573 -63.6889 | -1.2421 -0.884715 | 5671.21 491.399
-7.00867 -63.4768 | -0.901746 -2.86619 | -2459.8 -1554.85
-6.53955 -63.2978 | -3.08646 -0.0961157 | -6942.03 4299.36
-6.06436 -63.146 | -0.803453 0.235636 | 6376.01 -3033.93
-5.57447 -63.0369 | 1.96224 -4.27288 | -576.577 -3233.33
-5.07647 -62.971 | 0.347355 -2.29623 | 4870.09 6015.11
-4.57178 -62.9348 | 0.461677 -0.978832 | -1188.69 -5978.48
-4.06653 -62.938 | 0.0415121 -0.0271385 | -3374.91 2632.2
-3.56447 -62.9666 | -1.40032 -0.00539038 | 1053.77 2067.8
-3.06421 -63.0174 | -2.07333 -0.176227 | -1526 1093.92
-2.56885 -63.0951 | -2.45134 -0.340427 | -2076.44 -1327.7
-2.08169 -63.2082 | -2.27119 -2.70866 | 620.214 -1907.52
-1.60324 -63.3581 | -1.68249 -3.51693 | 4612.68 -5392.29
-1.13095 -63.5404 | -1.19713 -4.45104 | 2337.56 -5062.34
-0.661298 -63.7362 | 0.605462 -0.0897782 | -1961.99 18155.6
-0.188752 -63.9112 | -0.46346 4.51868 | 1915.89 -4981.82
0.282052 -64.095 | -0.612345 1.07315 | -6100.63 -13769.7
0.743523 -64.2996 | 2.27953 0.245979 | -2148.21 12569.1
1.21019 -64.4818 | 1.78595 -1.07859 | 10460.8 1543.64
1.69099 -64.6419 | 0.953673 -1.02627 | -1777.32 -2778.91
2.1749 -64.7939 | 0.224301 -1.63238 | -520.194 617.542
2.65984 -64.9407 | -0.655719 -0.778458 | -1605.75 -4934.02
3.14396 -65.087 | 0.609516 1.14479 | -4104.03 6413.9
3.62812 -65.2174 | 1.78069 1.71019 | -1972.56 -3711.68
4.11247 -65.3369 | 0.821909 2.05812 | -7618.69 6101.47
4.59484 -65.434 | 0.805207 1.26054 | -4312.86 567.302
5.07649 -65.5167 | 2.46008 -1.32124 | 6092.61 -7992.29
5.56361 -65.594 | 3.89278 0.288845 | 737.003 1099.51
6.05515 -65.6466 | 3.6938 -0.980672 | -1274.81 -931.507
6.54905 -65.6616 | 2.74077 -1.54893 | 4737.91 6352.51
7.04537 -65.6251 | 3.0326 -0.362971 | 532.356 946.256
7.53923 -65.5505 | 5.36517 -1.71617 | 5274.79 -3829.09
8.03323 -65.455 | 1.98437 0.591606 | 1654.21 4432.16
8.5247 -65.3385 | -2.55181 4.89792 | -1949.41 -6299.06
9.01294 -65.217 | -1.62319 -0.281362 | 853.396 2562.93
9.498 -65.0835 | 1.10529 -2.18361 | -5509.36 -591.734
9.97616 -64.9415 | 2.22582 0.682406 | -4010.7 -5606.21
10.4495 -64.7977 | 1.72151 0.924224 | 674.682 7919.87
10.9204 -64.6409 | -0.0255429 3.24052 | 3936.37 -1801.17
11.3948 -64.4904 | 1.18731 0.632805 | -7391.18 793.906
11.8691 -64.3566 | 2.08292 0.946471 | -1926.62 -6822.3
12.3503 -64.2585 | 2.33071 4.3991 | 13678.9 -2697.45
12.8457 -64.1871 | 2.21572 2.81835 | 1725.63 8890.45
13.3434 -64.1156 | 1.3155 -0.547831 | -12343.2 -4154.02
13.8334 -64.0516 | 3.07024 0.476062 | -3494.3 220.181
14.3212 -63.9905 | 2.53478 1.5897 | 10701.5 3601.5
14.8154 -63.93 | 0.606989 1.36634 | -5316.77 -3352.56
15.3071 -63.8787 | 0.352412 1.16286 | -6647.73 3771.52
15.7947 -63.8323 | 1.31723 -0.795192 | 1522.9 263.714
16.2843 -63.8032 | 3.16722 -0.326362 | 4835.05 -1636.88
16.778 -63.8032 | 2.77417 1.53685 | -2692.79 -935.12
17.2693 -63.8346 | 1.67388 3.59432 | -971.936 5325.6
17.758 -63.8933 | 1.74961 1.06924 | 9197.6 -3387.07
18.246 -63.9946 | 2.12941 1.00852 | -2397.22 -1513.95
18.7222 -64.1416 | 2.15106 0.50993 | 1076.66 712.898
19.1853 -64.3294 | 1.98288 3.87404 | 4413.3 -7145.16
19.635 -64.5571 | 0.128802 2.65152 | -5339.93 3575.22
20.071 -64.8025 | -2.0135 0.453287 | 2987.86 6934.07
20.5039 -65.0513 | -2.55679 1.51164 | 16.7184 -231.831
20.9287 -65.3149 | 0.253618 4.35188 | 6094.11 223.574
21.3418 -65.6041 | 0.213685 -0.789665 | 773.193 -14141.3
21.7275 -65.9388 | -0.328695 -2.24994 | -6259.69 125.982
22.0858 -66.2995 | 1.37637 0.526081 | 48.1466 4530.31
22.436 -66.6646 | -0.440087 0.0544103 | 2513.21 -236.611
22.7915 -67.0244 | -3.06443 -2.74467 | -749.016 9039.55
23.1562 -67.3684 | -5.26272 -2.86087 | 731.952 28.8369
23.5239 -67.7083 | -5.97344 -1.19512 | -5936.51 -4171.65
23.8837 -68.054 | -1.69775 -1.42151 | -2571.91 7299.95
24.2426 -68.3933 | 4.17956 0.148851 | 4371.04 -5899.07


-23.3041 83.4605 | -1.89697 -2.99582 | -945.577 -2608.43
-22.805 83.4851 | -0.843105 -1.51184 | 4380.99 6133.83
-22.3067 83.5521 | 0.734925 1.32011 | -1534.56 -4867.7
-21.8137 83.646 | -0.375796 -0.0460175 | 936.931 -110.792
-21.3275 83.7701 | -2.79439 0.580836 | -5182.31 3776.67
-20.8533 83.9279 | -3.08011 1.49858 | 6744.59 -4659.11
-20.3829 84.1056 | -0.856848 1.13262 | 3328.65 1610.37
-19.9232 84.3123 | 0.995083 0.000250305 | -15581 2428.06
-19.4894 84.5528 | -0.512344 1.25063 | 6709.56 -5865.05
-19.0627 84.808 | 0.198188 1.39955 | -233.702 8610.45
-18.6458 85.0847 | 2.18406 -0.687754 | 360.988 -707.172
-18.2295 85.3621 | 0.789503 1.22656 | 1911.24 -10048.9
-17.8064 85.6217 | -0.597336 2.02734 | -17497.2 4445.49
-17.3902 85.8777 | 1.40276 -2.9603 | 11875.5 2346.89
-16.9518 86.1097 | 2.89762 -1.00504 | 14792.4 -4630.47
-16.4863 86.3032 | 4.25638 1.21361 | -11714.5 1150.41
-16.019 86.4767 | 1.88378 3.27786 | -2554.94 6360.65
-15.5482 86.6375 | 1.20272 1.70988 | 2340.64 -4071.57
-15.0666 86.7657 | 1.04562 -0.345683 | 2901.73 -1601.54
-14.5751 86.8595 | 0.0963105 2.60712 | 2031.93 4307.31
-14.0777 86.9259 | -0.159015 -0.397498 | -7411.43 -7489.48
-13.5812 86.9566 | -1.30651 -2.48989 | 5719.97 6563.08
-13.0797 86.9724 | -0.258559 -2.15077 | 8705.39 3770.75
-12.5715 86.9681 | 0.939776 -1.57264 | -1181.88 -11334.9
-12.0658 86.9243 | 0.308186 -3.14792 | -7658.34 8222.99
-11.5687 86.866 | -0.900345 -2.83602 | -12536.8 3454.77
-11.0834 86.7889 | -1.21268 2.06806 | 7774.22 -4462.37
-10.5992 86.6802 | -0.203835 1.87796 | 5622 1385.17
-10.1183 86.543 | -0.311797 -1.9299 | -3487.29 -1584.11
-9.64991 86.372 | -1.13437 -0.559011 | -1034.24 -4164.63
-9.19419 86.1713 | -1.45585 0.473597 | -5086.52 7833.73
-8.74828 85.963 | 0.339221 0.157512 | -2070.29 1071.16
-8.30868 85.7474 | 1.16228 0.0350751 | -956.404 -1228.6
-7.87256 85.5259 | -1.60981 0.570633 | 1827.99 760.216
-7.4345 85.3061 | -4.30159 0.159713 | 2364.5 -1499.37
-6.99297 85.0906 | -2.77451 -0.336495 | -8849.63 -765.811
-6.55187 84.8856 | -0.613972 -1.2703 | 1189.14 -2684.54
-6.0983 84.7081 | -0.706789 -5.25328 | 6319.57 8152.81
-5.62447 84.5824 | 0.606406 -3.9114 | 2013.18 -4657.45
-5.13849 84.4913 | -0.711366 -3.89338 | 8605.87 -4478.95
-4.64054 84.4304 | -0.487341 -3.57588 | 1304.75 4636.39
-4.1375 84.4076 | -0.379813 -0.412752 | -74.3791 -1483.85
-3.63399 84.4118 | -0.0340402 -1.98768 | -3047.03 -7194.81
-3.13369 84.4378 | 0.164712 -0.935174 | -2940.21 7956.22
