37.3404 -23.3565 | -1.99583 3.63708 | -4216.64 -437.368
37.5427 -23.8081 | -0.00529298 4.73076 | -3745.27 4118.34
37.7295 -24.2618 | -2.40572 1.99911 | 3109.36 4260.72
37.9192 -24.712 | -2.96048 -2.62218 | -52.186 -2025.03
38.1143 -25.1621 | -1.45511 -1.70116 | 3689.78 -7889.57
38.3198 -25.6148 | -3.02339 -0.429576 | -840.067 -5317.77
38.5368 -26.0658 | -1.21288 -0.110761 | 532.554 7959.05
38.7743 -26.5013 | 0.965215 0.475326 | 97.6398 4589.4
39.0299 -26.9232 | -0.213236 -1.47265 | -3715.87 -8369.01
39.295 -27.3434 | 0.16894 -0.663151 | 1972.3 -2567.53
39.5824 -27.7525 | 3.21548 1.97867 | 7390.6 2130.45
39.9027 -28.1401 | 4.48891 2.81149 | -1668.54 -4601.12
40.2432 -28.5133 | 2.91869 3.50526 | -93.264 -1973.52
40.6048 -28.8684 | -1.02819 0.763491 | 5198.93 1447.64
40.9931 -29.1976 | 0.0260033 1.10554 | -1096.45 -1215.87
41.4005 -29.5037 | 2.76283 1.74018 | 4131.78 2148.47
41.8266 -29.7849 | 3.09136 -0.42196 | -3523.62 -329.434
42.2588 -30.0496 | 1.64448 0.773879 | -14519.6 4936.78
42.6876 -30.2981 | 0.732748 0.703827 | -2758.74 1297.9
43.1225 -30.5273 | 0.141963 -0.304204 | -470.048 -724.695
43.5687 -30.7322 | -1.24253 -1.68654 | 1985.43 1166.99
44.029 -30.9049 | -2.43624 -2.6504 | 1020.04 2170.55
44.4998 -31.0462 | -2.82689 -2.72237 | -7176.26 -7594.12
44.9732 -31.1687 | -1.95086 -1.35152 | 8130.23 3208.46
45.4595 -31.2532 | -1.83039 -3.69103 | 4703.17 3466.76
45.9539 -31.3004 | -0.716441 0.429498 | -7029.81 -2993.76
46.4463 -31.3288 | 1.88148 4.16509 | 2099.43 -1422.64
46.9407 -31.3446 | 2.46424 6.08866 | 5966.17 810.296
47.44 -31.3495 | -0.01754 5.92557 | 2978.9 -3280.56
47.9413 -31.3491 | -1.32815 -0.00205624 | -5800.8 6219.91
48.4384 -31.3355 | -0.77152 -2.40517 | -5318.97 -569.423
48.9326 -31.326 | 0.588904 -2.06804 | 9273.72 -4912.28
49.4335 -31.3357 | 0.41756 -5.01084 | 7763.67 1778.21
49.9395 -31.3598 | -1.67707 -2.6133 | -4809.13 4098.52
50.4411 -31.401 | -2.41566 -0.644637 | -5938.99 1502.5
50.9336 -31.4771 | -3.82518 -1.06157 | -2032.06 -3813.49
51.4132 -31.6089 | -5.48012 1.02019 | 7909.83 -4433.28
51.8797 -31.7995 | -3.78253 4.00872 | 4010.13 -2275.16
52.3256 -32.0423 | -1.03321 4.77576 | -4843.45 2093.32
52.7406 -32.3286 | 0.393319 4.47256 | -5260.3 2239.59
53.1219 -32.6513 | 0.58861 3.02185 | -1568.95 4748.34
53.4736 -33.0019 | 0.041409 1.54541 | 1447.88 -6477.11
