-51.0372 -15.5801 | -0.784532 1.97499 | 18.1303 -679.396
-50.5654 -15.4042 | 0.301324 0.983233 | 414.132 1547.16
-50.1032 -15.203 | 1.00176 0.0662298 | 33.8064 675.876
-49.6514 -14.9788 | 1.30224 -0.581688 | 485.57 -1551.78
-49.2096 -14.7358 | 1.7714 -1.57203 | 781.202 -531.223
-48.7798 -14.4717 | 1.72686 -1.80142 | -248.914 1955.58
-48.367 -14.1814 | 0.816689 -1.21827 | -1885.21 1730.45
-47.9739 -13.8658 | -0.551441 -0.477792 | -3024.01 65.345
-47.5978 -13.5329 | -2.07831 0.529505 | -2526.91 -1544.57
-47.2295 -13.1951 | -3.3784 1.72637 | -946.668 -2202.15
-46.8571 -12.8649 | -4.34484 3.05012 | 412.676 -1778.53
-46.4717 -12.5516 | -4.54313 4.09439 | 575.025 -1029.25
-46.0697 -12.2602 | -3.63565 4.25475 | -175.715 585.298
-45.6522 -11.9913 | -2.189 3.71161 | 43.3047 707.654
-45.2194 -11.747 | -0.887405 2.80163 | -29.0169 -308.868
-44.7723 -11.5306 | 0.243973 1.15916 | -1540.43 377.839
-44.3132 -11.3439 | 1.06031 -0.922228 | -1766.15 457.359
-43.8433 -11.19 | 1.10041 -2.02351 | -27.1239 -170.919
-43.3628 -11.0743 | 0.70252 -1.57901 | 1163.16 -242.318
-42.8731 -10.9991 | 0.592692 -0.547375 | 1645.99 -480.906
-42.3773 -10.9629 | 0.833905 0.785674 | 2899 145.218
-41.8773 -10.9594 | 1.20901 1.76496 | 3996.07 1521.77
-41.3741 -10.9814 | 1.2769 1.76871 | 3689.85 1093.03
-40.8692 -11.0278 | 0.92109 1.46243 | 1812.74 -631.395
-40.366 -11.1031 | 0.380607 1.40529 | 119.715 -139.465
-39.8685 -11.2108 | -0.216935 1.37046 | -802.921 39.1851
-39.3816 -11.3556 | -0.679766 1.44059 | -2087.16 -143.182
-38.9116 -11.5425 | -0.704501 1.50788 | -3275.7 -1013.63
-38.4652 -11.7751 | -0.252669 1.18552 | -2774.64 -2439.01
-38.0446 -12.0501 | 0.584431 1.06205 | -177.993 -1587.88
-37.6434 -12.3542 | 1.69421 1.75228 | 1250.99 -811.132
