-44.0593 -29.9087 | -1.55301 -2.0712 | 1399 2.01071
-43.7033 -30.259 | -2.18617 -2.816 | 241.008 34.1076
-43.3195 -30.5786 | -1.67378 -2.604 | -1694.1 476.85
-42.9112 -30.864 | -0.587148 -2.12216 | -1104.15 1098.46
-42.4803 -31.1114 | 0.826083 -0.842104 | -6.16237 65.9762
-42.0294 -31.3199 | 1.75997 1.27329 | 802.855 -1382.73
-41.5616 -31.4908 | 1.68239 2.25179 | 1758.34 -1941.29
-41.0795 -31.623 | 1.52682 3.08811 | 2316.24 -50.5228
-40.5855 -31.7114 | 2.03276 4.79635 | 1350.12 1051.91
-40.0842 -31.7526 | 2.46091 4.73211 | 688.379 668.41
-39.5805 -31.7481 | 2.29362 3.90643 | 893.751 2022.42
-39.0779 -31.7019 | 2.07243 2.39874 | 562.272 -1560.37
-38.5788 -31.6249 | 2.35091 0.606075 | -631.646 -2110.25
-38.0856 -31.5207 | 2.8939 -0.194679 | -1646.48 2055.27
-37.6015 -31.3844 | 3.25187 -0.0398012 | -661.18 642.525
-37.1269 -31.2197 | 3.08306 0.274808 | -646.116 -130.098
-36.6616 -31.0325 | 3.0175 0.64188 | -1780.95 147.842
-36.2048 -30.829 | 3.30337 1.30633 | -2178.05 -1690.56
-35.7544 -30.6177 | 3.28992 2.49681 | -2801.78 -1343.9
-35.3081 -30.4043 | 2.91293 3.3853 | -2351.05 -1154.6
-34.8632 -30.194 | 2.81533 2.72587 | -1831.96 130.228
-34.4166 -29.9913 | 3.40729 1.22461 | -2346.28 1216.42
-33.9655 -29.8035 | 3.97215 0.404365 | -1824.52 -1124.31
-33.5054 -29.6446 | 3.30058 0.735202 | -389.744 -2352.63
-33.035 -29.5237 | 1.62375 1.69707 | -307.711 979.008
-32.5572 -29.4374 | 0.129233 1.81933 | -62.1493 2655.62
-32.0743 -29.3812 | -0.856078 2.1201 | 1714.34 222.92
-31.587 -29.357 | -1.40006 2.43072 | 3183.05 319.685
-31.0961 -29.363 | -2.00995 2.58289 | 3909.96 411.958
-30.6027 -29.3953 | -2.82006 2.6146 | 3073.39 651.484
-30.1085 -29.4501 | -3.68197 1.3076 | 470.469 414.118
-29.6166 -29.5254 | -3.92311 0.814148 | -1696.58 -1180.65
-29.1291 -29.62 | -3.19868 1.87928 | -1063.39 1879.75
-28.6453 -29.7263 | -2.5121 2.28951 | 293.911 3150.67
-28.1642 -29.8424 | -2.39585 1.50326 | -229.707 649.74
-27.6887 -29.9776 | -2.45277 0.477203 | -159.434 354.397
-27.2229 -30.142 | -2.20639 0.174657 | 390.52 -1999.23
-26.7716 -30.3445 | -1.5927 0.729947 | 1923.96 -438.25
-26.338 -30.5851 | -0.878953 0.981394 | 1796.11 999.439
-25.9267 -30.863 | -0.193495 0.105983 | -1519.54 -1490.33
-25.5462 -31.181 | 0.751612 -1.00449 | -3780.34 -3633.79
-25.1984 -31.5348 | 2.04624 -1.45346 | 6.83997 277.524
-24.8677 -31.9053 | 3.2103 -1.261 | 2662.84 2215.36
-24.5363 -32.2759 | 3.9013 -0.633873 | 998.136 -980.631
-24.1961 -32.6401 | 3.73072 -0.679158 | 1482.28 -1363.1
-23.8402 -32.9914 | 3.9021 -0.889502 | 2316.79 833.259
-23.4637 -33.322 | 4.24319 -0.744325 | -682.592 653.931
-23.0695 -33.6299 | 2.74101 -2.23745 | -3160.89 -73.7933
-22.6603 -33.9138 | 1.48652 -3.60365 | -2298.94 568.393
-22.2343 -34.1675 | 2.50607 -2.38706 | -1172.97 923.823
-21.7896 -34.383 | 4.0415 -0.508232 | -618.168 1074.28
-21.3271 -34.5547 | 3.91157 -1.31079 | -596.554 -3259.67
-20.8505 -34.6825 | 2.45619 -3.63766 | 707.77 -3169.86
-20.3623 -34.7564 | 0.907938 -4.19898 | -156.954 1855.23
-19.8696 -34.758 | -0.252702 -3.03424 | -2925.43 3359.73
-19.3849 -34.6813 | -0.637393 -2.52339 | -1904.4 -1261.37
-18.9156 -34.5415 | 0.172041 -3.90393 | 1452.2 -1740.81
-18.4616 -34.3553 | 1.06559 -4.58384 | 2153.88 654.031
-18.0209 -34.1348 | 0.709253 -2.7142 | 1231.32 197.9
-17.5899 -33.8933 | -0.17385 -0.129522 | 864.251 -740.903
-17.163 -33.6438 | -0.749331 2.32312 | 1273.94 -1638.03
-16.7354 -33.3954 | -0.199777 3.08719 | 1176.5 -4366.73
-16.3066 -33.1507 | 1.27845 1.61459 | -661.77 -1784.45
-15.8843 -32.8971 | 1.94731 1.27392 | -127.038 2665.93
-15.4775 -32.6181 | 1.92992 1.75504 | 245.806 3820.27
-15.0917 -32.308 | 1.82361 1.69536 | 160.789 1339.63
-14.7258 -31.973 | 0.648675 2.66921 | 1073.87 -1014.29
-14.3743 -31.6223 | 0.0584893 3.18578 | 1756.56 -1308.93
-14.0345 -31.2601 | 0.620718 2.53917 | -964.597 1285.96
-13.7095 -30.8843 | 0.582011 2.24326 | -2176.43 1788.65
-13.3972 -30.4973 | 0.187245 2.53141 | 63.0011 2056.15
-13.0856 -30.1072 | 0.842415 2.52238 | 4305.99 1486.86
-12.7591 -29.725 | 2.03627 1.72946 | 3839.73 672.113
-12.4112 -29.3583 | 2.03149 0.746392 | 427.825 647.417
-12.0441 -29.0095 | 0.920088 0.307767 | -829.188 481.431
-11.6585 -28.6815 | -0.315259 0.596704 | 285.656 -1512.74
-11.2524 -28.3805 | -0.694963 0.943007 | -458.462 -1432.22
-10.8272 -28.1094 | -0.964557 1.76248 | -1984.53 -150.94
-10.3858 -27.8683 | -1.51494 2.72665 | -347.617 -857.174
-9.92859 -27.6603 | -1.82414 2.81992 | 901.769 1244.13
-9.45631 -27.4861 | -2.12949 3.09484 | 2850.85 -907.09
-8.96957 -27.35 | -2.38374 3.25512 | 2161.44 -1323.41
-8.47254 -27.251 | -2.43948 2.37425 | -1628.29 2490.12
-7.97157 -27.182 | -2.18268 2.22921 | -3317.96 -629.626
-7.47022 -27.1471 | -1.3567 1.60172 | -3602.47 -1189.25
-6.97132 -27.1496 | -0.523407 -0.527395 | -3491.58 2777.57
-6.47763 -27.1882 | -0.00999639 -1.29942 | -2907.38 46.4814
-5.99243 -27.2709 | 0.45655 0.185491 | -1780.85 -3783.71
-5.51868 -27.4017 | 0.660954 0.0938847 | 1592.19 -1600.1
-5.053 -27.5659 | 0.789823 -0.969287 | 4463.19 -811.135
-4.58764 -27.7433 | 1.07793 -0.822972 | 4561.21 -1054.56
-4.11609 -27.9157 | 0.87668 0.696934 | 3737.09 3407.76
-3.63485 -28.0667 | 0.0878283 3.05734 | -124.126 960.631
-3.14709 -28.1955 | -0.55845 5.1992 | -1397.39 -1092.94
-2.65532 -28.3046 | -1.17262 5.50124 | -501.241 -799.178
-2.15952 -28.3911 | -2.00916 4.31895 | -431.095 815.689
-1.66005 -28.4481 | -2.63483 4.02641 | -746.63 2356.33
-1.15853 -28.4712 | -3.14108 4.17135 | -1986.66 -1905.51


-45.8711 45.7502 | 5.81709 4.73204 | 594.218 -84.2734
-45.5453 45.3705 | 2.45549 3.25605 | -840.743 232.825
-45.2153 44.9951 | -0.61381 1.57789 | -563.166 -85.8256
-44.8774 44.6272 | -2.50681 0.0573581 | 507.282 -464.153
-44.5264 44.271 | -2.8218 -0.159373 | -32.4298 -1057.4
-44.1585 43.9313 | -2.51198 0.831384 | 309.22 -751.477
-43.7689 43.6158 | -1.86521 2.50861 | 1515.7 242.666
-43.3532 43.3344 | -1.44293 3.77231 | 439.104 607.965
-42.9121 43.0949 | -1.7369 3.90298 | -599.415 2625.76
-42.4495 42.9035 | -2.22442 3.11067 | -523.207 3181.27
-41.9718 42.7574 | -2.24484 1.52856 | -496.686 375.141
-41.4864 42.6414 | -1.72176 -0.021943 | -691.983 -1693.21
-40.9987 42.5381 | -1.09603 -0.866176 | -698.486 -2821.47
-40.5108 42.4359 | -0.687953 -0.844851 | 367.444 -1936.4
-40.0221 42.334 | -0.805203 -0.739745 | 1133.04 -2317.04
-39.5306 42.2383 | -1.48192 -1.35043 | 384.818 -1654.44
-39.0351 42.1626 | -1.98676 -1.77839 | -445.418 1719.77
-38.5358 42.1266 | -1.86886 -1.62522 | 17.233 3269.07
-38.0358 42.1434 | -1.55948 -1.70892 | 683.829 507.842
-37.5398 42.2123 | -1.58278 -1.69864 | 719.469 336.76
-37.0523 42.3301 | -1.99639 -1.38977 | 696.374 2016.32
-36.5765 42.4929 | -2.96443 0.143823 | 1061.16 1777.8
-36.1126 42.6909 | -4.28237 2.04054 | 1057.67 -823.939
-35.6576 42.9105 | -4.67441 2.01057 | -606.484 -670.877
-35.21 43.1433 | -3.90447 0.459121 | -1504.83 14.0554
-34.7675 43.3834 | -2.90141 -0.817967 | -691.203 -600.039
-34.3257 43.623 | -2.23113 -1.17962 | -202.474 -430.531
-33.8804 43.8551 | -1.8164 -1.12395 | -271.606 -453.782
-33.4288 44.0733 | -1.17486 -1.40939 | -302.292 -1125.63
-32.9691 44.2721 | -0.603564 -1.25696 | -579.628 -826.335
-32.5014 44.4489 | -0.450861 -0.306212 | -1220.17 -460.421
-32.0271 44.6035 | -0.447446 0.540065 | -1503.62 540.978
-31.5474 44.7366 | -0.220111 0.614329 | -486.613 1675.35
-31.0619 44.8459 | 0.310413 -0.226001 | 943.947 23.2438
-30.5694 44.9231 | 0.765802 -1.18448 | 1470.23 -353.288
-30.0711 44.9614 | 0.684958 -0.605287 | 1625.47 145.244
-29.5697 44.9567 | 0.354605 0.892755 | 2338.1 -2159.35
-29.0685 44.9051 | -0.0360767 0.737037 | 3009.65 -1810.42
-28.5705 44.8107 | -0.576462 -0.201131 | 2238.93 547.209
-28.078 44.6821 | -0.78305 -0.249735 | 857.905 -1637.28
-27.5931 44.5222 | -0.33139 0.519335 | 1338.17 -299.151
-27.1161 44.3374 | 0.841405 1.9384 | -88.988 79.0811
-26.6479 44.1317 | 2.13314 3.06907 | -2708.11 -205.594
-26.1903 43.9081 | 2.57988 3.0687 | -1957.63 2777.11
-25.7415 43.6726 | 2.12231 2.08728 | -554.848 1408.31
-25.3012 43.4241 | 1.5068 0.911045 | -603.1 -2019.83
-24.8714 43.1578 | 1.11518 -0.466413 | -1187.67 -1185.35
-24.4519 42.8764 | 0.972797 -2.10137 | -2350 -553.532
-24.0393 42.5877 | 1.35111 -2.87299 | -1995.86 957.354
-23.6253 42.3047 | 2.15041 -2.36193 | -329.318 3601.06
-23.2011 42.0417 | 2.72889 -1.29326 | -846.612 2081.27
-22.764 41.8039 | 3.19968 0.15603 | -611.436 492.311
-22.3148 41.5911 | 3.57401 1.29021 | 979.188 -398.898
-21.8541 41.4019 | 3.32324 1.21137 | 872.453 -2446.36
-21.3834 41.2345 | 2.75449 1.06757 | 244.523 -2533.98
-20.9028 41.0948 | 2.19343 1.29525 | 1451.66 673.177
-20.4106 40.9981 | 1.81786 1.79522 | 2624.28 2422.78
-19.9087 40.9563 | 1.68505 2.72634 | 2701.29 1249.18
-19.4028 40.9711 | 1.58419 4.09815 | 1418.05 1003.7
