-4.01224 65.6036 | 0.429839 0.731335 | -1187.39 -769.776
-3.51913 65.7048 | -0.279259 -2.09508 | 5150.06 -3041.02
-3.01559 65.7536 | -2.73161 -0.426685 | -2282.12 -8956.75
-2.51135 65.7445 | -2.42971 -0.793016 | -6570.19 7152.29
-2.0122 65.7066 | -1.54168 1.90148 | 9888.5 119.213
-1.51082 65.6405 | -0.669824 0.173982 | -7530.13 1530.94
-1.01922 65.5445 | -0.176197 -1.92741 | -3520.87 3864.68
-0.538851 65.4143 | -0.19026 0.894235 | 3985.07 -9444.34
-0.0709296 65.234 | 2.23195 2.79324 | -1306.49 4456.69
0.382012 65.0214 | 1.67286 -1.52579 | 3575.29 2525.63
0.820152 64.7786 | 0.29713 0.117948 | -8190.9 -4534.57
1.23112 64.4974 | -0.310869 -1.875 | 1301.88 2163.48
1.62616 64.1949 | 0.331394 -1.25761 | 5633.65 4633.35
2.01238 63.8794 | 2.67723 0.99097 | -1247.01 -2650.85
2.37824 63.5386 | 1.96626 0.498705 | 1801.31 -7396.47
2.72054 63.1689 | 0.8546 0.2707 | -1140.97 4351.39
3.04053 62.7844 | 3.4895 1.05013 | -12608.5 9490.16
3.33534 62.3925 | -0.407078 -5.8653 | 4987.18 -7298.88
3.62916 61.9938 | 0.827576 -4.71059 | 5859.38 -709.605
3.93879 61.601 | 1.59548 0.519962 | 7459.33 -7869.46
4.26907 61.2149 | -3.29252 0.180748 | 2795.62 2942.55
4.6155 60.8438 | -1.70695 -1.62388 | -14806.3 6690.76
4.96181 60.487 | 1.1701 0.0169571 | 3050.22 4706.33
5.3221 60.1468 | -0.885667 -0.431324 | 5246.31 -5888.43
5.69279 59.8115 | -1.62885 -1.69661 | -9791.66 -1011
6.06192 59.4807 | 1.68882 -0.382671 | 108.096 4421.66
6.44371 59.1686 | 0.757833 -1.85959 | 6120.67 -4389.81


12.5928 -13.2271 | 1.49914 2.40079 | 2099.67 317.172
13.0914 -13.1641 | 2.52988 -0.0268264 | 3164.79 -984.275
13.5943 -13.1277 | -0.562245 0.374521 | -2485.77 4108.52
14.0961 -13.1171 | -0.938827 -4.38518 | -9016.97 -4553.03
14.5912 -13.1481 | 1.26474 -0.583928 | 5019.48 -5032.28
15.0854 -13.2171 | 1.03817 3.18123 | 3349.63 11648.3
15.5785 -13.3006 | 0.632752 1.67084 | -4958.43 -5529.86
16.0611 -13.4214 | 1.90068 2.15674 | -4361.96 -2676.07
16.5318 -13.5765 | 1.70902 2.86379 | 6469.27 2820.63
17.0013 -13.7491 | 0.557924 2.00324 | 15277.3 1073.01
17.4737 -13.9405 | 0.902557 -0.989696 | -6930.82 -890.302
17.9256 -14.1687 | -0.501858 -2.59598 | -7451.9 -2866.54
18.3461 -14.4418 | -4.2368 -0.853979 | -3899.58 2307.38
18.7374 -14.7481 | -5.65593 -0.293644 | -5284.21 7438.3
19.1045 -15.0744 | -2.37231 0.0264705 | 4230.02 -7403.34
19.4579 -15.4224 | -0.462018 -2.35877 | 5352.57 4422.87
19.8074 -15.777 | -1.40996 -1.71843 | -184.029 -5666.31
20.1473 -16.1464 | 0.65727 1.34121 | 4061.4 -8984.05
20.4844 -16.5278 | 1.96444 0.4555 | 4125.53 7445.21
20.8278 -16.9031 | 0.710728 -0.161429 | 1819.54 -7364.32
