38.8212 -24.28 | -1.90555 -2.39077 | 422.877 656.55
39.3174 -24.2146 | -2.08502 -1.43518 | 399.428 -459.655
39.8154 -24.1613 | -2.07331 -0.543684 | 110.209 370.841
40.3146 -24.1192 | -1.93071 -0.275034 | 31.9715 -1097.13
40.8146 -24.0887 | -1.85775 -0.327466 | 26.5754 -308.227
41.3148 -24.0652 | -1.95517 -0.158097 | 379.371 1384.6
41.8154 -24.0428 | -2.11013 0.266769 | 278.806 399.14
42.316 -24.0203 | -2.23315 0.493457 | -441.315 1588.23
42.8165 -23.9979 | -2.36707 0.812956 | -303.993 373.172
43.317 -23.9811 | -2.45511 0.454279 | -39.0776 -753.728
43.8178 -23.9769 | -2.61654 -0.226957 | -161.57 -574.334
44.3184 -23.9888 | -2.84203 -0.591283 | -138.942 -1740.11
44.8183 -24.0183 | -3.01482 -1.05411 | 29.1898 -965.001
45.3172 -24.062 | -3.09213 -0.534088 | 110.85 -363.116
45.8152 -24.1156 | -3.09575 0.268668 | -9.61345 164.68
46.3124 -24.176 | -3.09237 0.829692 | 196.591 545.325
46.8092 -24.2416 | -3.06079 1.34724 | 470.804 814.644
47.3054 -24.3135 | -3.15229 0.594669 | 130.24 -16.3562
47.8003 -24.3956 | -3.34445 -0.471796 | 34.4959 77.0858
48.2926 -24.4917 | -3.55331 -1.85966 | -28.8081 -357.332
48.7811 -24.6057 | -3.76498 -3.23782 | -169.405 -994.599
49.2644 -24.7398 | -3.80464 -3.5827 | -82.413 -178.992
49.742 -24.8927 | -3.70225 -3.64911 | -506.681 -1002.89
50.2137 -25.0625 | -3.37095 -3.01509 | -147.692 -287.604
50.6813 -25.2431 | -3.02942 -2.3636 | -168.147 -12.5841
51.1472 -25.4278 | -2.87407 -2.18769 | -502.426 -465.681
51.6139 -25.6099 | -2.8459 -2.18621 | 27.4477 794.856
52.0848 -25.7802 | -3.05235 -2.95514 | -304.069 34.1529
52.5614 -25.9326 | -3.28637 -3.73006 | -147.656 754.221


-64.0461 -12.6593 | 2.7825 -4.44123 | 59.6238 55.2901
-63.6137 -12.9099 | 2.78185 -4.47184 | -5.79681 -66.1553
-63.1778 -13.1542 | 2.83454 -4.41364 | -38.9001 -148.332
-62.7381 -13.3917 | 2.95762 -4.22386 | -70.2446 -234.8
-62.2944 -13.6217 | 3.14766 -3.89371 | -41.3269 -233.065
-61.8461 -13.8427 | 3.37758 -3.46021 | -35.8723 -268.098
-61.3925 -14.0529 | 3.61969 -2.97423 | -45.5266 -278.463
-60.933 -14.2498 | 3.83321 -2.52555 | -29.8635 -200.248
-60.4666 -14.4303 | 3.9669 -2.24654 | 30.3697 -16.3615
-59.993 -14.5908 | 4.02344 -2.16178 | 84.0595 93.4755
-59.5121 -14.728 | 4.03256 -2.19927 | 125.845 99.04
-59.0245 -14.8399 | 4.02714 -2.23809 | 136.151 20.4486
-58.5315 -14.9251 | 4.02466 -2.19036 | 149.232 18.388
-58.0344 -14.9831 | 4.02972 -2.00039 | 139.416 -97.4915
-57.5347 -15.0142 | 4.03928 -1.61424 | 123.199 -171.782
-57.034 -15.0187 | 4.02863 -1.09907 | 101.641 -223.129
-56.5336 -14.9968 | 3.98263 -0.576643 | 90.4957 -116.452
-56.0351 -14.9484 | 3.9136 -0.176885 | 101.248 -40.7996
-55.5399 -14.873 | 3.84893 0.00725175 | 93.562 109.782
-55.0495 -14.7704 | 3.82054 -0.060453 | 68.9268 179.84
-54.5655 -14.641 | 3.85554 -0.371577 | 17.2373 316.174
-54.089 -14.4859 | 3.97387 -0.896329 | -20.7549 414.595
-53.6208 -14.3074 | 4.1552 -1.50853 | -55.0322 487.304
-53.1604 -14.1092 | 4.35698 -2.10374 | -80.5119 511.735
-52.7063 -13.8964 | 4.48608 -2.50952 | -61.6561 389.254
-52.2559 -13.6756 | 4.46158 -2.60915 | -10.5277 151.613
