4.51828 -60.7466 | -2.64769 1.63298 | -485.666 -2273.6
5.02405 -60.7589 | 0.0472862 0.437159 | -1136.58 3687.77
5.53 -60.755 | 1.43356 1.68917 | 8216.51 778.709
6.04093 -60.7363 | 0.418134 2.59868 | -785.134 1016.8
6.55038 -60.7063 | 1.73163 2.77682 | -10687.5 -4417.86
7.05204 -60.6731 | 0.191867 4.77009 | 338.991 1918.99
7.55238 -60.6292 | 0.114074 2.28152 | 3941.02 2227.38
8.05424 -60.5748 | 0.988363 -1.9365 | -48.7752 -4798.35
8.55551 -60.5179 | 0.490983 -1.06211 | -1688.71 2945.86
9.05296 -60.4486 | 0.654851 0.451759 | -10794.5 -9709.59
9.54085 -60.3705 | 0.630038 1.62742 | 1467.36 5606.43
10.0225 -60.2541 | -1.1407 2.7491 | 7107.99 11641.8
10.4986 -60.093 | -0.351476 0.28655 | 3314.83 -10395.4
10.9712 -59.9197 | 1.14385 -3.77991 | -1408.63 1599.14
11.4332 -59.7249 | 0.663627 -4.71765 | -14025.1 -1734.11
11.8756 -59.5092 | -0.886201 -0.92336 | 2115.97 -1751.81
12.3121 -59.2824 | -2.16173 0.777821 | 6238.48 1223.16
12.7491 -59.0477 | -0.647843 -1.41072 | -4070.62 4580.08
13.1825 -58.8059 | 1.53011 -2.54771 | 8054.82 -4274.23
13.6263 -58.5759 | 1.37878 0.110345 | 1834.37 -2416.16
14.0749 -58.3529 | 1.61441 1.95988 | -6330.31 6312.54
14.5182 -58.1211 | 2.14888 1.20823 | 9529.1 4455.52
14.9694 -57.8909 | 2.33402 -0.311677 | -3395.17 -4898.72
15.4261 -57.6795 | 3.45661 0.00114564 | -8560.84 -222.34
15.8865 -57.4906 | 2.87972 1.09198 | 6213.69 -3978.88
16.3625 -57.3365 | 0.832752 -0.0212238 | 4507.78 2347.06
16.85 -57.2098 | -0.947043 -0.526927 | -6613.13 1213.69
17.3395 -57.1085 | -1.79468 0.917875 | -1230.15 -1129.36
17.8331 -57.0385 | -0.437207 0.402049 | 1838.61 2038.23
18.3316 -57.0022 | 0.0347562 0.153901 | 2785.56 -3485.01
18.8322 -57.0084 | -1.27876 -1.30693 | -10766.9 4980.93
19.3243 -57.0512 | -1.80593 -0.813589 | 3543.2 -3991.77
19.813 -57.1414 | -1.05675 -1.44024 | 14057.5 -1592.73
