-30.4573 -24.3223 | 0.548058 1.33978 | -35.7085 2497.16
-29.9595 -24.3619 | 0.825018 0.760645 | -2531.08 1954.7
-29.468 -24.4386 | -0.0798185 -2.31568 | -246.305 -4916.86
-28.9851 -24.5609 | -0.963804 -2.85943 | 3617.61 -3107.87
-28.5083 -24.7173 | -1.28783 -2.07505 | 2691.04 -254.803
-28.0337 -24.8879 | -1.2857 -1.70679 | 727.84 2254.38
-27.5575 -25.0554 | -1.58536 -0.953105 | 1817.37 1428.72
-27.0763 -25.2118 | -1.91349 -0.356984 | 1903.56 -12.194
-26.5896 -25.3556 | -1.33724 -0.468806 | 415.386 1366.64
-26.0989 -25.4864 | -0.442155 -0.315314 | -1069.21 -3646.52
-25.6063 -25.6082 | 0.36539 -1.4888 | -1560.25 555.713
-25.1107 -25.7102 | 0.759646 -3.5095 | -1161.89 3536.93
-24.6116 -25.7811 | 1.00977 -2.95049 | -2888.59 -3449
-24.1117 -25.8214 | 1.77611 -1.65139 | -4275.34 4252.3
-23.6139 -25.8168 | 1.83219 -3.04739 | -1072.03 1888.3
-23.1191 -25.7698 | 1.31829 -3.53987 | 2060.3 -5389.72
-22.6272 -25.692 | 1.17537 -1.29628 | 509.013 1558.27
-22.1426 -25.574 | 2.49907 -2.45529 | 549.108 1268.31
-21.6696 -25.4137 | 4.25093 -5.12766 | -354.807 -105.846
-21.2117 -25.2144 | 2.345 -2.92063 | -155.024 -777.178
-20.7712 -24.9802 | -0.710707 0.14617 | 789.578 -3111.88
-20.3504 -24.7137 | -1.40938 1.07948 | -1789.46 1014.92
-19.9576 -24.4084 | -0.646914 0.425937 | 127.942 3673.02
-19.5953 -24.0645 | 0.0683034 0.281157 | 2992.99 53.6025
-19.2591 -23.6924 | -0.739071 1.27811 | -602.739 552.41
-18.9502 -23.2973 | -1.63449 1.1763 | -1710.22 -721.633
-18.6657 -22.8855 | -1.10155 0.583299 | 313.873 -1740.07
-18.3978 -22.4636 | -1.26378 1.24683 | 377.971 2209.45
-18.1407 -22.033 | -0.603012 1.56336 | 3246.97 2944.86
-17.8857 -21.5972 | 1.38866 0.424459 | 2321.47 754.422
-17.6302 -21.1601 | 2.09851 -0.913603 | -1053.97 -2163.13
-17.3773 -20.7235 | 2.69831 -2.47567 | -2141.98 -2358.06
-17.1293 -20.2873 | 2.34783 -4.13006 | -447.136 -2995.16
-16.886 -19.8519 | 1.6958 -4.89922 | -2360.62 -3677.8
-16.6511 -19.4162 | 0.42647 -3.12465 | -4205.26 538.925
-16.4257 -18.977 | -1.33797 -0.421746 | 3254.62 467.474
-16.1964 -18.5385 | -1.70765 0.906212 | 1218.26 34.6392
-15.961 -18.1027 | -0.706664 0.462745 | -3690.6 1512.65
-15.7216 -17.6692 | 0.203893 -0.497345 | 1313.32 -358.527
-15.4662 -17.2447 | 1.08469 -0.951806 | 3130.6 3457.75


-1.89746 48.8996 | 4.45752 2.18282 | -2187.69 657.498
-1.40826 48.808 | 1.43145 0.368687 | 394.557 53.1902
-0.925287 48.6886 | 0.39748 0.0809498 | -3518.11 -850.473
-0.45158 48.5444 | 0.212616 -1.50015 | -521.509 2316.96
0.0157823 48.3859 | -0.96871 -2.55883 | -2864.87 1994.53
