8.97015 22.139 | -2.88359 -1.96085 | 4898.36 4404.7
9.44881 22.2699 | -2.0141 -1.86655 | 2679.53 1341.09
9.93406 22.3816 | -1.03016 2.14844 | -6369.01 -2296.77
10.4199 22.4689 | -1.79153 3.49062 | -874.216 353.598
10.9085 22.5339 | -1.60486 1.81088 | 3454.99 7970.56
11.4025 22.5778 | 0.600815 -0.758625 | 3684.23 -3571.5
11.9009 22.5729 | -0.361345 2.66007 | 321.214 -6720.36
12.3947 22.5081 | -1.74168 2.35076 | -10115.1 7648.37
12.8733 22.4019 | -0.670733 -0.104462 | -3789.32 -4490.69
13.3379 22.2502 | -3.25093 -0.608744 | 10700.9 1004.26
13.8009 22.0721 | -3.20497 -2.04601 | 5098.25 -4992.14
14.2624 21.8738 | -1.37133 -3.4872 | 5577.02 3455.8
14.7261 21.6723 | 2.12853 1.53393 | -1449.93 3355.88
15.1859 21.4663 | 1.22199 1.02301 | -7945.26 -7873.73
15.6352 21.2439 | 0.722287 0.425514 | 7222.79 7256.03
16.0898 21.0288 | 3.45797 2.38399 | -1497.01 -260.048
16.5429 20.8128 | 1.71737 -1.62249 | -7552.99 -4524.11
16.9896 20.5907 | 1.0045 -0.328431 | 4796.94 332.745
17.4448 20.3803 | 1.27781 0.974825 | 3508.97 5338.89
17.9121 20.1943 | -1.43837 0.162385 | 2685.62 -3741.07
18.3868 20.0218 | -2.26731 2.84944 | -5786.13 1516.63
18.8615 19.8638 | -2.07846 3.56974 | -7884.72 2807.9
19.3343 19.721 | -1.39541 0.523151 | 295.149 2269.31
19.8095 19.59 | -1.84133 0.50603 | 2995.08 -8704
20.2878 19.4585 | -3.30468 -1.10646 | -3591.99 -465.138
20.7696 19.3455 | -3.22152 -2.28717 | 6062.74 7867.62
21.262 19.2721 | -2.37061 0.981318 | 201.454 -10415.3
21.7591 19.2245 | -3.86084 -2.73238 | 336.819 6309.38
22.2584 19.2286 | -3.09953 1.78291 | -13.1883 1484.37
22.7548 19.2835 | -3.84424 4.18369 | -1765.52 319.036
23.2437 19.3816 | -4.65908 0.737643 | 2058.09 392.949
23.7262 19.5122 | -4.43399 3.1175 | -416.192 -6278.59
24.2017 19.6639 | -1.39664 1.72777 | 2609.12 2755.89
24.6688 19.8487 | -1.03558 2.07439 | 8799.98 3444.62
25.1266 20.072 | -2.59893 1.16665 | -1126.4 7502.64
25.564 20.337 | -2.03442 -2.76145 | -6843.7 -2628.14
25.9812 20.6237 | -1.051 -0.84192 | -594.76 -11456.3
26.39 20.9139 | -0.126441 -0.334958 | 3067.05 5263.47
26.7878 21.224 | 1.31352 1.36816 | -2260.87 8357.54
27.1695 21.5568 | -2.82087 3.69342 | -3563.23 -8995.31
27.5451 21.8882 | -3.13504 0.827818 | -3465.06 2983.93
27.923 22.2159 | -2.20222 -1.34544 | 10516.9 -3060.53
28.3225 22.5232 | -2.55039 -0.882513 | -135.49 -83.5407
28.7329 22.8149 | -0.665118 -3.40454 | -9854.8 -2730.37
29.1427 23.0949 | -1.21052 -2.81266 | -7458.73 2695.58
29.5557 23.362 | -2.86273 -0.90068 | 4613.64 -4264.13
29.9893 23.5939 | -2.44265 -1.51841 | -2664.68 -3855.65
30.4388 23.7873 | -0.539317 -2.64479 | -452.58 3710.67
30.8997 23.9532 | -1.12798 2.80512 | 2633.29 2536.51
31.3716 24.092 | 0.787498 3.84456 | -3790.87 -2062.78
31.8489 24.1986 | 1.49176 2.84048 | -2280.08 3300.98
32.3301 24.277 | -2.06269 -1.68528 | 12899.6 502.873


-20.9676 -68.3042 | -1.34665 -2.09475 | 3651.71 -5368.74
-20.5568 -68.5992 | 0.944543 -2.21442 | 2785.33 9758.29
-20.1356 -68.8762 | 1.08544 -2.43265 | 1214.38 -9376.36
-19.713 -69.1581 | 1.90411 -2.08563 | -2598.81 -3324.49
-19.2902 -69.4396 | 0.786308 -0.101344 | -2141.11 4415.21
-18.8591 -69.7018 | -0.0271843 -0.630697 | -2255.78 2479.82
-18.415 -69.9354 | 1.11328 -0.318216 | 1611.09 3996.84
-17.9549 -70.1346 | -0.467631 -1.24629 | 650.761 -919.586
-17.4841 -70.3085 | 0.223515 -0.768099 | -1744.53 -8084.5
-17.0069 -70.4644 | 2.21628 0.806642 | -4066.88 8804.62
