-36.0498 -27.7237 | -0.0204996 2.55352 | -3723.21 -4081.98
-35.732 -27.3399 | -0.0347785 2.80698 | 2916.68 -6928.7
-35.4106 -26.9631 | -1.75515 2.20073 | -2407.38 4408.55
-35.0924 -26.5827 | -1.21608 0.298626 | -4906.21 2836.75
-34.7731 -26.2049 | -0.696184 1.49429 | 3684.26 -8765.51
-34.4319 -25.851 | 0.897024 4.4597 | 186.836 -2079.76
-34.0724 -25.5164 | 3.48936 3.31763 | 831.514 6232.46
-33.7018 -25.188 | 3.49866 1.01561 | 4029.41 4257.6
-33.3189 -24.8665 | 3.68083 -0.436693 | -58.3481 2165.37
-32.9241 -24.556 | 2.63379 -0.280113 | 2763.86 2785.7
-32.5115 -24.2641 | 1.985 1.26192 | 4572.56 -3442.37
-32.0772 -24.0032 | 3.33285 0.776025 | -3704.07 -2879.49
-31.6308 -23.7697 | 2.93205 0.729122 | -2562.97 4810.1
-31.1766 -23.5541 | 1.72123 1.2068 | -2939.78 1840.59
-30.7119 -23.368 | -0.658857 -0.459782 | -1789.83 -4477.21
-30.2333 -23.2344 | -2.62213 0.54021 | -4165.21 -2147.05
-29.7461 -23.1619 | -2.08088 1.93002 | -6415.94 -801.413
-29.258 -23.1506 | -0.317317 0.251338 | 5360.16 -2440.46
-28.7677 -23.1932 | 2.31035 1.88467 | 6816 9599.32
-28.2769 -23.2685 | 1.94895 1.76158 | -2632.94 -4795.98
-27.797 -23.3934 | 0.805725 0.265267 | -2688 -4997.98
-27.3312 -23.5618 | 2.03554 2.98016 | 2490.64 5876.39
-26.8709 -23.746 | 0.955369 2.83786 | 2445.47 -91.3932
-26.4138 -23.942 | 1.57771 1.02094 | -1210.7 449.162
-25.9614 -24.1472 | 2.49457 0.904908 | -530.646 -1388.75
-25.5117 -24.3592 | 1.53537 -0.711569 | 3763.15 -1468.99
-25.0589 -24.5709 | 2.16389 -0.803574 | -937.615 2772.16
-24.6026 -24.7734 | 1.30138 0.428511 | 2529.24 -24.9613
-24.1409 -24.9678 | -0.603934 -1.3869 | 936.505 -1706.42
-23.6757 -25.1577 | -1.36521 -0.900892 | -156.752 -335.683
-23.207 -25.3423 | -2.13247 -0.820057 | 7714.24 -3763.35
-22.73 -25.5208 | -0.589918 -3.08305 | -1871.74 146.059
-22.2499 -25.6853 | 1.36985 -4.14531 | -10682 5426.1
-21.7715 -25.8258 | 2.27051 -2.08908 | -4360.79 2858.71
-21.2912 -25.9428 | 1.9872 -0.378931 | 3656.57 -3691.94
-20.8047 -26.0448 | 2.16484 -1.71993 | 4282.07 -4790.54
-20.3114 -26.1283 | 2.95195 -2.55156 | -4791.79 1882.67
-19.8168 -26.1741 | 1.07716 -1.79517 | -4926.76 3391.59
-19.324 -26.1698 | -0.412628 -0.62397 | 2915.87 -853.297
-18.8326 -26.1189 | -0.0945001 0.449918 | -544.132 -2467.43
-18.3485 -26.0241 | -0.0968763 0.738326 | -3336.03 -513.791
-17.8782 -25.8823 | 0.578365 0.831124 | 2169.92 -874.645
-17.4224 -25.6944 | 0.829878 2.84873 | 7828.28 1291.27
-16.9826 -25.4584 | -0.692222 5.10847 | 697.588 11261.4
-16.5684 -25.1695 | -1.71637 2.22317 | 2522.32 -3017.12
-16.1713 -24.8555 | -2.25368 -1.1605 | 465.359 -1580.83
-15.7866 -24.527 | -3.646 1.78589 | -4598.93 3743.74
-15.4121 -24.1885 | -2.18799 2.85197 | 6087.31 -8900.31
-15.0293 -23.8614 | 0.0355605 1.42136 | 1065.2 -2675.98
-14.647 -23.535 | 0.231229 0.218273 | -6659.62 4241.78
-14.282 -23.1914 | -0.609695 -0.209376 | 2000.72 255.153
-13.9292 -22.8337 | 1.03432 -0.441635 | 4032.53 -200.598
-13.5879 -22.4624 | 1.05317 -0.173823 | -4267.79 4870.95
-13.2684 -22.0713 | -1.21666 0.137055 | -2588.09 1348.13
-12.9619 -21.6697 | -1.53949 -0.309481 | 3570.67 -3315.21
-12.65 -21.2721 | -0.832482 -0.691498 | 502.146 4261.92
-12.3281 -20.8793 | -0.255574 -0.147202 | 2938.7 -1017.47
-11.9872 -20.502 | 0.154626 0.418311 | -543.926 -6027.33
-11.6281 -20.1462 | 0.734413 -0.905237 | 58.9705 977.51
-11.257 -19.8031 | 1.33314 -2.75777 | -2059.97 2092.44
-10.8797 -19.4681 | -0.508002 -0.943111 | -6161.35 -465.565
-10.496 -19.1463 | 0.470687 -0.843743 | 421.405 -4642.82
-10.0939 -18.8517 | 2.72427 -1.95089 | 1838.81 1168.53


4.51728 49.5243 | 0.50165 0.521492 | 5061.85 -2485.84
5.00499 49.3931 | -0.0591207 1.96723 | -2655.07 3226.76
