-22.3562 -15.9967 | 1.27465 0.622065 | -1379.41 1503.65
-22.0125 -16.3576 | 5.7066 1.47535 | -8522.83 3079.65
-21.6621 -16.7029 | 3.94352 1.27447 | 3829.69 9499.64
-21.2873 -17.0185 | 0.678184 1.87424 | 6797.04 -10640.4
-20.8934 -17.3244 | -3.35796 -2.94273 | -1395.78 -11915.3
-20.486 -17.6212 | -1.36451 -5.58423 | 6167.42 9020.78
-20.0499 -17.8739 | 3.50786 -2.01373 | -6420.53 7339.78
-19.5965 -18.082 | 1.31446 -1.39887 | 4585.62 -3397.9
-19.1285 -18.2654 | 0.637042 -1.64111 | 5067.98 -9822.12
-18.6509 -18.4373 | 2.66793 -0.473742 | -8478 11525
-18.171 -18.5789 | 3.0322 -1.72036 | -3204.04 -5077.89
-17.6899 -18.7087 | 0.668521 -1.56025 | 2701.77 -7260.1
-17.2024 -18.8232 | 0.198572 1.17804 | 480.028 11740.7
-16.7069 -18.892 | 1.17822 -1.15154 | 768.696 -5807.47
-16.2075 -18.9318 | 0.862319 -1.10535 | -788.149 -4496.39
-15.707 -18.9371 | 0.970126 3.41199 | 485.439 11254.9
-15.2092 -18.8849 | 1.98907 1.07161 | -5795.59 138.518
-14.7189 -18.7979 | 1.25211 3.8097 | 8518.54 -6028.43
-14.2252 -18.7011 | 1.65347 -0.774844 | 4747.15 6521.02
-13.7295 -18.5912 | 1.46761 -1.80658 | -547.192 -7556.98
-13.2339 -18.4874 | -2.35506 -0.0883714 | -4294.73 -3019.85
-12.7432 -18.3811 | -1.42838 -3.10282 | -7805.86 2616.73
-12.2626 -18.2549 | 1.327 1.00395 | 1852.67 -559.572
-11.7866 -18.1075 | -0.29644 3.5653 | 9153.87 9695.56
-11.3109 -17.9335 | -2.12952 1.18311 | -772.359 -2867.77
-10.8363 -17.7555 | -3.23784 1.99034 | 2115.59 -2175.36
-10.3593 -17.5841 | -2.66412 2.23325 | -7331.15 -1899.09
-9.88495 -17.4211 | 0.734162 -0.556009 | -2487.77 3228.6
-9.40896 -17.2678 | 1.62441 -1.32306 | 6244.72 -3686.96
-8.92352 -17.1404 | 0.261375 1.87477 | -11726.4 -5351.72
-8.43976 -17.0382 | -0.119638 1.95549 | 4525.97 8798.47
-7.95037 -16.9453 | 0.115637 -1.65089 | 8482.2 -1773.55
-7.45173 -16.8777 | 0.132997 0.561256 | -9806.96 -3349.6
-6.95548 -16.8405 | 0.933931 0.712501 | 4110.62 2648.47
-6.4562 -16.827 | 1.47101 3.08119 | -1621.37 -1018.89
-5.9574 -16.8402 | 0.96163 3.94406 | 4306.48 3079.87
-5.45818 -16.8782 | -0.647683 2.80571 | -7002.93 -4227.42
-4.96867 -16.9505 | -1.70182 -0.0674852 | -15263.6 7662.94
-4.49391 -17.0451 | -1.8282 -2.85658 | 11885.1 -152.387
-4.01952 -17.1714 | -0.956451 -0.54418 | 6586.88 -4767.07
-3.55278 -17.3415 | 2.39367 1.88296 | -3615.11 3032.46
-3.10462 -17.5518 | 3.5494 -1.80049 | 2380.52 -3512.58
-2.67687 -17.8057 | 1.42508 0.605609 | -2185.7 -1695.05
-2.27097 -18.0955 | -1.02676 2.46394 | 13056.4 -2555.99
-1.87316 -18.4099 | -2.2959 -0.573343 | -275.245 -478.722
-1.49483 -18.7472 | 2.12351 1.68713 | -14377.1 4158.99
-1.14717 -19.104 | 2.25834 0.719403 | 1453.5 -3719.46
-0.80837 -19.471 | 3.41814 -3.19596 | 2725.6 1989.63
-0.458184 -19.8281 | 3.54091 -2.06356 | 7945.85 5001.69
-0.0851807 -20.1654 | 0.735034 0.877346 | 3215.17 -6525.36
0.298001 -20.4996 | -2.21635 -1.05017 | 1573.07 -2772.52
0.682704 -20.8357 | -0.526409 -2.09561 | -2397.96 2467.23
1.06137 -21.1744 | 1.91682 1.9388 | -6022.24 3171.71
1.42767 -21.5201 | 2.04466 2.74425 | -1900.62 -10796.1
1.78648 -21.8789 | -0.621825 -1.97281 | 4673.13 1495.75
2.1599 -22.2241 | 0.698891 0.0468056 | -6356.69 7731.32
2.55313 -22.5366 | 1.35489 4.03771 | 5441.63 1389.41
