3.65339 80.8879 | -1.46547 0.840958 | -443.736 1708.4
4.13278 80.7422 | -1.19594 0.0826366 | -2752.14 1704.73
4.62319 80.653 | -0.352364 0.168391 | -2880.06 -270.758
5.11824 80.6177 | 0.262241 -0.401119 | 526.559 -220.569
5.61451 80.6342 | 0.0769339 0.0958203 | 1445.07 935.913
6.1079 80.6986 | -0.242422 0.701179 | -588.005 -1373.3
6.59389 80.8015 | -0.46157 0.944656 | -3643.04 -1107.07
7.0685 80.9367 | -0.440841 1.40974 | -3678.4 -2052.17
7.53114 81.0975 | -0.403771 2.7706 | -2152.14 -3075.6
7.98323 81.2787 | -0.363767 4.67905 | -75.631 -1298.25
8.42575 81.4814 | 0.131736 5.17296 | 3821.75 2585.69
8.8599 81.7091 | 1.15482 2.96567 | 3247.27 2254.98
9.28555 81.9586 | 0.346007 3.05041 | 211.291 -1818.18
9.70208 82.2222 | -1.31079 4.59568 | -1985.57 -2914.36
10.1076 82.4979 | -1.17079 3.83361 | -2370.21 157.553
10.5005 82.7885 | -0.807221 3.52283 | -661.688 2358.48
10.8838 83.0923 | -1.42346 3.92294 | 721.567 -826.147
11.2658 83.398 | -2.06367 3.8173 | 181.472 -973.848
11.6524 83.6979 | -2.16688 4.29148 | 3609.9 -976.545
12.048 83.9887 | -1.40209 4.15338 | 2176.28 -257.887
12.4479 84.276 | -1.12898 3.89358 | -1136.86 3368.7
12.8431 84.5711 | -1.29958 3.4305 | -1222.87 1712.9
13.2329 84.8738 | -1.62325 3.11898 | 134.759 927.582
13.6227 85.1782 | -0.698218 2.21977 | 3152.99 1664.21
14.0203 85.4771 | 0.730263 0.828617 | -199.062 1357.63
14.4283 85.7631 | 0.731889 0.744294 | 1022.08 -2815.31
14.8511 86.0259 | 1.33465 0.336525 | 809.748 -1441.34
15.2868 86.2658 | 1.98819 0.891445 | -3906.67 1852.97
15.7284 86.4895 | 2.53668 1.37863 | -3340.18 -448.331
16.1766 86.6936 | 2.70811 0.919637 | -1586.25 385.459
16.6339 86.8726 | 1.94206 2.56297 | 373.368 2994.19
17.1035 87.0194 | 1.23824 5.44499 | 3051.66 -2993.44
17.5869 87.118 | 1.2625 5.37754 | -164.352 744.642
18.0778 87.1696 | 0.768563 6.87297 | 533.693 4524.05
18.5715 87.1761 | 0.695621 8.00371 | -774.186 -2639.19
19.0618 87.1246 | 1.0042 5.45787 | -1709.62 -3475.9
19.5422 87.0168 | 1.4178 3.7372 | 538.165 1449.32
20.0135 86.8724 | 1.13401 3.21793 | 1159.01 1725.49
20.4789 86.707 | 0.113294 2.5264 | 2583.83 -522.306
20.9418 86.5292 | 0.304304 4.09598 | 1161.98 1197.31
21.404 86.3471 | 0.309234 4.8462 | -196.145 -493.062
21.8661 86.1632 | -0.448337 4.24478 | 2276.42 -2607.23
22.3315 85.9809 | -0.604995 3.46531 | 2986.26 1180.65
22.8038 85.8107 | 0.199307 3.15319 | 727.705 -405.99
23.2822 85.6552 | 0.961793 3.50762 | 256.741 -3166.72
23.7669 85.5177 | 1.04366 2.64598 | 13.7294 3026.49
24.2592 85.4134 | 1.37774 1.14466 | -1057.47 1745.86
24.7569 85.3469 | 2.02283 1.11081 | -1386.33 -744.591
25.2568 85.3166 | 2.10614 1.7001 | -1297.08 -485.041
25.7565 85.3245 | 1.69323 1.07274 | -887.378 537.214
26.2532 85.3737 | 1.62256 0.443093 | 1286.62 1621.68
26.7454 85.4645 | 2.06351 -0.566033 | 2494.76 -516.222
