-4.275 -38.1431 | 3.03475 0.0500328 | 9027.63 -4358.07
-3.78807 -38.0606 | 2.86118 -0.360295 | 15680.8 3164.85
-3.28457 -38.0199 | 3.15247 -0.968664 | -6712.52 903.322
-2.78297 -38.0155 | 1.33538 0.947901 | -9797.72 917.646
-2.28832 -38.0448 | 0.0988568 2.86583 | 9749.48 -199.499
-1.79054 -38.1079 | -0.380866 2.87401 | 5667.69 1761.38
-1.29363 -38.206 | 0.55835 0.913362 | 1890.94 -8987.95
-0.8063 -38.3504 | 2.33406 2.25616 | -13311.2 10569.9
-0.337644 -38.5193 | 2.27057 3.49702 | 3317.28 -5301.89
0.119103 -38.7213 | -0.75772 0.357572 | 192.156 2950.89
0.562538 -38.945 | -1.72221 -0.449292 | -19467.7 8376.33
0.981888 -39.1856 | 0.363286 1.99511 | 12936.7 -4924.56
1.39924 -39.4452 | -0.0475171 2.38608 | 5518.46 -3826.44
1.8137 -39.7216 | -0.688165 -1.52864 | 4168.75 -3986.77
2.2255 -40.0109 | 0.498915 0.787928 | 534.591 -4285.72
2.63557 -40.3052 | 0.342868 1.44261 | -7253.67 14184.2
3.04721 -40.5827 | 0.502705 1.1274 | 6048.84 -5954
3.46555 -40.8596 | 2.5641 1.95553 | 6293.11 -7009.9
3.88917 -41.1398 | 1.05545 -1.16172 | -11123 1233.79
4.31209 -41.4133 | 1.37978 -0.0620255 | 15140.1 -595.184
4.75781 -41.6653 | 0.785213 2.18757 | -555.153 3665.96
5.21777 -41.8936 | 0.264017 -0.365802 | 10924.3 -8477.53
5.69245 -42.1116 | -0.390158 2.63759 | -946.676 4345.31
6.17192 -42.3132 | -2.1945 1.25462 | -19606.6 -2372.68
6.64283 -42.5053 | -2.13907 0.553816 | 7299.48 1666.15
7.1269 -42.6672 | -1.66027 -2.52507 | -3043.44 5097.15
7.62151 -42.784 | 0.055777 -3.99237 | 6000.56 -1594.1
8.12748 -42.8561 | 0.40652 -1.8715 | -3778.89 622.374
8.63297 -42.8773 | 0.481789 -0.5262 | -26793.9 3723.73
9.12017 -42.8413 | -2.37933 2.24788 | 14247.2 -716.422
9.60949 -42.759 | -0.961662 2.21488 | 8894.19 344.391
10.0966 -42.6367 | 4.03433 2.30469 | -11714.2 -1984.9
10.566 -42.4791 | 3.2228 2.90197 | 563.185 2328.84
11.0235 -42.2923 | 2.70957 -0.724062 | -6689.44 -6976.59
11.4704 -42.0939 | 2.52934 3.84365 | 7905.9 3246.87
11.9178 -41.8827 | 1.46991 2.42578 | 7218.57 2883.12
12.3664 -41.6612 | 2.64021 -1.59806 | -5030.81 -8010.21
12.8084 -41.4349 | 3.36911 -1.18171 | 5756.1 9088.88
13.2429 -41.1844 | 3.80495 0.921377 | -5726.32 -1703.24
13.6632 -40.9175 | 0.861219 0.196675 | -4636.59 -1555.57
14.0742 -40.6423 | 0.190306 -1.57464 | 3903.58 933.101
14.4887 -40.368 | 1.18834 0.72016 | 1376.43 3955.48
14.9117 -40.1021 | 1.49141 -0.42495 | 4167.59 -7325.02
15.3499 -39.863 | 3.25803 -4.45815 | -11300.5 4501.1
15.792 -39.6398 | 1.44911 -2.26653 | 11026.3 3156.14
16.2567 -39.447 | -0.141331 1.84949 | 11262.3 -3058.6
16.7455 -39.2994 | 1.43427 2.74274 | -4170.8 2127.26
17.2429 -39.1913 | 0.901707 -0.0859774 | -3262.77 -3078.77
