22.6769 -58.7136 | -0.933549 -2.13148 | 423.35 1891
23.0993 -58.9711 | 0.418003 -0.22207 | -3531.71 1154.78
23.5068 -59.2468 | 2.12863 2.55756 | -2344.46 -3244.79
23.8986 -59.5437 | 2.45129 3.71644 | -542.822 -492.015
24.2833 -59.8496 | -0.625117 1.98382 | 8780.73 -2537.56


-22.118 87.8774 | -0.296568 -2.77234 | 3553.39 -1125.84
-21.6202 87.9541 | -1.6443 -1.66896 | 471.778 11389.5
-21.1277 88.0673 | -3.40981 1.29152 | 746.046 -11791.7
-20.6356 88.1777 | -2.19693 -0.425943 | 1412.84 -1648.08
-20.144 88.292 | -0.0307381 2.94063 | -2496.81 2580.98
-19.6586 88.4233 | 2.71433 -0.115188 | -5755.67 2882.08
-19.1824 88.5727 | 2.56475 -1.96697 | -339.043 -4791.58
-18.71 88.7253 | 2.12148 1.41106 | -4713.94 -4121.34
-18.2435 88.8825 | 0.892973 3.97741 | 61.0694 6417.01
-17.7822 89.0564 | -1.45583 2.75646 | -1792.75 -2203.15
-17.323 89.2335 | -4.16463 3.40769 | 6620.91 -1258.91
-16.8578 89.4079 | -1.61715 1.63096 | 6540.23 5017.41
-16.3878 89.5855 | -0.179833 0.830898 | -1982.8 -6189.07
-15.9189 89.7604 | -0.914816 0.998776 | -3074.02 8711.52
-15.4566 89.9491 | -2.61103 2.02208 | -7204.49 -1752.43
-14.9972 90.1327 | 0.974099 -0.550093 | 5028.74 -6368.46
-14.5278 90.2918 | 1.71436 -2.47368 | -1328.78 5979.85
-14.0532 90.4345 | -2.78537 -1.63843 | -5990.14 -3606.5
-13.5735 90.5466 | -2.45886 -2.64173 | 14072.7 2465.29
-13.0781 90.626 | 0.387724 -0.282233 | -835.743 442.269
-12.5778 90.6691 | 2.69495 -2.4605 | -6500.14 -2215.02
-12.0789 90.6716 | 3.27177 -5.34617 | 10990.3 1666.53
-11.5749 90.6377 | 2.81948 -1.21079 | -4459.22 719.632
-11.0777 90.5645 | 3.10745 -0.414779 | -3297.44 1628.88
-10.5927 90.4476 | 2.5434 -4.08069 | -6556.32 -3291.31
-10.127 90.2798 | 2.01131 -1.58597 | -92.6342 -2977.78
-9.67547 90.0731 | 3.09141 1.80795 | 13064.2 1628.93
-9.22335 89.8496 | 3.91058 -1.43058 | 1151.11 5192.91
-8.77868 89.6112 | 3.85014 -1.2486 | -4327.18 -6704.7
-8.35413 89.3395 | 0.293581 0.65268 | -4136.22 -1993.77
